Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
11/30/1994,1.766,2.544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/28/1995,2.932,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/1995,8.305,5.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/1995,9.323,4.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.323,,,
11/30/1995,4.759,4.589,,,,,,,,,,,,,-2.357,,,,-2.357,,,,,,,,,,2.357,,,,,,,,,,,,,,
02/29/1996,5.25,2.886,,,,,,,,,,,,,-2.46,,,,-2.46,,,,,,,,,,2.46,,,,,,,,,,,,,,
05/31/1996,7.819,7.7,,,,,,,,,,,,,-1.854,,,,-1.854,,,,,,,,,,1.854,,,,,,,,,,,,,,
08/31/1996,7.995,6.217,,,,,,,,,,,,,-3.679,,,,-3.679,,,,,,,,,,3.679,,,,,,,,,,,,,,
11/30/1996,10.406,7.289,,,,,,,,,,,,,-2.625,,,,-2.625,,,,,,,,,,2.625,,,,,,,,,,,,,,
02/28/1997,10.769,5.092,,,,,,,,,,,,,-2.505,,,,-2.505,,,,,,,,,,2.505,,,,,,,,,,,,,,
05/31/1997,13.141,11.554,,,,,,,,,,,,,-3.421,,,,-3.421,,,,,,,,,,3.421,,,,,,,,,,,,,,
08/31/1997,7.201,9.444,,,,,,,,,,,,-4.275,-4.275,,,,-4.275,,,,,,,,,,0.0,,,,,,,,,,,2.926,,,
11/30/1997,14.855,10.609,3.486,0.76,,,0.76,,,,,,,-26.938,-4.947,0.0,,,-4.947,,,0.0,0.0,0.0,,,,,-21.991,3.998,0.0,-0.05,,,1.688,1.688,0.0,2.36,,-8.085,,,
02/28/1998,3.385,7.73,2.899,-7.244,,,-7.244,,,,,,,-5.558,-4.365,0.0,,,-4.365,,,0.0,0.0,0.0,,,,,-1.193,2.725,0.0,0.0,,,1.558,1.558,0.0,1.167,,0.552,,,
05/31/1998,21.469,15.522,3.042,2.905,,,2.905,,,,,,,-21.82,-9.542,0.0,,,-9.542,,,0.0,0.0,0.0,,,,,-12.278,5.149,0.0,0.0,,,1.863,1.863,0.0,3.286,,4.798,,,
08/31/1998,9.933,12.436,3.359,-5.862,,,-5.862,,,,,,,-15.13,-12.001,0.0,,,-12.001,,,-4.721,38.556,-43.277,,,,,1.592,1.33,0.0,0.0,,,0.891,0.891,0.0,0.439,,-3.867,,,
11/30/1998,16.992,13.538,4.398,6.328,,,6.328,-7.272,,,,-7.272,,-10.824,-12.297,0.0,,,-12.297,,,,,,,,,,1.473,-6.655,0.0,-0.2,,,-6.456,1.962,-8.418,0.001,,-0.487,,,
02/28/1999,6.963,10.155,4.594,6.193,,,6.193,-13.979,,,,-13.979,,-5.461,-7.773,0.0,,,-7.773,,,,,,,,,,2.312,-2.005,0.0,0.0,,,-2.001,4.053,-6.054,-0.004,,-0.503,,,
05/31/1999,28.166,18.96,5.481,4.165,,-0.459,4.624,-0.44,-19.221,,,18.781,,-11.739,-11.209,1.622,,,-12.831,,,,,,,,,,-0.53,-23.659,0.0,0.0,,,-23.644,1.739,-25.383,-0.015,,-7.232,,,
08/31/1999,23.441,16.352,6.115,-7.137,,,-7.137,8.111,,,,8.111,,-10.754,-9.241,2.59,,,-11.831,,,,,,,,,,-1.513,-5.256999,0.0,0.0,,,-5.264999,1.077,-6.341999,0.008,,7.43,,,
11/30/1999,31.977,16.827,6.33,7.451,,,7.451,1.369,,,,1.369,,-15.605,-8.468,0.0,,,-8.468,,,,,,,,,,-7.137,-21.461,0.0,-0.1,,,-21.345,2.041,-23.386,-0.016,,-5.089,,,
02/29/2000,18.032,11.913,6.572,3.494,,,3.494,-3.947,,,,-3.947,,-8.784,-10.55,0.0,,,-10.55,,,,,,,,,,1.766,-20.355,0.0,0.0,,,-20.332,1.207,-21.539,-0.023,,-11.107,,,
05/31/2000,38.273,21.143,7.082,5.607,,,5.607,4.441,,,,4.441,,-16.654,-7.63,0.648,,,-8.278,,,,,,,,,,-9.024,-5.807,0.0,0.0,,,-5.86,1.87,-7.73,0.053,,15.812,,,
08/31/2000,29.819,21.308,7.384,2.619,,,2.619,-1.492,,,,-1.492,,-21.862,-7.185,0.349,,,-7.534,,,,,,,,,,-14.677,0.805,0.0,0.0,,,0.836,5.175,-4.339,-0.031,,8.762,,,
11/30/2000,46.047,24.829,7.476,7.897,,,7.897,5.845,,,,5.845,,-63.972,-8.324,0.593,,,-8.917,,,0.0,0.0,0.0,,,,,-55.648,81.767,0.0,-0.1,,,81.777,81.777,0.0,0.09,,63.842,,,
02/28/2001,29.371,16.349,7.478,7.86,,-1.1,8.96,-2.316,-5.414,,,3.098,,-33.807,-10.277,0.0,,,-10.277,,,0.0,0.0,0.0,,,,,-23.53,3.49,0.0,0.0,,,3.494,5.087,-1.593,-0.004,,-0.946,,,
05/31/2001,43.422,35.388,7.933,5.486,,,5.486,-5.385,,,,-5.385,,-33.021,-11.698,0.286,,,-11.984,,,0.0,0.0,0.0,,,,,-21.323,2.555,0.0,0.0,,,2.545,2.545,0.0,0.01,,12.956,,,
08/31/2001,45.793,31.251,9.853,4.0,,,4.0,0.689,,,,0.689,,-43.679,-13.265,0.0,,,-13.265,,,,,,,,,,-30.414,8.055,0.0,0.0,,,8.048,8.048,0.0,0.007,,10.169,,,
11/30/2001,46.975,32.959,8.569,9.349,,-0.956,10.305,-3.902,-6.44,,,2.538,,-25.31,-6.223,0.0,,,-6.223,,,0.0,0.0,0.0,,,,,-19.087,-1.204,0.0,-0.1,,,-1.148,8.123,-9.271,0.044,,20.461,,,
02/28/2002,40.703,28.093,8.803,11.063,,-1.951,13.014,-7.256,-11.752,,,4.496,,-17.091,-9.957,0.0,,,-9.957,,,0.0,0.0,0.0,,,,,-7.134,6.616,0.0,0.0,,,6.557,6.557,0.0,0.059,,30.228,,,
05/31/2002,93.664,50.799,8.969,17.684,,-4.516,22.2,16.212,-13.859,,,30.071,,-61.979,-11.533,0.0,,,-11.533,,,0.0,0.0,0.0,,,,,-50.446,10.348,0.0,0.0,,,10.5,10.5,0.0,-0.152,,42.033,,0.0,
08/31/2002,79.188,49.299,8.838,16.938,,,16.938,4.113,,,,4.113,,-32.667,-9.035,0.0,,,-9.035,,,-98.504,242.872,-341.376,,,,,74.872,10.061,0.0,0.0,,,9.991,12.424,-2.433,0.07,,56.582,,0.0,
11/30/2002,77.866,56.689,9.178,22.544,,-1.486,24.03,-10.545,-20.093,,,9.548,,-38.591,-14.108,0.0,,,-14.108,,,0.0,0.0,0.0,,,,,-24.483,9.274,0.0,-0.1,,,9.305,15.385,-6.08,0.069,,48.549,,,
02/28/2003,73.27,45.686,9.95,17.843,,-2.291,20.134,-0.209,-24.37,,,24.161,,-16.509,-15.132,0.0,,,-15.132,,,0.0,0.0,0.0,,,,,-1.377,12.779,0.0,0.0,,,12.983,12.983,0.0,-0.204,,69.54,,,
05/31/2003,97.5,74.257,10.457,17.733,,-1.322,19.055,-4.947,-30.841,,,25.894,,-99.269,-11.911,0.0,,,-11.911,,,0.0,0.0,0.0,,,,,-87.358,7.335,0.0,-4.5,,,12.175,12.175,0.0,-0.34,,5.566,,,
08/31/2003,94.401,70.378,10.72,14.855,,,14.855,-1.552,,,,-1.552,,-97.401,-14.661,0.0,,,-14.661,,,-193.76,331.341,-525.101,,,,,111.02,0.56,0.0,0.0,,,0.512,7.23,-6.718,0.048,,-2.44,,,
