Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1993,369.721985,5.358,5.358,0.0,55.325001,,,52.084999,,,,,1.887,,,,,,114.654999,232.774002,416.088989,-183.315002,0.0,22.292999,,,,,,22.292999,255.067001,,15.317,15.317,,9.262,,,,,,35.303999,,,,35.303999,59.882999,51.59,,,,,13.912,,,13.912,65.502,125.384999,0.0,34.467999,,,0.0,,209.869003,244.337002,0.0,244.337002,369.722001,
03/31/1994,382.106995,2.164,2.164,0.0,67.834,,,51.014,,,,,0.803,,,,,,121.815002,242.059998,432.199005,-190.139008,0.0,18.232,,,,,,18.232,260.291998,,17.716999,17.716999,,9.297,,,,,,25.252999,,,,25.252999,52.266998,51.070999,,,,,15.113,,,15.113,66.183999,118.450997,0.0,44.738998,,,0.0,,218.917007,263.656006,0.0,263.656006,382.107003,
06/30/1994,405.69101,13.362,13.362,0.0,72.509003,,,51.526001,,,,,1.595,,,,,,138.992004,250.645996,447.335999,-196.690002,0.0,16.052999,,,,,,16.052999,266.698996,,26.395,26.395,,9.486,,,,,,26.880001,,,,26.880001,62.761002,53.172001,,,,,13.673,,,13.673,66.845001,129.606003,0.0,47.757999,,,0.0,,228.326996,276.084995,0.0,276.084995,405.690998,
09/30/1994,413.747986,15.227,15.227,0.0,70.333,,,55.352001,,,,,1.623,,,,,,142.535004,256.075989,460.166992,-204.091003,0.0,15.137,,,,,,15.137,271.212989,,26.440001,26.440001,,9.12,,,,,,28.910001,,,,28.910001,64.470001,52.09,,,,,15.229,,,15.229,67.319,131.789001,0.0,47.68,,,0.0,,234.279007,281.959007,0.0,281.959007,413.748009,
12/31/1994,417.609009,4.993,4.993,0.0,66.445999,,,64.694,,,,,2.474,,,,,,138.606995,264.109985,474.34201,-210.231995,0.0,14.892,,,,,,14.892,279.001986,,26.974001,26.974001,,12.373,,,,,,29.111999,,,,29.111999,68.459,45.509998,,,,,16.944,,,16.944,62.453999,130.912998,0.0,47.597,,,0.0,,239.098999,286.695999,0.0,286.695999,417.608997,
03/31/1995,528.856995,4.589,4.589,0.0,78.702003,,,84.622002,,,,,5.083,,,,,,172.996002,296.006012,514.583008,-218.576996,0.0,59.855,,,,,,59.855,355.861012,,32.379002,32.379002,,9.224,,,,,,29.170001,,,,29.170001,70.773003,144.768005,,,,,17.209,,,17.209,161.977005,232.750008,0.0,48.373001,,,0.0,,247.733994,296.106995,0.0,296.106995,528.857002,
06/30/1995,536.478027,7.041,7.041,0.0,83.510002,,,79.394997,,,,,4.352,,,,,,174.298004,302.588013,530.820007,-228.231995,0.0,59.591999,,,,,,59.591999,362.180012,,29.974001,29.974001,,19.334,,,,,,27.895002,,,,27.895002,77.203003,141.539993,,,,,17.775999,,,17.775999,159.315992,236.518995,0.0,48.492001,,,0.0,,251.466995,299.958996,0.0,299.958996,536.477991,
09/30/1995,555.254028,21.532,21.532,0.0,88.195999,,,63.608002,,,,,6.979,,,,,,180.315002,310.075989,548.099976,-238.024002,0.0,64.862999,,,,,,64.862999,374.938988,,29.888,29.888,,17.841999,,,,,,32.864002,,,,32.864002,80.594002,144.244995,,,,,22.517,,,22.517,166.761995,247.355997,0.0,48.983002,,,0.0,,258.915009,307.89801,0.0,307.89801,555.254007,
12/31/1995,543.843994,25.627001,25.627001,0.0,73.445,,,61.755001,,,,,2.413,,,,,,163.240005,316.816986,562.966003,-246.149002,0.0,63.786999,,,,,,63.786999,380.603985,,23.334,23.334,,10.538,,,,,,30.331003,,,,30.331003,64.203003,139.056,,,,,23.659,,,23.659,162.715,226.918003,0.0,49.493999,,,0.0,,267.432007,316.926006,0.0,316.926006,543.844009,
03/31/1996,548.776978,27.407,27.407,0.0,75.125,,,61.271,,,,,2.931,,,,,,166.733994,321.170013,575.434021,-254.264008,0.0,60.873001,,,,,,60.873001,382.043015,,24.580999,24.580999,,6.789,,,,,,27.941001,,,,27.941001,59.311001,138.988998,,,,,22.91,,,22.91,161.898998,221.209999,0.0,50.049,,,0.0,,277.518005,327.567005,0.0,327.567005,548.777004,
06/30/1996,571.388,46.82,46.82,0.0,73.805,,,60.728001,,,,,2.167,,,,,,183.520004,327.886993,591.896973,-264.01001,0.0,59.980999,,,,,,59.980999,387.867992,,26.384001,26.384001,,6.746,,,,,,35.025998,,,,35.025998,68.155998,140.106995,,,,,24.327,,,24.327,164.433994,232.589993,0.0,50.769001,,,0.0,,288.028992,338.797993,0.0,338.797993,571.387985,
09/30/1996,581.687988,50.875999,50.875999,0.0,78.041,,,58.505001,,,,,1.908,,,,,,189.330002,334.854004,607.39502,-272.540985,0.0,57.504002,,,,,,57.504002,392.358006,,28.555,28.555,,7.26,,,,,,33.133997,,,,33.133997,68.948997,139.343994,,,,,24.24,,,24.24,163.583994,232.532991,0.0,110.209999,,,0.0,,238.945007,349.155006,0.0,349.155006,581.687998,
12/31/1996,576.471008,44.080002,44.080002,0.0,68.033997,,,59.598,,,,,1.64,,,,,,173.352005,345.039001,625.843018,-280.803986,0.0,58.080002,,,,,,58.080002,403.119003,,21.281,21.281,,7.293,,,,,,32.711999,,,,32.711999,61.285999,135.740997,,,,,25.040001,,,25.040001,160.780998,222.066998,0.0,110.919998,,,0.0,,243.483994,354.403992,0.0,354.403992,576.470989,
03/31/1997,1053.730957,7.211,7.211,0.0,93.200996,,,91.050003,,,,,29.780001,,,,,,221.242004,515.971008,807.625977,-291.654999,0.0,316.518005,,,,,,316.518005,832.489014,,45.936001,45.936001,,25.038,,,,,,49.114996,,,,49.114996,120.088997,510.666992,,,,,77.164001,,,77.164001,587.830994,707.919991,0.0,112.568001,,,0.0,,233.242996,345.810997,0.0,345.810997,1053.730988,
06/30/1997,1091.267944,4.173,4.173,0.0,101.037003,,,90.265999,,,,,28.250999,,,,,,223.727005,525.934021,829.461975,-303.528015,0.0,341.606995,,,,,,341.606995,867.541016,,40.866001,40.866001,,25.165001,,,,,,60.902996,,,,60.902996,126.933998,536.01001,,,,,77.893997,,,77.893997,613.904007,740.838005,0.0,113.283997,,,0.0,,237.145996,350.429993,0.0,350.429993,1091.267998,
