Date,Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Related Income,Investment Income,Other Operating Income,Revenue,Property Operating Expenses,General & Administrative Expense,Other Operating Expenses,Depreciation Expense,Provision for Loan Loss,Other Non-Rental Income,Operating Income,Interest Expense,Unconsolidated Equity Interest Income,Loss on Sale of Property,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Pre-Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1994,37.424999,,0.0,0.852,0.0,0.0,38.277,-18.836,-0.148,-0.077,-4.95,-1.6,,12.666,-3.154,,0.0,0.0,9.512,0.0,9.512,0.0,0.0,9.512,-4.025,,5.487,,5.487,0.118036,0.118036,0.118036,45.411421,0.118036,0.118036,0.118036,45.411421,
06/30/1994,43.389999,,0.0,0.644,0.0,0.0,44.034,-21.871,-0.177,-0.275,-5.841,0.0,,15.87,-5.105,,0.0,0.0,10.765,0.0,10.765,0.0,0.0,10.765,-4.025,,6.74,,6.74,0.147544,0.147544,0.147544,45.468352,0.147544,0.147544,0.147544,45.468352,
09/30/1994,50.299,,0.0,0.585,0.0,0.0,50.883999,-25.398001,-0.195,-0.181,-6.621,0.0,,18.489,-5.762,,0.0,0.0,12.727,0.0,12.727,0.0,0.0,12.727,-4.025,,8.702,,8.702,0.177053,0.177053,0.177053,47.834081,0.177053,0.177053,0.177053,47.834081,
12/31/1994,52.358002,,0.0,0.552,0.0,0.0,52.91,-26.09,-0.264,-0.218,-7.202,0.0,,19.136,-5.421,,0.0,0.0,13.715,0.0,13.715,0.0,0.0,13.715,-4.025,,9.69,,9.69,0.18689,0.18689,0.18689,51.252035,0.18689,0.18689,0.18689,51.252035,
03/31/1995,53.516998,,0.0,0.555,0.0,0.0,54.071999,-25.639,-0.214,-0.129,-7.424,-0.12,,20.546,-6.006,,0.0,0.0,14.54,0.0,14.54,0.0,0.0,14.54,-4.025,,10.515,,10.515,0.196726,0.196726,0.196726,52.341879,0.196726,0.196726,0.196726,52.341879,
06/30/1995,65.719002,,0.0,0.719,0.0,0.0,66.438004,-31.108999,-0.201,-0.073,-9.126,0.0,,25.929,-5.123,,0.0,0.0,20.806,0.0,20.806,0.0,0.0,20.806,-5.023,,15.783,,15.783,0.216398,0.216398,0.216398,73.225765,0.216398,0.216398,0.216398,73.225765,
09/30/1995,70.176003,,0.0,0.61,0.0,0.0,70.786003,-34.001999,-0.166,-0.433,-9.611,-0.1,,26.473999,-3.271,,0.0,0.0,23.202999,0.0,23.202999,0.0,0.0,23.202999,-6.387,,16.815999,,16.815999,0.226235,0.226235,0.226235,73.412825,0.226235,0.226235,0.226235,73.412825,
12/31/1995,73.060997,,0.0,0.516,0.0,0.0,73.577003,-32.577999,-1.443,-0.501,-10.524,-0.2,,28.330999,-5.184,,2.623,0.0,25.769999,0.0,25.77,0.0,0.0,25.77,-6.388,,19.382,,19.381999,0.26558,0.26558,0.26558,83.861885,0.26558,0.26558,0.26558,83.861885,
03/31/1996,75.808998,,0.0,0.547,0.0,0.0,76.356003,-35.852001,-0.276,-0.17,-10.618,0.0,,29.44,-6.52,,2.923,0.0,25.843,0.0,25.843,0.0,0.0,25.843,-6.388,,19.455,,19.455,0.26558,0.26558,0.26558,73.412825,0.26558,0.26558,0.26558,73.412825,
06/30/1996,79.490997,,0.0,0.452,0.0,0.0,79.943001,-37.179001,-0.23,-0.191,-10.624,0.0,,31.719,-7.257,,5.16,0.0,29.622,0.0,29.622,0.87,0.0,28.752001,-6.386,,22.366001,,23.236,0.304925,0.304925,0.304925,73.425026,0.304925,0.304925,0.304925,73.425026,
