Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2008,14164.5,179.4,179.4,0,1079.8,1079.8,,2173.8,422.6,0,519.6,1231.6,458.9,,,,,,3891.9,1701.2,,,0.0,8571.4,7826.2,4224.6,3601.6,,200.8,544.4,10272.6,,445.5,445.5,,,,716.5,,,,,1334.8,,,,1334.8,2496.8,3569.6,,,,1655.6,,,1655.6,5225.2,7722.0,5.7,1429.4,,,-3081.8,7054.6,475.6,5883.5,559.0,6442.5,14164.5,
06/30/2008,13858.0,160.7,160.7,0,1212.3,1212.3,,2162.2,414.6,0,497.0,1250.6,432.9,,,,,,3968.1,1676.7,,,0.0,8213.2,7520.0,3933.0,3587.0,,85.1,608.1,9889.9,,429.7,429.7,,,,509.2,,,,,1391.9,,,,1391.9,2330.8,3563.1,,,,1623.9,,,1623.9,5187.0,7517.8,5.6,1443.9,,,-3214.1,7125.8,510.3,5871.5,468.7,6340.2,13858.0,
09/30/2008,13339.9,175.5,175.5,0,1060.8,1060.8,,2091.0,413.4,0,500.3,1177.3,426.1,,,,,,3753.4,1613.5,,,0.0,7973.0,7348.3,3908.3,3440.0,,45.9,578.8,9586.5,,414.6,414.6,,,,455.7,,,,,1703.7,,,,1703.7,2574.0,3484.6,,,,1612.3,,,1612.3,5096.9,7670.9,5.6,1453.4,,,-3346.3,7327.9,213.5,5654.1,14.9,5669.0,13339.9,
12/31/2008,12091.9,163.3,163.3,0,856.4,856.4,,1975.4,366.7,0,480.6,1128.1,473.0,,,,,,3468.1,1553.9,3023.9,-1470.0,0.0,7069.9,7103.9,3571.8,3532.1,,55.1,-89.1,8623.8,,350.6,350.6,,,,36.6,,,,,802.9,,,,802.9,1190.1,4688.6,,,,1513.6,,,1513.6,6202.2,7392.3,5.5,1450.4,,,-3337.7,7046.2,-478.4,4686.0,13.6,4699.6,12091.9,
03/31/2009,11951.3,240.1,240.1,0,843.5,843.5,0.0,1974.3,0.0,0,464.2,1510.1,435.9,0.0,,,,403.8,3493.8,1482.2,,,0.0,6975.3,6693.0,3541.7,3151.3,,,282.3,8457.5,,349.9,349.9,,,,38.9,29.3,,,9.6,692.9,,,704.2,683.8,1081.7,4923.2,4923.2,,,1410.9,,439.6,267.1,6334.1,7415.8,5.4,1462.8,734.0,728.8,-3335.6,6987.0,-598.2,4521.4,14.1,4535.5,11951.3,
06/30/2009,12395.9,264.6,264.6,0,1055.5,1055.5,,1987.3,0.0,0,443.1,1544.2,449.0,,9.8,,,436.2,3756.4,1475.6,,,,7163.9,6890.4,3624.8,3265.6,,,263.7,8639.5,,396.4,396.4,,,,64.4,54.5,,,9.9,895.7,,,721.1,878.2,1356.5,4724.9,4724.9,,,1410.8,,419.5,270.2,6135.7,7492.2,5.4,1470.0,734.0,736.0,-3332.0,7057.6,-310.4,4890.6,13.1,4903.7,12395.9,
09/30/2009,12331.7,260.1,260.1,0,969.0,969.0,,2024.2,0.0,0,472.3,1551.9,445.6,,18.4,,,436.0,3698.9,1463.5,,,,7169.3,6867.3,3588.1,3279.2,,,283.6,8632.8,,417.9,417.9,,,,48.1,36.4,,,11.7,922.2,,,726.8,898.2,1388.2,4428.4,4428.4,,,1430.0,,421.2,282.0,5858.4,7246.6,5.3,1484.7,734.0,750.7,-3329.4,7153.2,-242.8,5071.0,14.1,5085.1,12331.7,
12/31/2009,12370.6,417.2,417.2,0,906.7,906.7,0.0,2016.6,0.0,0,450.9,1565.7,531.2,,12.3,72.6,,353.1,3871.7,1467.9,3059.6,-1591.7,0.0,7031.0,6764.9,3576.5,3188.4,2.0,49.8,129.4,8498.9,,440.6,440.6,0.0,0.0,0.0,51.3,51.3,0.0,0.0,0.0,971.7,0.0,0.0,642.9,953.0,1463.6,4413.3,4413.3,0.0,0.0,1388.0,0.0,451.3,293.8,5801.3,7264.9,5.2,1489.6,734.0,755.6,-3326.0,7135.4,-211.8,5092.4,13.3,5105.7,12370.6,
03/31/2010,12230.9,289.7,289.7,0,942.6,942.6,0.0,2052.7,0.0,0,495.7,1557.0,498.6,0.0,19.1,,,488.9,3783.6,1449.4,3107.3,-1657.9,0.0,6997.9,6762.1,3593.0,3169.1,,,216.7,8447.3,,465.6,465.6,,,,806.6,56.6,,,750.0,782.0,,0.0,660.1,769.4,2054.2,3630.8,3630.8,,,1306.6,,359.0,287.5,4937.4,6991.6,5.2,1511.5,734.0,777.5,-3252.0,7175.6,-215.8,5224.5,14.8,5239.3,12230.9,
06/30/2010,12064.0,416.3,416.3,0,1014.8,1014.8,0.0,1960.8,0.0,0,452.7,1508.1,471.8,,37.7,,,460.9,3863.7,1406.5,3068.8,-1662.3,0.0,6793.8,6547.9,3545.4,3002.5,,,208.2,8200.3,,466.1,466.1,,,,647.3,53.0,,,594.3,824.0,,0.4,677.5,815.7,1937.4,3580.6,3580.6,,,1255.0,,341.4,235.7,4835.6,6773.0,5.0,1523.5,734.0,789.5,-3248.9,7373.6,-377.9,5275.3,15.7,5291.0,12064.0,
