Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/29/1997,6642.0,,-4384.0,,2258.0,,-1727.0,,,,531.0,-32.0,,,,0.0,,32.0,499.0,-174.0,325.0,0.0,,,325.0,0.0,325.0,0.0,,325.0,325.0,,253.242791,1.283334,1.283334,1.283334,261.771345,1.236667,1.236667,1.236667,
06/28/1997,7521.0,,-5019.0,,2502.0,,-2053.0,,,,449.0,-36.0,,,,0.0,,36.0,413.0,-145.0,268.0,0.0,,,268.0,0.0,268.0,0.0,,268.0,268.0,,254.871357,1.05,1.05,1.47,261.514212,1.026667,1.026667,1.446667,
09/27/1997,7353.0,,-4986.0,,2367.0,,-1927.0,,,,440.0,-30.0,,,,0.0,,30.0,410.0,-144.0,266.0,0.0,,,266.0,0.0,266.0,0.0,,266.0,266.0,,262.842773,1.026667,1.026667,1.26,262.971339,1.026667,1.026667,1.26,
12/31/1997,8278.0,,-5614.0,,2664.0,,-2137.0,,,,527.0,-33.0,,131.0,,0.0,,-98.0,494.0,-173.0,321.0,0.0,,,321.0,0.0,321.0,0.0,0.0,321.0,321.0,,255.214209,1.26,1.26,0.606667,262.37135,1.236667,1.236667,0.583334,
03/28/1998,6886.0,,-4127.0,,2759.0,,-2464.0,,,,295.0,-38.0,38.0,0.0,,0.0,,0.0,257.0,-77.0,180.0,0.0,,,180.0,0.0,180.0,0.0,0.0,180.0,180.0,,256.028495,0.7,0.7,0.7,261.985636,0.7,0.7,0.7,
06/27/1998,7023.0,,-4318.0,,2705.0,,-2569.0,1329.0,,1240.0,136.0,-2033.0,53.0,,,,,1980.0,-1897.0,569.0,-1328.0,,,,-1328.0,,-1328.0,,,-1328.0,-1328.0,1980.0,256.24278,-5.180002,-5.180002,-5.180002,256.24278,-5.180002,-5.180002,-5.180002,
09/26/1998,7152.0,,-4431.0,,2721.0,,-2620.0,1351.0,,1269.0,101.0,-62.0,62.0,,,,,0.0,39.0,-12.0,27.0,,,,27.0,,27.0,,,27.0,27.0,,256.585637,0.116667,0.116667,0.116667,259.071351,0.093333,0.093333,0.093333,
12/31/1998,8337.0,,-5899.0,,2438.0,,-2148.0,,,,290.0,-63.0,,216.0,,0.0,,-153.0,227.0,-68.0,159.0,0.0,,,159.0,0.0,159.0,0.0,0.0,159.0,159.0,,256.54278,0.606667,0.606667,0.35,256.54278,0.63,0.63,0.373333,
04/03/1999,7736.0,,-4601.0,,3135.0,,-2808.0,1471.0,,1337.0,327.0,-38.0,38.0,,,,,0.0,289.0,-90.0,199.0,,,,199.0,,199.0,0.0,0.0,199.0,199.0,,301.19991,0.653334,0.653334,0.653334,310.542764,0.653334,0.653334,0.653334,
07/03/1999,8030.0,,-4730.0,,3300.0,,-2881.0,1460.0,,1421.0,419.0,-47.0,47.0,47.0,0.0,,,0.0,372.0,-117.0,255.0,,,,255.0,,255.0,0.0,0.0,255.0,255.0,,301.771338,0.84,0.84,0.84,313.114192,0.84,0.84,0.84,
