Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
11/30/2004,7921.6,126.8,121.8,5.0,501.3,501.3,,667.5,134.9,75.2,346.4,111.0,152.6,,,,,,,1448.2,3886.1,4729.5,-843.4,42.1,,2545.2,2175.0,2175.0,0,,302.8,67.4,6473.4,,417.3,417.3,,,,111.4,,,,,,490.9,,,,490.9,1019.6,2353.1,,,,,1425.4,,,1425.4,3778.5,4798.1,,2160.0,,,0.0,987.7,-38.0,3109.7,13.8,3123.5,7921.6,
02/28/2005,8093.5,110.7,110.4,0.3,556.4,556.4,,784.2,123.9,92.2,456.2,111.9,73.3,,,,,,,1524.6,3869.5,4756.5,-887.0,42.4,,2657.0,2231.5,2231.5,0,,334.1,91.4,6568.9,,412.4,412.4,,,,98.4,,,,,,393.5,,,,393.5,904.3,2515.5,,,,,1499.2,,,1499.2,4014.7,4919.0,,2197.0,,,0.0,1024.0,-58.6,3162.4,12.1,3174.5,8093.5,
05/31/2005,8411.5,245.0,245.0,0.0,654.0,654.0,,753.4,167.2,23.6,458.4,104.2,75.9,,,,,,,1728.3,4121.4,5119.7,-998.3,41.5,,2520.3,2160.3,2160.3,0,,289.9,70.1,6683.2,,462.7,462.7,,,,204.9,,,,,,485.0,,,,485.0,1152.6,2455.2,,,,,1568.4,,,1568.4,4023.6,5176.2,,2170.1,,,0.0,1115.4,-72.0,3213.5,21.8,3235.3,8411.5,
08/31/2005,8607.4,201.3,201.3,0.0,665.2,665.2,,774.8,252.0,75.9,335.7,111.2,116.9,,,,,,,1758.2,4234.7,5307.2,-1072.5,31.7,,2582.8,2209.5,2209.5,0,,303.2,70.1,6849.2,,456.8,456.8,,,,153.4,,,,,,474.9,,,,474.9,1085.1,2444.5,,,,,1594.4,,,1594.4,4038.9,5124.0,,2197.3,,,,1189.0,73.3,3459.6,23.8,3483.4,8607.4,
11/30/2005,8695.5,166.0,166.0,,521.8,521.8,,786.3,337.7,60.1,388.5,0.0,177.0,,,,,,,1651.1,4317.1,5457.9,-1140.8,14.8,,2712.5,2304.4,2304.4,0,,326.1,82.0,7044.4,,461.7,461.7,,,,129.4,,,,,,511.5,,,,511.5,1102.6,2423.3,,,,,1559.8,,,1559.8,3983.1,5085.7,,2199.0,,,0.0,1241.4,143.2,3583.6,26.2,3609.8,8695.5,
02/28/2006,8704.4,164.6,164.6,0.0,427.7,427.7,,786.1,218.2,68.5,383.2,116.2,102.2,,,,,,,1480.6,4468.4,5688.4,-1220.0,0.0,,2755.4,2330.5,2330.5,0,,328.2,96.7,7223.8,,381.4,381.4,,,,252.0,,,,,,380.1,,,,380.1,1013.5,2407.2,,,,,1632.0,,,1632.0,4039.2,5052.7,,2237.4,,,0.0,1167.2,220.9,3625.5,26.2,3651.7,8704.4,
05/31/2006,8720.6,173.3,173.3,0.0,505.8,505.8,,760.9,274.8,27.9,458.2,0.0,140.4,,,,,,,1580.4,4416.6,5725.4,-1308.8,0.0,,2723.6,2347.1,2347.1,0,,,376.5,7140.2,,420.2,420.2,,,,222.1,,,,,,483.8,,,,483.8,1126.1,2384.6,,,,,1658.7,,,1658.7,4043.3,5169.4,,2248.7,,,0.0,982.9,299.2,3530.8,20.4,3551.2,8720.6,
08/31/2006,8745.6,214.8,214.8,0.0,466.6,466.6,,772.0,158.2,21.7,485.6,106.5,164.4,,,,,,,1617.8,4390.5,5773.4,-1382.9,0.0,,2737.3,2335.4,2335.4,0,,336.9,65.0,7127.8,,410.2,410.2,,,,346.7,,,,,,529.0,,,,529.0,1285.9,2224.9,,,,,1568.6,,,1568.6,3793.5,5079.4,0.0,2256.9,,,0.0,1091.9,295.1,3643.9,22.3,3666.2,8745.6,
11/30/2006,8653.2,268.4,268.4,,569.8,569.8,,655.4,120.2,161.3,373.9,0.0,0.0,,,,,,0.0,1627.4,4304.8,5765.6,-1460.8,,,2721.0,2305.7,2305.7,0,,350.9,0.0,7025.8,,811.4,811.4,,,,292.7,,,,,,129.5,,,,129.5,1233.6,2210.8,,,,,1537.0,,,1537.0,3747.8,4981.4,,2283.5,,,,1157.8,206.8,3648.1,23.7,3671.8,8653.2,
02/28/2007,8723.1,459.7,459.7,,501.3,501.3,,674.8,13.3,152.2,406.7,102.6,143.0,,,,,,,1778.8,4250.7,5785.1,-1534.4,,,2693.6,2271.4,2271.4,0,,350.5,71.7,6944.3,,800.6,800.6,,,,145.0,,,,,,196.1,,,,196.1,1141.7,2427.0,,,,,1493.2,,,1493.2,3920.2,5061.9,,2303.5,,,,1200.0,133.0,3636.5,24.7,3661.2,8723.1,
