Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,566.575012,,-500.795013,,,65.779999,,-17.084999,,,48.695,-13.059,,10.043,,3.016,,0.0,35.635999,-14.275,21.361,0.0,,,21.361,0.0,21.361,0.0,,21.361,21.361,,86.417999,0.246667,0.246667,,86.417999,0.246667,0.246667,0.246667,
06/30/1990,675.072998,,-591.502991,,,83.570007,,-16.334999,,,67.235001,-15.652,,12.541,,3.111,,0.0,51.583,-19.504999,32.077999,0.0,,,32.078001,0.0,32.077999,0.0,,32.077999,32.077999,,86.511,0.37,0.37,,86.511,0.37,0.37,0.37,
09/30/1990,984.018982,,-874.336975,,,109.682007,,-30.27,,,79.412003,-23.298,,19.753,,3.545,,0.0,56.114002,-23.915001,32.199001,0.0,,,32.199001,0.0,32.199001,0.0,,32.199001,32.199001,,86.543999,0.373333,0.373333,,86.543999,0.373333,0.373333,0.373333,
12/31/1990,846.403015,,-789.276978,,,57.126037,,-22.481001,,,34.645,0.379,,17.612,,-9.672,,-8.319,35.024,-13.585,21.438999,0.0,,,21.439,0.0,21.438999,0.0,,21.438999,21.438999,,86.580003,0.246667,0.246667,0.246667,86.580003,0.246667,0.246667,0.246667,
03/31/1991,831.585022,,-747.840027,,,83.744995,,-27.003,,,56.742001,-15.875,,15.595,,2.907,,-2.627,40.867,-18.122999,22.743999,0.0,,,22.744001,0.0,22.743999,0.0,,22.743999,22.743999,,86.583,0.263333,0.263333,,86.583,0.263333,0.263333,0.263333,
06/30/1991,1050.43396,,-943.848999,,,106.584961,,-25.975,,,80.610001,-17.902001,,18.870001,,1.619,,-2.587,62.708,-23.959999,38.748001,0.0,,,38.748001,0.0,38.748001,0.0,,38.748001,38.748001,,86.720999,0.446667,0.446667,,86.720999,0.446667,0.446667,0.446667,
09/30/1991,1050.900024,,-940.799988,,,110.100037,,-27.0,,,83.099998,-16.499999,,21.299999,,-0.1,,-4.7,66.599999,-25.799999,40.799999,0.0,,,40.8,0.0,40.799999,0.0,,40.799999,40.799999,,86.874001,0.47,0.47,,86.874001,0.47,0.47,0.47,
12/31/1991,874.481018,,-786.611023,,,87.869995,,-25.422001,,,62.448002,-17.622999,,20.834999,,3.074,,-6.286,44.825003,-15.917,28.908001,0.0,,,28.908003,-3.1,25.808001,0.0,,25.808001,25.808001,,87.079503,0.296667,0.296667,0.296667,87.079503,0.296667,0.296667,0.296667,
03/31/1992,839.400024,,-749.599976,,,89.800049,,-28.6,,,61.200001,-15.299999,,17.9,,1.3,,-3.9,45.900001,-19.5,26.4,0.0,,,26.400001,0.0,26.4,0.0,,26.4,26.4,,87.191998,0.303333,0.303333,,87.191998,0.303333,0.303333,0.303333,
06/30/1992,1018.099976,,-888.299988,,,129.799988,,-26.200001,,,103.599998,-15.6,,18.1,,2.1,,-4.6,87.999998,-39.299999,48.700001,0.0,,,48.699999,0.0,48.700001,0.0,,48.700001,48.700001,,87.385002,0.56,0.56,,87.385002,0.56,0.56,0.56,
