Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Provision for Doubtful Accounts,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Property Additions,Property Improvements,Change in Investments,Change in Notes,Change in Mortgages,Change in Real Estate Interest,Other Investing Activities,Cash from Investing Activities,Cash from Financing Activities,Dividends Paid,Preferred Dividends Other Distributions,Proceeds from Repayments of Borrowings,Change in Secured Debt,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
03/31/1994,8.931,-0.371,4.455,0.0,-2.095,6.942,,,,,,,,,,,,,,,,,,,,
06/30/1994,3.929,2.647,5.481,0.0,0.801,-5.0,,,,,,,,,,,,,,,,,,,,
09/30/1994,11.353,2.48,6.506,0.0,0.749,1.618,,,,,,,,,,,,,,,,,,,,
12/31/1994,11.68,2.982,6.027,0.0,5.067,-2.396,,,,,,,,,,,,,,,,,,,,
03/31/1995,8.501,2.304,6.15,0.0,1.127,-1.08,,,,,,,,,,,,,,,,,,,,
06/30/1995,9.408,2.101,6.123,0.0,2.313,-1.129,,,,,,,,,,,,,,,,,,,,
09/30/1995,7.167,2.82,6.477,0.0,1.615,-3.745,,,,,,,,,,,,,,,,,,,,
12/31/1995,19.860001,4.078,6.999,0.0,1.787,6.996,,,,,,,,,,,,,,,,,,,,
03/31/1996,14.959,4.401,7.751,0.0,1.873,0.934,,0.0,-61.714001,-0.577,0.0,0.0,0.0,,-1.313,-63.604,41.895,-13.316,,55.210999,,0.0,0.0,0.0,-6.75,
06/30/1996,12.135,4.312,7.899,0.0,4.05,-4.126,,0.0,-5.088,-4.917,0.0,0.0,0.0,,-1.331,-11.336,-5.507,-13.427,,8.284,,0.0,0.0,-0.364,-4.708,
09/30/1996,16.493999,4.66,8.149,0.0,2.521,1.164,,0.0,-0.409,-0.479,0.0,0.0,0.0,,-4.296,-5.184,-12.791,-13.285,,0.948,,0.0,0.0,-0.454,-1.481,
12/31/1996,36.842999,5.538,8.792,0.0,2.879,19.634001,,0.0,-210.108002,-2.966,0.0,0.0,0.0,,-3.477,-216.550995,192.720001,-16.587,,208.488998,,0.0,0.0,0.818,13.012,
03/31/1997,23.731001,6.751,9.474,0.0,3.176,4.33,,0.0,-56.75,-0.991,0.0,0.0,0.0,0.0,-1.9,-59.640999,29.895,-11.391,-4.871,46.157001,,0.0,0.0,0.0,-6.015,
06/30/1997,13.451,6.172,10.207,0.0,3.676,-6.604,,0.0,0.0,-4.55,0.0,0.0,0.0,1.083,-5.438,-8.905,-5.791,-11.392,-4.635,10.236,,0.0,0.0,0.0,-1.245,
09/30/1997,17.473,1.87,10.134,0.0,-0.689,6.158,,4.332,-90.834999,-6.624,0.0,0.0,0.0,2.141,-2.541,-93.527,80.490997,-11.422,-5.164,97.077003,,0.0,0.0,0.0,4.437,
12/31/1997,23.820999,7.253,11.72,0.0,3.373,1.475,,0.0,-52.144001,-3.363,0.0,0.0,0.0,5.237,-2.663,-52.932999,41.445999,-11.902,-5.067,58.415001,,0.0,0.0,0.0,12.334,
03/31/1998,27.417,7.471,11.72,0.0,3.098,5.128,,0.0,-1.719,-8.729,0.0,-11.678,0.0,-241.255,-4.643,-268.024,234.179,-16.65,-0.649,76.915,76.915,0.0,0.0,174.563,-6.428,
