Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2005,199.462006,57.828001,45.428001,12.4,10.888,10.888,,,,,,,26.575001,,,,,95.291,17.667,,,,,86.503998,84.530998,81.282997,3.248001,1.973,104.170998,,1.637,1.637,,,,,,,,,18.908,,,,18.908,20.545,13.0,,,,,27.614,,,,,27.614,40.614,61.159,,40.487,,,-5.541,77.690002,25.667,138.303002,,138.303002,199.462002,
06/30/2005,202.539993,65.639,65.639,,14.318,14.318,,,,,,,24.705,,,,,104.662003,16.105,,,,,81.773003,79.911003,77.122002,2.789001,1.862,97.878003,,1.172,1.172,,,,,,,,,31.070001,,,,31.070001,32.242001,13.0,,,,,32.703999,,,,,32.703999,45.703999,77.946,,,,,-5.541,70.955002,18.514999,83.929001,,83.929001,161.875001,
09/30/2005,212.091995,46.232001,34.234001,11.998,14.244,,,,,,,,25.729,,,,,86.205002,18.518,,,,,107.369003,78.601997,76.153,2.448997,28.767006,125.887003,,1.774,1.774,,,,,,,,,24.886999,,,,24.886999,26.660999,13.0,,,,,46.037998,,,,,46.037998,59.037998,85.698997,,41.200001,,,-5.541,73.710999,17.023002,126.393002,,126.393002,212.091999,
12/31/2005,265.77,131.183,20.002,111.181,13.0,13.0,,0.0,0.0,0.0,0.0,0.0,19.832,,,,,164.015,20.348,76.571,-56.223,2.296,,79.111,76.054,73.967,2.087,3.057,101.755,,1.697,1.697,,,0.0,0.0,0.0,0.0,,,24.697,,,,24.697,26.394,0.0,0.0,0.0,0.0,,6.753,,,,,6.753,6.753,33.147,0.0,178.173,,,-5.541,47.911,12.08,232.623,0.0,232.623,265.77,
03/31/2006,291.696,142.091,8.198,133.893,18.414,18.414,,,,,,,21.43,,,,,181.935,21.556,,,8.618,,79.587,76.654,74.85,1.804,2.933,109.761,,2.719,2.719,,,,,,,,,25.53,,,,25.53,28.249,,,,,,6.786,,,,,6.786,6.786,35.035,,176.195,,,-7.312,67.575,20.203,256.661,,256.661,291.696,
06/30/2006,350.22,188.555,54.094,134.461,25.801,25.801,,,,,,,28.077,,,,,242.433,23.887,,,,,83.9,81.192,79.574,1.618,2.708,107.787,,1.204,1.204,,,,,,,,,24.488,,,,24.488,25.692,,,,,,7.885,,,,,7.885,7.885,33.577,,198.134,,,-8.101,98.542,28.068,316.643,,316.643,350.22,
09/30/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2006,493.211,281.611,204.257,77.354,31.673,31.673,,,,,,,27.633,,,,,340.917,26.28,85.489,-59.209,38.738,,87.276,79.742,79.575,0.167,7.534,152.294,,1.406,1.406,,,,,,,,,36.493,,,,36.493,37.899,,,,,,0.844,,,,,0.844,0.844,38.743,,245.626,,,-9.748,191.179,27.411,454.468,,454.468,493.211,
03/31/2007,2294.933,177.308,114.864,62.444,48.254,48.254,,,0.0,0.0,0.0,0.0,716.876,,,,,942.438,50.691,,,38.745,,1263.059,1251.406,1078.629,172.777,11.653,1352.495,,41.667,41.667,,,37.5,,,,,,679.65,,,,679.65,758.817,212.5,,,,,83.519,,,,,83.519,296.019,1054.836,,990.688,,,-24.654,246.668,27.395,1240.097,,1240.097,2294.933,
06/30/2007,2548.245,231.229,120.852,110.377,58.017,58.017,,0.0,0.0,0.0,0.0,0.0,753.634,,,,,1042.88,57.199,,,38.745,,1409.421,1399.814,1079.42,320.394,9.607,1505.365,,39.576,39.576,,,37.5,37.5,0.0,0.0,,,794.886,,,,794.886,871.962,203.125,203.125,0.0,0.0,,167.196,,,,,167.196,370.321,1242.283,0.0,1003.545,,,-25.427,300.375,27.469,1305.962,0.0,1305.962,2548.245,
09/30/2007,2684.216,193.079,92.825,100.254,58.581,58.581,,,,,,,795.079,,,,,1046.739,60.768,,,38.758,,1537.951,1526.316,1007.779,518.537,11.635,1637.477,,33.447,33.447,,,37.5,,,,,,801.761,,,,801.761,872.708,193.75,,,,,231.369,,,,,231.369,425.119,1297.827,,1017.769,,,-27.121,367.056,28.685,1386.389,,1386.389,2684.216,
12/31/2007,2796.345,260.552,119.597,140.955,51.241,51.241,,,,,,,830.301,,,,,1142.094,63.524,142.928,-79.404,38.778,,1551.949,1547.409,1009.687,537.722,4.54,1654.251,,27.811,27.811,,,37.5,,,,,,845.65,,,,845.65,910.961,184.375,,,,,224.153,,,,,224.153,408.528,1319.489,,1044.681,,,-30.188,431.708,30.655,1476.856,,1476.856,2796.345,
03/31/2008,3052.935,276.653,215.877,60.776,74.524,74.524,,,,,,,983.163,,,,,1334.34,62.683,,,48.153,,1607.759,1599.016,1054.5,544.516,8.743,1718.595,,25.073,25.073,,,37.5,,,,,,991.967,,,,991.967,1054.54,175.0,,,,,228.909,,,,,228.909,403.909,1458.449,,1098.475,,,-56.617,523.998,28.63,1594.486,,1594.486,3052.935,
06/30/2008,2996.058,374.372,362.858,11.514,78.376,78.376,,,,,,,826.105,,,,,1278.853,64.376,,,44.838,,1607.991,1595.298,1054.071,541.227,12.693,1717.205,,30.98,30.98,,,40.625,,,,,,840.89,,,,840.89,912.495,162.5,,,,,223.084,,,,,223.084,385.584,1298.079,,1116.065,,,-56.008,608.862,29.06,1697.979,,1697.979,2996.058,
09/30/2008,4160.871,245.478,241.727,3.751,98.694,98.694,,0.0,0.0,0.0,0.0,0.0,1404.101,,,,,1748.273,76.242,,,53.425,,2282.931,2172.704,1423.603,749.101,110.227,2412.598,,47.349,47.349,,,43.75,43.75,0.0,0.0,,,1467.214,,,,1467.214,1558.313,345.0,345.0,0.0,0.0,,297.171,,,,,297.171,642.171,2200.484,0.0,1599.014,,,-355.492,683.825,27.228,1954.575,5.812,1960.387,4160.871,
