Date,Revenue,Consensus Estimate,Comparable Actual,Revenue Surprise %,GAAP Actual,Adjusted Actual,Earnings Per Share,EBIT,EBITDA,Gross Margin %,Pretax Income (Loss),Net Income,Source: Bloomberg
03/31/2001,,,78.513,,81.622002,81.622002,,,,,,,
06/30/2001,,,196.240997,,228.688004,228.688004,,,,,,,
09/30/2001,,,241.561005,,213.861,213.861,,,,,,,
12/31/2001,,,-7.598,,33.28,33.28,,,,,,,
03/31/2002,,,96.875999,,-137.423996,-137.423996,,,,,,,
06/30/2002,,,122.163002,,175.753006,175.753006,,,,,,,
09/30/2002,,,210.733994,,50.436,50.436,,,,,,,
12/31/2002,,,-61.305,,-648.0,-648.0,,,,,,,
03/31/2003,,,-51.783001,,-452.402008,-452.402008,,,,,,,
06/30/2003,,,-34.109001,,-5.909,-5.909,,,,,,,
09/30/2003,,,218.705994,,-916.339,-916.339,,,,,,,
12/31/2003,,,-14.117,,32.533001,32.533001,,,,,,,
03/31/2004,,,-58.761002,,-38.370998,-38.370998,,,,,,,
06/30/2004,,,-12.936,,-71.676003,-71.676003,,,,,,,
09/30/2004,,,147.143005,,345.036011,345.036011,,,,,,,
12/31/2004,,,-108.343002,,-264.358002,-264.358002,,,,,,,
03/31/2005,,,-105.153999,,-24.922,-24.922,,,,,,,
06/30/2005,,,-10.13,,98.724,98.724,,,,,,,
09/30/2005,,,169.703995,533.124144444444,-270.297,-270.297,,,,,,,
12/31/2005,,,-149.376007,90.8952476642336,-158.06,-158.06,,,,,,,
03/31/2006,,,-161.983994,184.534229582367,-133.119,-133.119,,,,,,,
06/30/2006,,,-6.852,52.3416456766401,14.176,14.176,,,,,,,
09/30/2006,,,83.153,11.5991936191762,-155.163,-155.163,,,,,,,
12/31/2006,,,-64.162003,0.783706104901109,-53.706,-53.706,,,,,,,
03/31/2007,,,-54.637001,25.5033771049137,258.711,258.711,,,,,,,
06/30/2007,,,-8.538,5.61638258270227,-282.952,-282.952,,,,,,,
09/30/2007,,,160.852997,22.2211760952052,162.382,162.382,,,,,,,
12/31/2007,,,25.013,4.83122050775462,226.966,226.966,,,,,,,
03/31/2008,,,45.794998,0.586783565559121,377.212,377.212,,,,,,,
06/30/2008,,,7.169,27.704146882704,358.688,358.688,,,,,,,
09/30/2008,,,65.848999,38.1851516537203,-1037.92,-1037.92,,,,,,,
12/31/2008,,,-87.327003,39.115726320337,-437.655,-437.655,,,,,,,
03/31/2009,,,-77.348,-66.6136953004763,-151.413,-117.4355,,,,,,,
06/30/2009,,,-108.7906,13.1756678281069,803.566,-97.89725,,,,,,,
09/30/2009,,,-19.179001,32.6825339437541,-15.428,-12.3605,,,,,,,
12/31/2009,,,-109.404999,15.8883044678715,-233.913,-432.4554,,,,,,,
03/31/2010,,,-104.912003,51.1019545227386,407.0,291.3,,,,,,,
06/30/2010,,,-133.910995,10.1866734581498,-263.0,-81.0,,,,,,,
09/30/2010,,,57.972,30.6284700374532,254.0,228.0,,,,,,,
12/31/2010,,,-30.0,-31.5182279649285,-631.0,-631.0,,,,,,,
03/31/2011,,,5.0,-0.640830027464144,-111.0,-57.05,,,,,,,
06/30/2011,,,-136.0,0.650759219088937,-138.0,-141.9,,,,,,,
09/30/2011,,,44.55,4.42349528643945,-40.0,27.6,,,,,,,
12/31/2011,,,,,100.0,100.0,,,,,,,
03/31/2012,,,-76.0,,-32.0,-97.0,,,,,,,
06/30/2012,,,-107.0,,-228.0,-135.7,,,,,,,
09/30/2012,,,141.0,,-85.0,8.6,,,,,,,
12/31/2012,,,-141.0,,-141.0,-141.0,,,,,,,
03/31/2013,,,,,-240.0,-78.8,,,,,,,
06/30/2013,,,,,85.0,65.5,,,,,,,
09/30/2013,,,,,101.0,146.5,,,,,,,
12/31/2013,,,,,-5.0,-5.0,,,,,,,
03/31/2014,,,3.0,11.9402985074627,3.0,158.35,,,,,,,
06/30/2014,,,,,-25.0,33.5,,,,,,,
09/30/2014,,,,,46.0,86.95,,,,,,,
12/31/2014,,,,,168.0,168.0,,,,,,,
03/31/2015,,,,,-11.0,-11.0,,,,,,,
06/30/2015,,,,,-18.0,-18.0,,,,,,,
09/30/2015,,,,,58.0,58.0,,,,,,,
12/31/2015,,,-46.75,,-144.0,-75.75,,,,,,,
03/31/2016,,,,,101.0,99.05,,,,,,,
06/30/2016,,,,,-116.0,-77.65,,,,,,,
09/30/2016,,,,,263.0,92.7,,,,,,,
12/31/2016,,,,,-167.0,-85.1,,,,,,,
03/31/2017,,,,,-37.0,-37.0,,,,,,,
06/30/2017,,,,,7.0,7.0,,,,,,,
09/30/2017,,,,,72.0,72.0,,,,,,,
12/31/2017,,,,,-337.0,-166.05,,,,,,,
03/31/2018,,,,,113.0,131.17,,,,,,,
06/30/2018,,,,,403.0,89.37,,,,,,,
09/30/2018,,,,,143.0,263.87,,,,,,,
12/31/2012,,,,,,,,,,,,,
03/31/2013,,-1.07,,,,,,,,,,,
