Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Other Share Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2008,19078.371094,668.093018,668.093018,0,1773.938965,1773.938965,,0,0,0,0,0,466.867004,,,,,,2908.898926,3081.487061,6132.371094,-3050.884033,480.806,,,12607.179688,12246.582031,7256.251953,4990.330078,,360.597656,16169.472748,,141.300995,141.300995,,,,1228.415039,,,,,,1287.654083,,,1287.654083,2657.370117,4543.903809,,,,,1530.404053,,,,,,1530.404053,6074.307861,8731.677979,0,26936.691406,,,,-8.163,-17407.162109,354.668859,9876.035156,470.658997,10346.694153,19078.372131,
09/30/2008,27566.111,243.749,243.749,0,1595.649,1595.649,,0,0,0,0,0,409.675,,,,,,2249.073,3467.967,3525.894,-57.927,104.048,,,21745.023,20752.749,9804.827,10947.922,397.721,594.553,25317.038,,118.614,118.614,,,,567.167,,,,,,1040.261,,,1040.261,1726.042,19035.082,,,,,4473.544,,,,,,4473.544,23508.626,25234.668,0,2094.16,,,,-0.001,-44.732,-190.729,1858.698,472.745,2331.443,27566.111,
03/31/2009,22029.059,1574.8,1574.8,0,1223.406,1223.406,0.0,0,0,0,0,0,433.726,130.346,,,,303.38,3231.932,3447.753,3682.906,-235.153,397.782,386.321,11.461,14951.592,14401.865,7191.791,7210.074,,549.727,18797.127,,925.916,109.116,,108.429,708.371,803.438,0.0,,,,803.438,205.392,,,0.0,1934.746,20213.29,20213.29,,,,3264.598,,,,,2620.927,643.671,23477.888,25412.634,0,2107.805,0.082,2107.723,,-0.001,-5460.215,-474.586,-3826.997,443.422,-3383.575,22029.059,
06/30/2009,17897.885,1497.502,1497.502,0,1335.479,1335.479,0.0,0,0,0,0,0,395.98,104.602,,,13.27,278.108,3228.961,3429.5,3762.861,-333.361,401.58,390.113,11.467,10837.844,10443.5,4094.91,6348.59,,394.344,14668.924,,989.753,119.742,,154.131,715.88,298.531,0.0,,,,298.531,200.734,,,0.0,1489.018,20247.458,20247.458,,,,3131.622,,,,,2407.801,723.821,23379.08,24868.098,0,2104.78,0.082,2104.698,,-0.088,-9133.619,-400.391,-7429.318,459.105,-6970.213,17897.885,
09/30/2009,17696.076,1374.77,1374.77,0,1312.295,1312.295,0.0,0,0,0,0,0,378.357,96.253,,,,282.104,3065.422,3412.07,3841.459,-429.389,398.801,387.115,11.686,10819.783,10447.865,4176.813,6271.052,,371.918,14630.654,,929.289,105.986,10.037,79.529,733.737,443.615,0.0,,,,443.615,184.559,,,0.0,1557.463,19820.158,19820.158,,,,3339.015,,,,,2520.389,818.626,23159.173,24716.636,0,2110.271,0.082,2110.189,,-0.185,-9223.474,-354.528,-7467.916,447.356,-7020.56,17696.076,
12/31/2009,18047.101,1883.994,1883.994,0,1301.7,1301.7,0.0,0,0,0,0,0,473.151,81.669,0.0,,,391.482,3658.845,3332.393,3851.362,-518.969,391.499,390.034,1.465,10664.364,10286.306,4125.005,6161.301,,378.058,14388.256,,995.74,132.193,,137.236,726.311,398.779,0.0,0.0,0.0,,398.779,149.617,0.0,0.0,0.0,1544.136,20303.126,20303.126,0.0,0.0,,3044.577,0.0,0.0,0.0,0.0,2220.023,824.554,23347.703,24891.839,0,2109.192,0.082,2109.11,,-0.185,-9076.084,-333.309,-7300.386,455.648,-6844.738,18047.101,
03/31/2010,17399.984,1482.291,1482.291,0,1201.429,1201.429,0.0,0,0,0,0,0,484.647,,,,,484.647,3168.367,3259.714,3859.519,-599.805,0.0,,,10971.903,10195.333,4114.421,6080.912,,776.57,14231.617,,891.621,891.621,,,,800.184,0.0,,,,800.184,197.41,,,0.0,1889.215,19576.685,19576.685,,,,2988.87,,,,,2141.305,847.565,22565.555,24454.77,0,2113.51,0.082,2113.428,,-0.185,-9251.498,-367.074,-7505.247,450.461,-7054.786,17399.984,
06/30/2010,17286.782,1504.73,1504.73,0,1323.697,1323.697,0.0,0,0,0,0,0,459.264,,,,,459.264,3287.691,3169.476,3840.567,-671.091,0.0,,,10829.615,10068.236,4092.443,5975.793,,761.379,13999.091,,943.34,943.34,,,,916.043,0.0,,,,916.043,187.47,,,0.0,2046.853,19535.311,19535.311,,,,2913.916,,,,,2079.5,834.416,22449.227,24496.08,0,2119.22,0.082,2119.138,,-0.917,-9337.822,-436.495,-7656.014,446.716,-7209.298,17286.782,
09/30/2010,17393.491,1700.834,1700.834,0,1357.179,1357.179,0.0,0,0,0,0,0,343.663,,,,,343.663,3401.676,3186.514,3971.48,-784.966,0.0,,,10805.301,10028.328,4120.633,5907.695,,776.973,13991.815,,945.292,945.292,,,,847.496,0.0,,,,847.496,198.503,,,0.0,1991.291,19691.007,19691.007,,,,2930.789,,,,,2065.548,865.241,22621.796,24613.087,0,2123.48,0.082,2123.398,,-2.55,-9492.507,-319.933,-7691.51,471.914,-7219.596,17393.491,
12/31/2010,17479.867,1920.926,1920.926,0,1393.365,1393.365,0.0,0,0,0,0,0,308.367,124.114,0.0,,,184.253,3622.658,3145.554,4021.128,-875.574,0.0,,,10711.655,9945.716,4119.326,5826.39,,765.939,13857.209,,1097.551,127.263,,121.199,849.089,867.735,0.0,0.0,0.0,,867.735,152.778,0.0,0.0,0.0,2118.064,19739.617,19739.617,0.0,0.0,,2826.872,0.0,0.0,0.0,0.0,2050.196,776.676,22566.489,24684.553,0,2130.954,0.083,2130.871,,-2.571,-9555.173,-268.816,-7695.606,490.92,-7204.686,17479.867,
03/31/2011,16938.645,1510.804,1510.804,0,1259.912,1259.912,0.0,0,0,0,0,0,371.913,,,,,371.913,3142.629,3117.816,4097.874,-980.058,0.0,,,10678.2,9889.025,4134.629,5754.396,,789.175,13796.016,,881.121,881.121,,,,404.555,0.0,,,,404.555,212.803,,,0.0,1498.479,19999.658,19999.658,,,,2720.94,,,,,2000.313,720.627,22720.598,24219.077,0,2128.067,0.083,2127.984,,-2.571,-9687.005,-219.824,-7781.333,500.901,-7280.432,16938.645,
06/30/2011,16882.051,1219.156,1219.156,0,1453.26,1453.26,0.0,0,0,0,0,0,352.6,,,,,352.6,3025.016,3118.22,4200.831,-1082.611,0.0,,,10738.815,9925.006,4210.765,5714.241,,813.809,13857.035,,1013.815,851.536,,162.279,,289.943,0.0,,,,289.943,220.304,,,0.0,1524.062,19885.059,19885.059,,,,2742.955,,,,,2005.472,737.483,22628.014,24152.076,0,2130.604,0.083,2130.521,,-2.877,-9740.184,-179.977,-7792.434,522.409,-7270.025,16882.051,
09/30/2011,16508.946,1165.381,1165.381,0,1382.269,1382.269,0.0,0,0,0,0,0,375.942,,,,,375.942,2923.592,3037.215,4186.095,-1148.88,0.0,,,10548.139,9797.799,4184.573,5613.226,,750.34,13585.354,,919.223,843.458,,75.765,,285.078,0.0,,,,285.078,188.019,,,0.0,1392.32,19894.723,19894.723,,,,2677.93,,,,,1958.025,719.905,22572.653,23964.973,0,2130.32,0.083,2130.237,,-2.877,-9814.24,-280.593,-7967.39,511.363,-7456.027,16508.946,
