Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
04/29/1989,598.065002,,,-376.342987,,221.722015,,-195.619003,,,,26.103001,4.479,,20.455999,,,,-24.934999,30.582001,-11.0,19.582001,,,,19.582001,,19.582001,-0.005,,19.577001,19.577001,,96.786003,0.203333,0.203333,,96.786003,0.203333,0.203333,0.203333,
07/29/1989,629.203003,,,-396.612,,232.591003,,-205.494003,,,,27.097,2.215,,24.816,,,,-27.031,29.312,-10.56,18.752001,,,,18.752,,18.752001,-0.005,,18.747001,18.747001,,99.257996,0.19,0.19,,99.257996,0.19,0.19,0.19,
10/28/1989,727.179016,,,-454.028015,,273.151001,,-239.386002,,,,33.764999,4.174999,,22.381001,,,,-26.556,37.939999,-13.7,24.24,,,,24.239999,,24.24,-0.005,,24.235,24.235,,105.516003,0.23,0.23,,105.516003,0.23,0.23,0.23,
02/03/1990,1094.61499,,,-699.987976,,394.627014,,-272.346008,,,,122.280998,7.776999,,24.183001,,,,-31.959999,130.057997,-44.540001,85.517998,,,,85.517996,,85.517998,-0.007,,85.510998,85.510998,,103.033733,0.81,0.81,,103.033733,0.81,0.81,0.81,
05/05/1990,742.382019,,,-464.05899,,278.323029,,-238.951996,,,,39.370998,6.559,,21.683001,,,,-28.242001,45.929998,-16.540001,29.389999,,,,29.389997,,29.389999,-0.005,,29.384999,29.384999,,107.750999,0.273333,0.273333,,107.750999,0.273333,0.273333,0.273333,
08/04/1990,774.564026,,,-488.09201,,286.472016,,-249.815994,,,,36.655998,8.255999,,24.621,,,,-32.876999,0.0,-16.16,28.752001,,,,-16.16,,28.752001,-0.005,,28.747001,28.747001,,107.973003,0.266667,0.266667,,107.973003,0.266667,0.266667,0.266667,
11/03/1990,873.48999,,,-547.583008,,325.906982,,-282.255005,,,,43.652,6.905001,,24.517,,,,-31.422001,50.557001,-18.200001,32.356998,,,,32.357,,32.356998,-0.005,,32.351998,32.351998,,110.483997,0.293333,0.293333,,110.483997,0.293333,0.293333,0.293333,
02/02/1991,1215.082031,,,-788.156982,,426.925049,,-297.234009,,,,129.690994,9.687998,,26.211,,,,-35.898998,139.378992,-47.099998,92.308998,,,,92.278994,,92.308998,-0.007,,92.301998,92.301998,,111.201003,0.83,0.83,0.83,111.201003,0.83,0.83,0.83,
05/04/1991,886.008972,,,-561.799011,,324.209961,,-274.923004,,,,49.286999,10.262001,,25.277,,,,-35.539001,59.549,-21.43,38.118999,,,,38.118999,,38.118999,-0.005,,38.113999,38.113999,,111.471004,0.343333,0.343333,,111.471004,0.343333,0.343333,0.343333,
08/03/1991,873.857971,,,-556.309021,,317.54895,,-273.372009,,,,44.176998,11.601002,,25.702999,,,,-37.304001,55.778,-20.1,35.678001,,,,35.677999,,35.678001,-0.005,,35.673001,35.673001,,111.863995,0.32,0.32,,111.863995,0.32,0.32,0.32,
