Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2010,416.502,279.032,137.47,-294.164,294.164,122.338,0.0,-102.056,64.199,0.0,37.857,0.0,20.282,-36.414,35.811,35.839,-0.028,0.0,,0.603,-16.132,0.0,,,,-16.132,0.0,0.0,0.0,-16.132,,-16.132,0.0,0.0,-16.132,-16.132,0.0,21.226316,-0.76,-0.76,-0.76,21.226316,-0.76,-0.76,-0.76,
06/30/2010,477.915,328.683,149.232,-321.394,321.394,156.521,0.0,-100.682,61.786,0.0,38.896,0.0,55.839,-70.779,37.01,37.047,-0.037,0.0,0.0,33.769,-14.94,0.0,0.0,0.0,0.0,-14.94,0.0,0.0,0.0,-14.94,0.0,-14.94,0.0,0.0,-14.94,-14.94,0.0,21.04,-0.71,-0.71,-0.71,21.04,-0.71,-0.71,-0.71,
03/31/2011,495.51,332.045,163.465,-344.239,344.239,151.271,0.0,-116.459,70.202,0.0,46.257,0.0,34.812,-45.437,47.869,47.879,-0.01,0.0,0.0,-2.432,-10.625,0.0,0.0,0.0,0.0,-10.625,0.0,0.0,0.0,-10.625,0.0,-10.625,0.0,0.0,-10.625,-10.625,0.0,21.25,-0.5,-0.5,-0.5,21.25,-0.5,-0.5,-0.5,
06/30/2011,568.586,393.298,175.288,-382.907,382.907,185.679,0.0,-109.477,62.967,0.0,46.51,0.0,76.202,-47.026,46.682,46.696,-0.014,,,0.344,29.176,0.0,,,,29.176,0.0,0.0,0.0,29.176,0.0,29.176,0.0,0.0,29.176,29.176,0.0,21.142,1.38,1.38,1.38,21.2963,1.37,1.37,1.37,
09/30/2011,666.634,490.081,176.553,-399.28,399.28,267.354,0.0,-107.335,60.818,0.0,46.517,0.0,160.019,-52.51,49.888,49.888,0.0,,,2.622,107.509,0.0,,,,107.509,0.0,0.0,0.0,107.509,0.0,107.509,0.0,0.0,107.509,107.509,0.0,21.1631,5.08,5.08,5.08,21.373559,5.03,5.03,5.03,
12/31/2011,488.594,337.383,151.211,-343.381,343.381,145.213,0.0,-102.874,58.173,0.0,44.701,0.0,42.339,-44.28,45.748,,,0.0,0.0,-1.468,-1.941,,,,0.0,-1.941,0.0,0.0,0.0,-1.941,,-1.941,0.0,0.0,-1.941,-1.941,0.0,177.968484,-0.01,-0.01,-0.01,177.968484,-0.01,-0.01,-0.01,
03/31/2012,515.43,351.33,164.1,-352.027,352.027,163.403,0.0,-116.959,71.162,,45.797,0.0,46.444,-43.16,46.17,,,,,-3.01,3.284,0.0,,,,3.284,0.0,0.0,0.0,3.284,0.0,3.284,0.0,0.0,3.284,3.284,0.0,178.140455,0.02,0.02,0.02,178.95496,0.02,0.02,0.02,
06/30/2012,583.234,416.219,167.015,-387.741,387.741,195.493,0.0,-108.487,61.807,,46.68,0.0,87.006,-50.904,48.905,,,,,1.999,36.102,-0.071,,,,36.031,0.0,0.0,0.0,36.031,0.0,36.031,0.0,0.0,36.031,36.031,0.0,178.199155,0.2,0.2,0.2,178.949924,0.2,0.2,0.2,
09/30/2012,674.411,490.322,184.089,-394.071,394.071,280.34,0.0,-106.202,57.779,,48.423,0.0,174.138,-45.552,47.196,,,,,-1.644,128.586,-0.398,,,,128.188,0.0,0.0,0.0,128.188,0.0,128.188,0.0,0.0,128.188,128.188,0.0,178.252763,0.72,0.72,0.72,179.05005,0.72,0.72,0.72,
12/31/2012,503.171,346.692,156.479,-344.594,344.594,158.577,0.0,-109.072,60.435,0.0,48.637,0.0,49.505,-48.452,47.659,,,0.0,0.0,0.793,1.053,,,,0.0,1.053,0.0,0.0,0.0,1.053,,1.053,0.0,0.0,1.053,1.053,0.0,178.34347,0.01,0.01,0.01,179.144241,0.01,0.01,0.01,
03/31/2013,527.631,358.928,168.703,-362.689,362.689,164.942,0.0,-133.954,85.206,,48.748,0.0,30.988,-128.488,127.656,,,,,0.832,-97.5,,,,,-97.5,0.0,0.0,0.0,-97.5,1.105,-96.395,0.0,0.0,-96.395,-37.56675,58.82825,198.350433,-0.49,-0.49,-0.189396,198.350433,-0.49,-0.49,-0.193413,
06/30/2013,644.433,457.619,186.814,-421.079,421.079,223.354,0.0,-127.965,74.111,,53.854,0.0,95.389,-103.257,103.686,,,,,-0.429,-7.868,-1.047,,,,-8.915,0.0,0.0,0.0,-8.915,0.074,-8.841,0.0,0.0,-8.841,36.7032,45.5442,203.997492,-0.04,-0.04,0.17992,203.997492,-0.04,-0.04,0.17992,
09/30/2013,797.885,583.923,213.962,-456.102,456.102,341.783,0.0,-133.703,77.606,,56.097,0.0,208.08,-27.253,26.627,,,,,0.626,180.827,-7.933,,,,172.894,0.0,0.0,0.0,172.894,-2.036,170.858,0.0,0.0,170.858,170.858,0.0,204.425308,0.84,0.84,0.84,210.703244,0.82,0.82,0.82,
12/31/2013,600.345,415.399,184.946,-417.789,417.789,182.556,0.0,-121.126,64.232,,56.894,0.0,61.43,-24.398,24.633,,,,,-0.235,37.032,-0.625,,,,36.407,0.0,0.0,0.0,36.407,-0.315,36.092,0.0,0.0,36.092,36.092,0.0,205.112064,0.18,0.18,0.18,210.914163,0.17,0.17,0.17,
03/31/2014,664.028,458.49,205.538,-445.91,445.91,218.118,0.0,-145.029,83.389,,61.64,0.0,73.089,-30.784,31.172,,,,,-0.388,42.305,9.387,,,,51.692,0.0,0.0,0.0,51.692,-0.425,51.267,0.0,0.0,51.267,44.567,-6.7,205.163256,0.25,0.25,0.217227,211.013814,0.24,0.24,0.208249,
06/30/2014,765.927,528.782,237.145,-470.796,470.796,295.131,0.0,-146.543,83.084,,63.459,0.0,148.588,-32.185,31.86,,,,,0.325,116.403,-3.124,,,,113.279,0.0,0.0,0.0,113.279,-1.663,111.616,0.0,0.0,111.616,114.458,2.842,204.965718,0.54,0.54,0.558425,210.472991,0.54,0.54,0.553503,
09/30/2014,907.017,659.117,247.9,-511.298,511.298,395.719,0.0,-160.897,97.111,,63.786,0.0,234.822,-29.042,32.284,,,,,-3.242,205.78,-2.502,,,,203.278,0.0,0.0,0.0,203.278,-2.2,201.078,0.0,0.0,201.078,223.026,21.948,203.220218,0.99,0.99,1.09746,208.507181,0.97,0.97,1.075263,
