Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1989,1280.699951,,,,,,,,,,,,,,,,,,,,,,,,,,9.699999,,,9.699999,9.699999,,93.999992,0.105,0.105,,93.999992,0.105,0.105,0.105,
06/30/1989,1397.099854,,,,,,,,,,,,,,,,,,,,,,,,,,-78.099991,,,-78.099991,-78.099991,,93.999992,-0.835,-0.835,,93.999992,-0.835,-0.835,-0.835,
09/30/1989,1245.599854,,,,,,,,,,,,,,,,,,,,,,,,,,21.499998,,,21.499998,21.499998,,93.999992,0.23,0.23,,93.999992,0.23,0.23,0.23,
12/31/1989,1325.000244,,,,,,,,,,,1325.000244,,,,,,,,,1325.000244,,,,,,-33.600002,,,-33.600002,-33.600002,,93.999992,-0.355,-0.355,-0.355,93.999992,-0.355,-0.355,-0.355,
03/31/1990,1277.199951,,-1110.800049,,166.399902,,-113.0,,,,,53.400002,88.500002,,24.9,,0.0,-113.400002,141.900003,-45.900002,96.0,0.0,,,96.000002,0.0,96.0,0.0,,96.0,96.0,,94.0,1.02,1.02,,94.0,1.02,1.02,1.02,
06/30/1990,1414.099976,,-1223.5,,190.599976,,-123.900002,,,,,66.699997,-23.3,,23.1,,0.0,0.2,43.399997,-14.1,29.299999,0.0,,,29.299996,0.0,29.299999,0.0,,29.299999,29.299999,,94.0,0.315,0.315,,94.0,0.315,0.315,0.315,
09/30/1990,1277.400024,,-1089.5,,187.900024,,-100.800003,,,,,87.099998,-23.2,,24.0,,0.0,-0.8,63.899998,-21.5,42.400002,0.0,,,42.399998,0.0,42.400002,0.0,,42.400002,42.400002,,94.0,0.45,0.45,,94.0,0.45,0.45,0.45,
12/31/1990,1521.099976,,-1323.900024,,197.199952,,-112.800003,,,,,84.400002,-21.1,,22.9,,0.0,-1.8,63.300002,-20.6,42.700001,0.0,,,42.700002,0.0,42.700001,0.0,,42.700001,42.700001,,93.888,0.455,0.455,0.455,93.888,0.455,0.455,0.455,
03/31/1991,1246.800049,,-1053.300049,,193.5,,-125.099998,,,,,68.400002,-19.299999,,22.299999,,0.0,-3.0,49.100002,-16.5,32.599998,67.400002,,,-34.799999,0.0,-34.799999,0.0,,-34.799999,-34.799999,,94.0,-0.37,0.345,,94.0,-0.37,0.345,0.345,
06/30/1991,1325.0,,-1117.199951,,207.800049,,-141.399994,,,,,66.400002,-20.4,,21.6,,0.0,-1.2,46.000001,-16.299999,29.700001,0.0,,,29.700002,0.0,29.700001,0.0,,29.700001,29.700001,,94.199997,0.315,0.315,,94.199997,0.315,0.315,0.315,
