Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/01/1992,55.477001,0.551,0.551,0.0,0.0,,,40.609001,,,,,1.467,,,,42.626999,11.893,17.716999,-5.824,0.0,,0.957,,,,0.957,12.85,,7.67,7.67,,,,0.0,,,,,3.002,,,3.002,10.672,11.78,,,,,2.172,,,,,2.172,13.952,24.624,0.0,0.17,,,0.0,,30.683001,30.853001,0.0,30.853001,55.477,
02/28/1993,76.653999,10.095,10.095,0.0,0.0,,,43.089001,,,,,0.672,,,,53.855999,19.645,28.099001,-8.454,0.0,,3.153,,,,3.153,22.798001,,9.804,9.804,,,,0.0,,,,,9.551,,,9.551,19.355,0.0,,,,,2.656,,,,,2.656,2.656,22.010999,0.0,41.491001,,,0.0,,13.152,54.643002,0.0,54.643002,76.654001,
05/30/1993,86.156998,4.489,4.489,0.0,0.0,,,55.019001,,,,,2.714,,,,62.222,20.639,,,0.0,,3.296,,,,3.296,23.935,,17.790001,17.790001,,,,0.0,,,,,7.526999,,,7.526999,25.316999,0.0,,,,,2.828,,,,,2.828,2.828,28.145,0.0,41.491001,,,0.0,,16.521,58.012001,0.0,58.012001,86.157001,
08/29/1993,90.556,10.398,10.398,0.0,0.0,,,51.768002,,,,,2.038,,,,64.204002,22.879,,,0.0,,3.473,,,,3.473,26.352,,13.013,13.013,,,,0.0,,,,,10.103,,,10.103,23.115999,0.0,,,,,3.026,,,,,3.026,3.026,26.141999,0.0,41.664001,,,0.0,,22.75,64.414001,0.0,64.414001,90.556001,
11/28/1993,113.485001,4.499,4.499,0.0,0.0,,,73.268997,,,,,1.987,,,,79.754997,30.283001,,,0.0,,3.447,,,,3.447,33.730001,,25.863001,25.863001,,,,4.1,,,,,10.055001,,,10.055001,40.018002,0.0,,,,,3.09,,,,,3.09,3.09,43.108001,0.0,42.071999,,,0.0,,28.305,70.376999,0.0,70.376999,113.485,
02/27/1994,121.468002,2.672,2.672,0.0,0.0,,,74.982002,,,,,4.323,,,,81.976997,34.900002,46.974998,-12.075,0.0,,4.591,,,,4.591,39.491002,,17.004999,17.004999,,,,0.0,,,,,10.540001,,,10.540001,27.545,13.3,,,,,3.318,,,,,3.318,16.618,44.163,0.0,42.265999,,,0.0,,35.039001,77.305,0.0,77.305,121.468,
05/29/1994,135.391998,2.211,2.211,0.0,0.0,,,86.760002,,,,,2.61,,,,91.581001,38.199001,,,0.0,,5.612,,,,5.612,43.811001,,26.322001,26.322001,,,,0.0,,,,,16.064001,,,16.064001,42.386002,7.35,,,,,3.622,,,,,3.622,10.972,53.358001,0.0,42.374001,,,0.0,,39.66,82.034,0.0,82.034,135.392002,
08/28/1994,152.832001,2.712,2.712,0.0,0.0,,,96.237,,,,,6.448,,,,105.397003,41.685001,,,0.0,,5.75,,,,5.75,47.435001,,32.759998,32.759998,,,,0.0,,,,,16.271,,,16.271,49.030998,8.5,,,,,3.85,,,,,3.85,12.35,61.380998,0.0,43.140999,,,0.0,,48.310001,91.451,0.0,91.451,152.831998,
11/27/1994,182.636002,1.965,1.965,0.0,0.0,,,117.705002,,,,,5.348,,,,125.017998,51.257999,,,0.0,,6.36,,,,6.36,57.618,,39.710999,39.710999,,,,0.0,,,,,17.257,,,17.257,56.967999,21.85,,,,,4.338,,,,,4.338,26.188,83.155999,0.0,43.618999,,,0.0,,55.861,99.48,0.0,99.48,182.635998,
02/26/1995,176.677994,6.463,6.463,0.0,0.0,,,108.388,,,,,3.16,,,,118.011002,52.201,71.415001,-19.214001,0.0,,6.466,,,,6.466,58.667,,27.503,27.503,,,,0.0,,,,,18.606001,,,18.606001,46.109001,16.799999,,,,,4.83,,,,,4.83,21.629999,67.739,0.0,43.887001,,,0.0,,65.052002,108.939003,0.0,108.939003,176.678003,
