Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investment & Loan Inc (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,41.055,29.334,68.702999,58.043999,10.659,-39.368999,11.721,0.447,,,,7.37,3.904,-4.744,36.311,-28.268999,0.0,28.268999,8.042,0.0,0.0,8.042,-2.03,,6.012,0.0,,,6.012,0.0,6.012,0.0,,6.012,6.012,,47.720001,0.12625,0.12625,,47.720001,0.12625,0.12625,0.12625,
06/30/1990,44.576,32.152,73.960999,62.377998,11.583,-41.808998,12.423999,0.304,,,,8.039,4.081,-4.519,40.057,-31.91,0.0,31.91,8.147,0.0,0.0,8.147,-2.057,,6.09,0.0,,,6.09,0.0,6.09,0.0,,6.09,6.09,,47.880001,0.1275,0.1275,,47.880001,0.1275,0.1275,0.1275,
09/30/1990,44.910997,34.021997,75.958998,65.004997,10.954,-41.937,10.889,0.14,,,,8.582,2.167,-4.296,40.614997,-30.702,0.0,30.702,9.913,0.0,0.0,9.913,-3.09,,6.823,0.0,,,6.823,0.0,6.823,0.0,,6.823,6.823,,47.943996,0.1425,0.1425,,47.943996,0.1425,0.1425,0.1425,
12/31/1990,47.716,25.676,68.675001,45.178001,23.497,-42.999001,22.04,-0.238,,,,23.948,-1.67,-4.53,43.186,-31.048,0.0,31.048,12.138,0.0,0.0,12.138,-4.423,,7.715,0.0,,,7.715,0.0,7.715,0.0,,7.715,7.715,,47.752,0.16,0.16,0.16,47.752,0.16,0.16,0.16,
03/31/1991,45.878001,32.645,74.542,58.688,15.854,-41.896999,13.233,0.54,,,,10.984,1.709,-6.805,39.073001,-28.646,0.0,28.646,10.427,0.0,0.0,10.427,-3.635,,6.792,0.0,,,6.792,0.0,6.792,0.0,,6.792,6.792,,48.248001,0.14125,0.14125,,48.248001,0.14125,0.14125,0.14125,
06/30/1991,46.333997,31.649997,69.202998,54.530998,14.672,-37.553001,14.684,0.293,,,,11.53,2.861,-4.959,41.374996,-30.301001,0.0,30.301001,11.074,0.0,0.0,11.074,-3.875,,7.199,0.0,,,7.199,0.0,7.199,0.0,,7.199,7.199,,48.112,0.15,0.15,,48.112,0.15,0.15,0.15,
09/30/1991,47.831999,33.378999,71.454999,56.008999,15.446,-38.076,14.453,0.349,,,,12.689,1.415,-6.427,41.404999,-30.445999,0.0,30.445999,10.959,0.0,0.0,10.959,-3.82,,7.139,0.0,,,7.139,0.0,7.139,0.0,,7.139,7.139,,49.464001,0.14375,0.14375,,49.464001,0.14375,0.14375,0.14375,
12/31/1991,50.365999,33.792999,70.347,52.396,17.951,-36.554001,16.573,0.609,,,,12.128,3.836,-5.358,45.007999,-35.368999,0.0,35.368999,9.639,0.0,0.0,9.639,-1.645,,7.994,0.0,,,7.994,0.0,7.994,0.0,,7.994,7.994,,48.512,0.1625,0.1625,0.1625,48.512,0.1625,0.1625,0.1625,
03/31/1992,49.898,32.125999,63.067999,46.064999,17.003,-30.941999,17.772,0.131,,,,13.241,4.4,-3.945,45.953,-35.622002,0.0,35.622002,10.331,0.0,0.0,10.331,-2.685,,7.646,0.0,,,7.646,0.0,7.646,0.0,,7.646,7.646,,49.136002,0.155,0.155,,49.136002,0.155,0.155,0.155,
06/30/1992,48.460997,34.990997,65.187998,47.301998,17.886,-30.197001,13.47,0.562,,,,11.589,1.319,-2.866,45.594997,-30.885,0.0,30.885,14.71,0.0,0.0,14.71,-5.32,,9.39,0.0,,,9.39,0.0,9.39,0.0,,9.39,9.39,,49.327999,0.19,0.19,,49.327999,0.19,0.19,0.19,
