Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2009,1020.386,49.785,45.006,4.779,115.288,115.288,0.0,,0,0,0,0,0,39.157,17.944,,,90.064,1.614,15.109,204.23,87.071,,,0.0,729.085,615.014,487.003,128.011,,24.007,816.156,,66.388,,,,66.388,189.966,189.966,,,,,302.194,,,98.501,558.548,449.121,449.121,,,,245.39,,158.332,,87.058,694.511,1253.059,0,758.536,6.506518,752.029482,-683.994,-225.875,-81.34,-232.673,0,-232.673,1020.386,
06/30/2009,1009.335,50.985,45.962,5.023,107.151,107.151,0.0,,0,0,0,0,0,54.359,17.379,,,89.893,8.466,24.024,212.495,84.278,,,0.0,712.562,606.766,487.219,119.547,,15.903,796.84,,84.668,,,,84.668,160.372,160.372,,,,,180.85,,,5.397,425.89,528.694,528.694,,,,241.123,,159.158,,81.965,769.817,1195.707,0,842.217,325.383575,516.833425,-683.994,-265.465,-79.13,-186.372,0,-186.372,1009.335,
09/30/2009,1019.376,65.912,60.56,5.352,104.083,104.083,0.0,,0,0,0,0,0,50.768,16.729,,,83.629,6.919,22.63,220.763,87.229,,,0.0,711.384,607.583,489.245,118.338,,20.172,798.613,,100.979,,,,100.979,131.528,131.528,,,,,158.812,,,5.397,391.319,527.894,527.894,,,,236.611,,159.353,,77.258,764.505,1155.824,0,1062.169,0.130221,1062.038779,-683.994,-439.062,-75.561,-136.448,0,-136.448,1019.376,
12/31/2009,996.953,76.972,71.527,5.445,89.436,89.436,0.0,,0,0,0,0,0,58.937,16.155,0.0,,66.257,16.721,21.656,225.345,89.165,279.04,-189.875,0.0,682.443,599.355,490.829,108.526,,16.831,771.608,,101.401,,,,101.401,66.66,61.172,5.488,5.488,,,132.218,0.0,0.0,6.698,300.279,527.509,525.415,2.094,2.094,,204.114,0.0,127.154,,76.96,731.623,1031.902,0,652.703,0.13,652.573,-683.994,51.275,-54.933,-34.949,0,-34.949,996.953,
03/31/2010,1085.679,136.538,130.992,5.546,132.896,132.896,0.0,,0,0,0,0,0,46.415,21.13,,,63.948,0.0,20.88,315.849,88.272,,,0.0,681.558,601.531,494.283,107.248,,16.079,769.83,,78.001,,,,78.001,4.723,4.723,,,,,242.408,,,28.113,325.132,527.076,527.076,,,,205.219,,124.0,,81.219,732.295,1057.427,0,659.522,0.13,659.392,-683.994,106.65,-53.926,28.252,0,28.252,1085.679,
06/30/2010,1053.268,111.894,106.827,5.067,118.47,118.47,0.0,,0,0,0,0,0,55.126,21.684,,,63.92,21.075,7.962,285.49,86.253,,,0.0,681.525,602.224,501.996,100.228,,15.381,767.778,,81.571,,,,81.571,53.935,53.935,,,,,188.103,,,5.828,323.609,476.767,476.767,,,,199.317,,118.486,,80.831,676.084,999.693,0,690.767,0.132,690.635,-748.895,165.054,-53.351,53.575,0,53.575,1053.268,
09/30/2010,1049.411,112.605,107.255,5.35,130.36,130.36,0.0,,0,0,0,0,0,42.807,18.04,,,66.054,12.796,7.566,285.772,83.571,,,0.0,680.068,597.353,503.24,94.113,,16.661,763.639,,99.285,,,,99.285,128.325,0.0,,,,128.325,165.368,,,9.501,392.978,401.879,401.879,,,,192.41,,113.742,,78.668,594.289,987.267,0,705.83,0.132,705.698,-819.564,227.934,-52.056,62.144,0,62.144,1049.411,
12/31/2010,1217.09,60.627,54.974,5.653,126.564,126.564,0.0,,0,0,0,0,0,53.244,17.791,0.0,,21.879,24.706,7.066,240.435,93.409,318.501,-225.092,0.0,883.246,832.897,632.668,200.229,,28.47,976.655,,111.995,,,,111.995,437.717,434.678,3.039,3.039,,,171.17,0.0,0.0,8.163,720.882,401.826,400.14,1.686,1.686,,208.824,0.0,118.611,,90.213,610.65,1331.532,0,754.843,0.135,754.708,-1106.321,293.827,-56.791,-114.442,0,-114.442,1217.09,
03/31/2011,1286.431,106.841,101.238,5.603,163.888,163.888,0.0,,0,0,0,0,0,40.969,25.49,,,21.548,4.093,7.705,311.698,100.774,,,0.0,873.959,824.442,632.668,191.774,,27.969,974.733,,88.458,,,,88.458,129.997,129.997,,,,,274.015,,,26.951,492.47,700.52,700.52,,,,202.532,,112.927,,89.605,903.052,1395.522,0,766.664,0.136,766.528,-1179.704,359.703,-55.754,-109.091,0,-109.091,1286.431,
06/30/2011,1408.089,57.321,51.97,5.351,145.632,145.632,0.0,,0,0,0,0,0,92.524,26.015,,,20.977,33.673,29.155,295.477,107.645,,,0.0,1004.967,953.891,712.561,241.33,,30.099,1112.612,,121.285,,,,121.285,170.663,0.0,,,,170.663,219.652,,,4.663,511.6,854.499,854.499,,,,186.43,,106.198,,80.232,1040.929,1552.529,0,807.992,0.137,807.855,-1323.368,425.28,-54.344,-144.44,0,-144.44,1408.089,
09/30/2011,1379.933,57.674,52.846,4.828,152.803,152.803,0.0,,0,0,0,0,0,61.287,23.591,,,23.34,5.747,28.268,271.764,110.328,,,0.0,997.841,945.094,712.561,232.533,,29.407,1108.169,,146.358,,,,146.358,165.67,0.0,,,,165.67,193.973,,,4.663,506.001,853.58,853.58,,,,179.225,,99.419,,79.806,1032.805,1538.806,0,837.61,0.137,837.473,-1438.315,496.267,-54.435,-158.873,0,-158.873,1379.933,
