Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investment & Loan Inc (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1999,2413.499992,1420.999969,2575.399994,2221.0,354.399994,-1154.400024,992.500023,67.099998,,,,833.400024,92.0,-143.100006,2270.399986,-1248.599976,0.0,1248.599976,1021.799988,-17.9,17.9,1003.899988,-349.5,,,,654.400024,0.0,,,654.399988,0.0,654.400024,0.0,0.0,654.400024,654.400024,,1924.5,0.34,0.34,0.346667,1924.5,0.34,0.34,0.346667,
06/30/1999,2491.000053,1458.200043,2610.399994,2275.5,334.899994,-1152.199951,1032.800011,54.900002,,,,895.200012,82.699997,-150.300003,2340.70005,-1270.400024,0.0,1270.400024,1070.300049,-45.099998,45.099998,1025.20005,-359.600006,,,,665.599976,0.0,,,665.600044,0.0,665.599976,0.0,0.0,665.599976,665.599976,,1901.699951,0.35,0.35,0.36,1901.699951,0.34,0.34,0.35,
09/30/1999,2561.099834,1478.69986,2700.499908,2361.899902,338.600006,-1221.800049,1082.399975,44.799999,,,,911.599976,126.0,-178.899994,2382.199841,-1267.400024,0.0,1267.400024,1114.800049,-379.299988,379.299988,735.500061,-310.700012,,,,424.799988,0.0,,,424.800049,0.0,424.799988,0.0,0.0,424.799988,424.799988,,1931.0,0.22,0.22,0.34,1931.0,0.22,0.22,0.34,
12/31/1999,2615.699944,1478.499939,2740.399963,2422.199951,318.200012,-1261.900024,1137.200005,68.800003,,,,966.0,102.400002,-173.699997,2441.999947,-1342.099976,0.0,1342.099976,1099.900024,-90.5,90.5,1009.400024,-372.399994,,,,637.0,0.0,,,637.000031,0.0,637.0,0.0,0.0,637.0,637.0,,1930.300049,0.33,0.33,0.36,1930.300049,0.33,0.33,0.36,
03/31/2000,1640.8,845.4,1563.6,1489.3,74.3,-718.2,795.4,83.3,,,,595.8,116.3,-154.0,1486.8,-887.9,0.0,887.9,598.9,-13.1,13.1,585.8,-206.8,,,,379.0,0.0,,,379.0,0.0,379.0,0.0,0.0,379.0,379.0,,748.339548,0.51,0.51,0.54,750.142962,0.51,0.51,0.54,
06/30/2000,1046.161,674.587,1360.714,1128.47,232.244,-686.127,371.574,0.003,,,,237.927,133.644,-51.054,995.107,-441.189,0.0,441.189,553.918,-66.9,66.9,487.018,-170.275,,,,316.743,0.0,,,316.743,0.0,316.743,0.0,0.0,316.743,316.743,,968.446,0.33,0.33,0.37,979.378,0.32,0.32,0.36,
09/30/2000,1053.618,678.653,1405.546,1179.27,226.276,-726.893,374.965,0.093,,,,234.741,140.131,-58.2,995.418,-431.612,0.0,431.612,563.806,-102.0,102.0,461.806,-152.812,,,,308.994,0.0,,,308.994,0.0,308.994,0.0,0.0,308.994,308.994,,958.886,0.32,0.32,0.39,967.578,0.32,0.32,0.39,
12/31/2000,7192.221,3850.96,7742.64,6916.86,825.78,-3891.68,3341.261,183.104,,,,3014.532,143.625,-564.746,6627.475,-3607.599,0.0,3607.599,3019.876,-166.7,166.7,2853.176,-982.313,,,,1870.863,0.0,,,1870.863,0.0,1870.863,0.0,0.0,1870.863,1870.863,,4948.328,0.35,0.35,0.37,4976.901,0.35,0.35,0.37,
03/31/2001,2956.500046,1545.800049,3009.0,2692.0,317.0,-1463.199951,1410.699997,287.899994,,,,1018.0,104.800003,-365.799988,2590.700058,-1394.300049,0.0,1394.300049,1196.400024,-570.799988,570.799988,625.600037,-215.5,,,,410.100006,0.0,,,410.100037,0.0,410.100006,0.0,0.0,410.100006,410.100006,,1901.099976,0.22,0.22,0.42,1915.699951,0.21,0.21,0.42,
06/30/2001,2833.599907,1557.999908,2815.799957,2460.199951,355.600006,-1257.800049,1275.599998,87.099998,,,,1097.5,91.0,-240.0,2593.599907,-1341.900024,0.0,1341.900024,1251.699951,-391.899994,391.899994,859.799957,-297.5,,,,562.299988,0.0,,,562.299957,0.0,562.299988,0.0,0.0,562.299988,562.299988,,1905.300049,0.3,0.3,0.44,1917.199951,0.29,0.29,0.43,
09/30/2001,2917.40004,1599.000061,2708.30011,2306.100098,402.200012,-1109.300049,1318.399979,103.400002,,,,1150.599976,64.400002,-1275.0,1642.40004,-1418.699951,0.0,1418.699951,223.699997,-163.100006,163.100006,60.599991,-21.9,,,,38.700001,0.0,,,38.699991,0.0,38.700001,0.0,0.0,38.700001,38.700001,,1952.699951,0.02,0.02,0.08,1965.400024,0.02,0.02,0.08,
12/31/2001,2998.5,1706.0,2550.5,2098.7,451.8,-844.5,1292.5,72.3,,,,1177.5,42.7,-648.0,2350.5,-1503.9,0.0,1503.9,846.6,241.6,-241.6,1088.2,-392.8,,,,695.4,0.0,,,695.4,0.0,695.4,0.0,0.0,695.4,695.4,,1952.5,0.36,0.36,0.28,1955.7,0.36,0.36,0.28,
03/31/2002,2988.200096,1661.300049,2362.600037,1962.400024,400.200012,-701.299988,1326.900047,94.0,,,,1165.300049,67.599998,-335.0,2653.200096,-1362.599976,0.0,1362.599976,1290.599976,-74.199997,74.199997,1216.399979,-423.200012,,,,793.200012,37.200001,,,755.999966,0.0,756.0,0.0,0.0,756.0,756.0,,1919.800049,0.39,0.41,0.44,1930.099976,0.39,0.41,0.44,
06/30/2002,3124.599998,1680.800049,2375.600037,1971.800049,403.799988,-694.799988,1443.79995,80.099998,,,,1283.699951,80.0,-335.0,2789.599998,-1455.300049,0.0,1455.300049,1334.300049,-71.599998,71.599998,1262.70005,-439.600006,,,,823.099976,0.0,,,823.100044,0.0,823.099976,0.0,0.0,823.099976,823.099976,,1913.199951,0.43,0.43,0.45,1926.900024,0.43,0.43,0.45,
09/30/2002,3297.4,1731.8,2420.0,1989.9,430.1,-688.2,1565.6,171.6,,,,1305.6,88.4,-330.0,2967.4,-1577.2,0.0,1577.2,1390.2,-70.4,70.4,1319.8,-459.5,,,,860.3,0.0,,,860.3,0.0,860.3,0.0,0.0,860.3,860.3,,1915.0,0.45,0.45,0.47,1923.3,0.45,0.45,0.47,
12/31/2002,2614.8,1740.4,2335.7,1914.9,420.8,-595.3,874.4,-45.8,,,,757.4,162.8,-349.0,2265.8,-1024.2,0.0,1024.2,1241.6,-105.0,105.0,1136.6,-385.2,,,,751.4,22.7,,,728.7,0.0,728.7,0.0,0.0,728.7,728.7,,1916.0,0.38,0.39,0.43,1918.9,0.38,0.39,0.43,
03/31/2003,3135.499969,1769.399994,2331.199982,1866.599976,464.600006,-561.799988,1366.099976,140.699997,,,,1121.599976,103.800003,-335.0,2800.499969,-1437.0,0.0,1437.0,1363.5,-17.6,17.6,1345.9,-461.799988,,,,884.099976,-0.7,,,884.800012,0.0,884.799988,0.0,0.0,884.799988,884.799988,,1919.0,0.46,0.46,0.47,1926.599976,0.46,0.46,0.47,
06/30/2003,3264.799973,1791.899963,2327.799988,1846.099976,481.700012,-535.900024,1472.900009,213.100006,,,,1175.0,84.800003,-323.0,2941.799973,-1535.800049,0.0,1535.800049,1406.0,-10.8,10.8,1395.2,-480.200012,,,,915.0,-4.9,,,919.899988,0.0,919.900024,0.0,0.0,919.900024,919.900024,,1922.300049,0.48,0.48,0.49,1931.599976,0.48,0.47,0.49,
09/30/2003,2995.899948,1818.5,2311.299988,1841.5,469.799988,-492.799988,1177.399948,-108.900002,,,,1196.699951,89.599998,-310.0,2685.899948,-1243.099976,0.0,1243.099976,1442.800049,-10.2,10.2,1432.600049,-491.899994,,,,940.700012,-10.2,,,950.900055,0.0,950.900024,0.0,0.0,950.900024,950.900024,,1926.0,0.49,0.49,0.49,1939.800049,0.49,0.48,0.48,
12/31/2003,2487.3,1790.9,2254.0,1798.7,455.3,-463.1,696.4,-237.5,,,,823.0,110.9,-286.0,2201.3,-921.4,0.0,921.4,1332.6,-7.6,7.6,1325.0,-464.6,,,,860.4,-22.5,,,882.9,0.0,882.9,0.0,0.0,882.9,882.9,,1927.5,0.46,0.45,0.45,1944.6,0.45,0.44,0.44,
03/31/2004,3090.100021,1771.800049,2258.100037,1768.900024,489.200012,-486.299988,1318.299973,0.0,,,,1215.099976,103.199997,-235.0,2855.100021,-1419.5,0.0,1419.5,1435.599976,-35.400002,35.400002,1400.199974,-391.799988,,,,1008.400024,0.0,,,1008.399986,0.0,1008.400024,0.0,0.0,1008.400024,1008.400024,,1915.400024,0.53,0.53,0.54,1941.099976,0.52,0.52,0.53,
06/30/2004,3185.800072,1772.400024,2236.200012,1765.5,470.700012,-463.799988,1413.400047,0.0,,,,1306.300049,107.099998,-204.5,2981.300072,-1232.599976,0.0,1232.599976,1577.0,0.0,0.0,1577.0,-540.099976,,,,1036.900024,0.0,,,1036.900024,0.0,1036.900024,0.0,0.0,1036.900024,1036.900024,,1891.599976,0.55,0.55,0.55,1913.400024,0.54,0.54,0.54,
09/30/2004,3298.599976,1774.599976,2302.799988,1828.5,474.299988,-528.200012,1524.0,87.300003,,,,1312.0,124.699997,-165.100006,3133.499969,-1519.0,0.0,1519.0,1614.5,0.0,0.0,1614.5,-549.0,,,,1065.5,0.0,,,1065.5,0.0,1065.5,0.0,0.0,1065.5,1065.5,,1877.0,0.57,0.57,0.57,1903.699951,0.56,0.56,0.56,
12/31/2004,3227.7,1792.5,2389.4,1905.0,484.4,-596.9,1435.2,-20.5,,,,1312.4,143.3,-65.0,3162.7,-1465.7,0.0,1465.7,1697.0,-96.0,96.0,1601.0,-545.0,,,,1056.0,0.0,,,1056.0,0.0,1056.0,0.0,0.0,1056.0,1056.0,,1865.0,0.56,0.56,0.59,1893.8,0.56,0.56,0.59,
03/31/2005,3126.0,1744.0,2435.0,1938.0,497.0,-691.0,1382.0,-59.0,,,,1287.0,154.0,-172.0,2954.0,-1331.0,0.0,1331.0,1623.0,0.0,0.0,1623.0,-552.0,,,,1071.0,0.0,,,1071.0,0.0,1071.0,0.0,0.0,1071.0,1071.0,,1852.0,0.58,0.58,0.58,1880.0,0.57,0.57,0.57,
06/30/2005,3295.0,1754.0,2565.0,2055.0,510.0,-811.0,1541.0,1.0,,,,1405.0,135.0,-144.0,3151.0,-1541.0,0.0,1541.0,1610.0,40.0,-40.0,1650.0,-529.0,,,,1121.0,0.0,,,1121.0,0.0,1121.0,0.0,0.0,1121.0,1121.0,,1833.0,0.61,0.61,0.58,1857.0,0.6,0.6,0.57,
09/30/2005,3358.0,1782.0,2718.0,2196.0,522.0,-936.0,1576.0,1.0,,,,1441.0,134.0,-145.0,3213.0,-1473.0,0.0,1473.0,1740.0,0.0,0.0,1740.0,-586.0,,,,1154.0,0.0,,,1154.0,0.0,1154.0,0.0,0.0,1154.0,1154.0,,1823.0,0.63,0.63,0.63,1849.0,0.62,0.62,0.62,
