Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Source: Bloomberg
03/29/2009,15.571,3.774,1.353,7.644,1.55,,6.094,2.8,5.478,0.069,0.341,-3.088,0,-15.068,-2.625,0,0.0,0,-2.625,-2.625,0,0.0,0.0,0.0,0.0,0,0.0,0,-12.443,-7.319,0,0,0.0,0.0,0.0,-7.319,0.723,-8.042,0.0,-0.24,-7.056,1.289,
06/28/2009,14.322,4.576,1.494,10.375,1.793,,8.582,-2.123,-2.978,-0.138,0.282,0.711,0,-5.314,-0.386,0,0.0,0,-0.386,-0.386,0,0.0,0.0,0.0,0.0,0,0.0,0,-4.928,-7.448,0,0,0.0,0.0,0.0,-7.448,0.273,-7.721,0.0,0.744,2.304,2.202,
09/30/2009,15.863,7.889,1.475,8.027,1.823,-0.006,6.21,-1.528,-0.568,-1.483,0.46,0.063,0,3.85,-1.242,0,0.0,0,-1.242,-1.242,0,0.0,0.0,0.0,0.0,0,0.0,0,5.092,1.025,0,0,0.0,0.0,0.0,1.025,1.025,0.0,0.0,1.676,22.414,1.031,
12/31/2009,16.565,43.939,1.613,-26.478,-29.489,-9.572,12.583,-2.509,-10.441,-0.46,1.964,6.428,0,29.938,-0.336,0,,0,-0.336,-0.336,0,0.0,0.0,0.0,0.0,0,0.0,0,30.274,91.792,0,0,,,,2.411,2.411,0.0,89.381,-0.07,138.225,,
03/31/2010,21.816,4.218,1.375,12.043,1.353,-0.01,10.7,4.18,3.236,-0.027,-0.505,1.476,0,-60.972,-1.014,0,,0,-1.014,-1.014,0,0.0,0.0,0.0,0.0,0,0.0,0,-59.958,1.309,0,0,0.0,0.0,0.0,2.181,2.181,0.0,-0.872,-0.356,-38.203,0.302,
06/30/2010,17.95,6.869,1.467,14.954,-0.593,0.008,15.539,-5.34,-8.491,-2.975,2.857,3.269,0,-88.887,-1.215,0,,0,-1.215,-1.215,0,0.0,0.0,0.0,0.0,0,0.0,0,-87.672,14.012,0,0,0.0,0.0,0.0,14.012,14.012,0.0,0.0,-0.895,-57.82,0.926,
09/30/2010,32.193,14.017,1.391,13.969,1.895,-0.006,12.08,2.816,0.244,0.187,-3.041,5.426,0,-84.943,-0.671,0,,0,-0.671,-0.671,0,0.0,0.0,0.0,0.0,0,0.0,0,-84.272,11.89,0,0,0.0,0.0,0.0,11.89,11.89,0.0,0.0,1.564,-39.296,0.308,
12/31/2010,31.424,16.141,1.463,16.409,0.879,-4.27,19.8,-2.589,-12.773,-3.131,3.126,10.189,0,-48.908,-0.876,0,,0,-0.876,-0.876,0,0.0,0.0,0.0,0.0,0,0.0,0,-48.032,6.808,0,0,0.0,0.0,0.0,6.808,6.808,0.0,0.0,0.396,-10.28,0.947,
03/31/2011,40.176,13.587,1.678,20.316,1.955,-0.017,18.378,4.595,1.009,0.55,-4.225,7.261,0,-46.934,-0.694,0,,0,-0.694,-0.694,0,0.0,0.0,0.0,0.0,0,0.0,0,-46.24,8.075,0,0,0.0,0.0,0.0,8.075,8.075,0.0,0.0,0.805,2.122,-0.767,
06/30/2011,34.068,14.494,1.658,4.83,0.494,-5.529,9.865,13.086,-0.946,-2.005,4.58,11.457,0,-32.953,-0.756,0,,0,-0.756,-0.756,0,0.0,0.0,0.0,-2.623,0,-2.623,0,-29.574,7.635,0,0,0.0,0.0,0.0,7.635,7.635,0.0,0.0,0.288,9.038,1.784,
09/30/2011,36.039,17.917,1.778,5.927,0.961,,4.966,10.417,-3.622,-0.023,2.159,11.903,0,-52.95,-1.335,0,,0,-1.335,-1.335,0,0.0,0.0,0.0,0.0,0,0.0,0,-51.615,7.572,0,0,0.0,0.0,0.0,7.572,7.572,0.0,0.0,-2.05,-11.389,-1.706,
12/31/2011,22.559,16.494,1.702,15.325,-4.224,-2.328,21.877,-10.962,-19.687,-4.556,4.287,8.994,0,-33.989,-0.839,0,,0,-0.839,-0.839,0,0.0,0.0,0.0,0.0,0,0.0,0,-33.15,16.515,0,0,,,,16.515,16.515,0.0,0.0,0.275,5.36,0.384,
03/31/2012,48.518,14.173,2.082,28.177,4.926,-0.015,23.266,4.086,10.763,-3.409,-6.319,3.051,0,-62.299,-1.624,0,,0,-1.624,-1.624,0,0.0,0.0,0.0,-0.55,0,-0.55,0,-60.125,15.871,0,0,0.0,0.0,0.0,15.871,15.871,0.0,0.0,0.703,2.793,1.01,
06/30/2012,44.285,13.95,2.995,25.457,5.014,0.535,19.908,1.883,-10.592,-4.543,10.656,6.362,0,-43.634,-2.231,0,,0,-2.231,-2.231,0,0.0,0.0,0.0,0.0,0,0.0,0,-41.403,6.937,0,0,0.0,0.0,0.0,6.937,6.937,0.0,0.0,-1.145,6.443,5.37,
09/30/2012,40.77,17.206,2.999,12.779,4.377,-5.035,13.437,7.786,5.509,-7.025,-1.288,10.59,0,-69.546,-16.428,0,,0,-16.428,-16.428,0,0.0,0.0,0.0,-0.199,0,-0.199,0,-52.919,22.809,0,0,0.0,0.0,0.0,22.809,22.809,0.0,0.0,0.207,-5.76,3.955,
12/31/2012,50.293,21.507,3.488,25.689,4.304,-4.739,26.124,-0.391,-17.8,3.674,-2.088,15.823,0,-7.232,-1.8,0,,0,-1.8,-1.8,0,0.0,0.0,0.0,-0.5,0,-0.5,0,-4.932,4.539,0,0,,,,4.539,4.539,0.0,0.0,-0.091,47.509,,
03/31/2013,38.111,12.249,3.536,14.466,7.846,,6.62,7.86,5.747,-4.52,4.957,1.676,0,-79.178,-1.534,0,,0,-1.534,-1.534,0,0.0,0.0,0.0,-5.979,0,-5.979,0,-71.665,15.917,0,0,0.0,0.0,0.0,15.917,15.917,0.0,0.0,-0.441,-25.591,8.579,
06/30/2013,37.221,8.979,3.786,22.111,10.266,,11.845,2.345,-6.548,-11.855,9.298,11.45,0,-12.336,-2.035,0,,0,-2.035,-2.035,0,0.0,0.0,0.0,-0.006,0,-0.006,0,-10.295,1.567,0,0,0.0,0.0,0.0,1.567,1.567,0.0,0.0,-0.368,26.084,3.061,
09/30/2013,25.384,11.029,4.189,24.62,11.168,,13.452,-14.454,1.39,-14.969,-3.201,2.326,0,-12.634,-3.16,0,,0,-3.16,-3.16,0,0.0,0.0,0.0,-1.65,0,-1.65,0,-7.824,8.524,0,0,0.0,0.0,0.0,9.49,9.49,0.0,-0.966,-0.196,21.078,8.081,
12/31/2013,46.668,12.016,4.112,44.244,12.217,-3.944,35.971,-13.704,-22.669,-3.749,-0.569,13.283,0,-42.586,-7.148,0,,0,-7.148,-7.148,0,0.0,0.0,0.0,0.0,0,0.0,0,-35.438,-32.431,0,0,,,,-31.945,1.584,-33.529,-0.486,-0.324,-28.673,0.486,
03/31/2014,60.902,8.393,4.422,49.49,12.351,0.024,37.115,-1.403,19.119,3.326,-6.042,-17.806,0,-2.364,-11.318,0,,0,-11.318,-11.318,0,0.0,0.0,0.0,-0.017,0,-0.017,0,8.971,-0.888,0,0,0.0,0.0,0.0,2.745,15.05,-12.305,-3.633,-0.555,57.095,22.136,
06/30/2014,43.798,6.081,6.492,40.949,12.852,-6.494,34.591,-9.724,-16.891,-6.633,7.295,6.505,0,-5.935,-9.704,0,,0,-9.704,-9.704,0,0.0,0.0,0.0,0.0,0,0.0,0,3.769,-6.839,0,0,0.0,0.0,0.0,-4.951,9.911,-14.862,-1.888,-0.045,30.979,9.277,
09/30/2014,56.518,4.056,5.605,28.041,12.785,-5.716,20.972,18.816,10.912,-7.788,2.553,13.139,0,-8.209,-5.78,0,,0,-5.78,-5.78,0,0.0,0.0,0.0,0.0,0,0.0,0,-2.429,5.84,0,0,0.0,0.0,0.0,8.825,19.893,-11.068,-2.985,,54.149,7.342,
12/31/2014,35.364,6.813,5.509,102.861,21.006,,81.855,-79.819,-69.028,-21.364,14.227,-3.654,0,-12.842,-5.395,0,0.0,0,-5.395,-5.395,0,0.0,0.0,0.0,0.0,0,0.0,0,-7.447,2.636,0,0,0.0,0.0,0.0,4.728,10.47,-5.742,-2.092,0.0,25.158,1.796,
03/31/2015,64.619,1.56,6.353,52.693,18.88,,33.813,4.013,23.621,-6.296,-11.305,-2.007,0,16.124,-4.927,0,,0,-4.927,-4.927,0,0.0,0.0,0.0,0.0,0,0.0,0,21.051,22.355,0,0,0.0,0.0,0.0,28.955,28.955,0.0,-6.6,0.0,103.098,6.498,
06/30/2015,84.305,0.792,7.029,75.291,21.645,,53.646,1.193,-14.098,-1.621,2.922,13.99,0,1.806,-10.761,0,0.0,0,-10.761,-10.761,0,0.0,0.0,0.0,0.0,0,0.0,0,12.567,8.93,0,0,0.0,0.0,0.0,13.692,13.692,0.0,-4.762,0.0,95.041,3.579,
09/30/2015,65.065,8.169,8.824,53.868,26.476,-28.297,55.689,-5.796,11.4,-4.51,-1.459,-11.227,0,-15.015,-13.325,0,0.0,0,-13.325,-13.325,0,0.0,0.0,0.0,-38.025,0,-38.025,0,36.335,9.269,0,0,0.0,0.0,0.0,20.896,20.896,0.0,-11.627,0.0,59.319,5.195,
12/31/2015,68.558,-2.534,9.383,118.0,28.087,,89.913,-56.291,-86.125,-6.661,7.325,29.17,0,-3.882,-8.345,0,0.0,0,-8.345,-8.345,0,0.0,0.0,0.0,0.0,0,0.0,0,4.463,-62.111,0,0,0.0,0.0,0.0,-56.229,3.771,-60.0,-5.882,0.0,2.565,3.621,
03/31/2016,100.591,2.118,10.55,57.181,28.902,,28.279,30.742,38.92,-0.527,-11.426,3.775,0,-34.204,-29.956,0,0.0,0,-29.956,-29.956,0,0.0,0.0,0.0,0.0,0,0.0,0,-4.248,-41.656,0,0,0.0,0.0,0.0,-32.215,17.785,-50.0,-9.441,0.0,24.731,,
06/30/2016,67.941,-1.388,11.291,79.202,28.368,,50.834,-26.711,-36.898,-7.492,11.296,6.383,0,-35.213,-14.443,0,0.0,0,-14.443,-14.443,0,,,,-20.66,0,-20.66,0,-0.11,-4.356,0,0,0.0,0.0,0.0,5.187,5.187,0.0,-9.543,0.0,28.372,8.099,
09/30/2016,76.139,6.291,13.055,59.234,31.093,,28.141,-2.441,10.766,-16.536,-1.454,4.783,0,-6.798,-5.92,0,0.0,0,-5.92,-5.92,0,,,,-1.427,0,-1.427,0,0.549,-18.208,0,0,0.0,0.0,0.0,-5.68,19.32,-25.0,-12.528,0.0,51.133,6.861,
12/31/2016,101.037,25.166,13.624,136.457,32.081,,104.376,-74.21,-70.663,-18.468,1.623,13.298,0,2.092,-16.863,0,0.0,0,-16.863,-16.863,0,0.0,0.0,0.0,0.0,0,0.0,0,18.955,-41.639,0,0,0.0,0.0,0.0,-33.259,2.569,-35.828,-8.38,0.0,61.49,6.074,
03/31/2017,129.749,10.717,13.493,80.556,33.331,,47.225,24.983,42.437,-3.545,-8.287,-5.622,0,-31.325,-13.526,0,0.0,0,-13.526,-13.526,0,0.0,0.0,0.0,0.0,0,0.0,0,-17.799,15.822,0,0,0.0,0.0,0.0,29.515,29.515,0.0,-13.693,0.0,114.246,,
06/30/2017,144.771,23.033,13.999,90.089,35.091,,54.998,17.65,-4.535,13.297,-11.593,20.481,0,-81.844,-86.362,0,0.0,0,-86.362,-86.362,0,0.0,0.0,0.0,0.0,0,0.0,0,4.518,-33.039,0,0,0.0,0.0,0.0,-20.837,12.317,-33.154,-12.202,0.0,29.888,,
09/30/2017,162.38,26.65,13.708,95.455,34.278,,61.177,26.567,13.498,7.948,3.38,1.741,0,-28.931,-21.712,0,0.0,0,-21.712,-21.712,0,0.0,0.0,0.0,0.0,0,0.0,0,-7.219,-80.783,0,0,0.0,0.0,0.0,-70.778,20.068,-90.846,-10.005,0.0,52.666,,
12/31/2017,157.542,-28.961,14.268,207.618,34.454,,173.164,-35.383,-89.902,-8.264,29.627,33.156,0,65.28,-13.671,0,0.0,0,-13.671,-13.671,0,0.0,0.0,0.0,0.0,0,0.0,0,78.951,-317.612,0,0,0.0,0.0,0.0,-308.344,14.033,-322.377,-9.268,0.0,-94.79,,
03/31/2018,139.7,41.6,13.2,110.7,36.5,,74.2,-25.8,48.9,-7.3,-13.6,-53.8,0,-25.5,-11.6,0,0.0,0,-11.6,-11.6,0,0.0,0.0,0.0,0.0,0,0.0,0,-13.9,-89.6,0,0,0.0,0.0,0.0,-70.4,45.1,-115.5,-19.2,0.0,24.6,,
06/30/2018,142.3,49.3,13.6,63.6,40.6,,23.0,15.8,-20.0,-3.5,4.5,34.8,0,7.0,-11.6,0,0.0,0,-11.6,-11.6,0,0.0,0.0,0.0,-6.0,0,-6.0,0,24.6,-12.8,0,0,0.0,0.0,0.0,10.0,11.6,-1.6,-22.8,0.0,136.5,,
09/30/2018,176.7,58.7,14.2,195.3,43.2,,152.1,-91.5,9.1,-8.2,4.2,-96.6,0,11.1,-18.2,0,0.0,0,-18.2,-18.2,0,0.0,0.0,0.0,0.0,0,0.0,0,29.3,9.4,0,0,0.0,0.0,0.0,24.9,24.9,0.0,-15.5,0.0,197.2,,
12/31/2018,180.2,182.6,14.7,102.4,42.6,,59.8,-119.5,-120.0,-14.4,19.5,-4.6,0,-127.5,-11.6,0,0.0,0,-11.6,-11.6,0,0.0,0.0,0.0,-15.7,0,-15.7,0,-100.2,-109.6,0,0,0.0,0.0,0.0,-89.8,4.9,-94.7,-19.8,0.0,-56.9,,
03/31/2019,201.3,58.8,15.7,137.5,43.0,,94.5,-10.7,63.6,-2.6,-18.0,-53.7,0,-39.0,-10.2,0,0.0,0,-10.2,-10.2,0,0.0,0.0,0.0,0.0,0,0.0,0,-28.8,-57.8,0,0,0.0,0.0,0.0,-25.8,34.6,-60.4,-32.0,0.0,104.5,,
06/30/2019,195.1,72.7,15.2,173.9,45.0,,128.9,-66.7,-22.1,-2.9,3.4,-45.1,0,-336.6,-17.3,0,0.0,0,-17.3,-17.3,0,0.0,0.0,0.0,0.0,0,0.0,0,-319.3,-53.3,0,0,0.0,0.0,0.0,-28.8,5.0,-33.8,-24.5,0.0,-194.8,,
