Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/30/1989,40.250996,,,,,,,,,,,,,,,,,,,,,,,,,,-7.517,,,-7.517,-7.517,,0.0,-0.006458,-0.006458,,0.0,-0.006458,-0.006458,-0.006458,
03/31/1990,40.467999,,-24.719999,,15.747999,,-14.987,,,,0.760997,0.602,,0.402,,,0.0,-1.004,1.362997,-0.35,1.012997,0.0,,,1.012997,0.0,1.012997,0.0,,1.012997,1.012997,,1171.631927,0.000833,0.000833,,1171.631927,0.000833,0.000833,0.000833,
06/30/1990,42.704998,,-25.174,,17.530998,,-15.182,,,,2.348997,0.525,,0.445,,,0.0,-0.97,2.873997,-0.85,2.023997,0.0,,,2.023997,0.0,2.023997,0.0,,2.023997,2.023997,,1178.831909,0.001667,0.001667,,1178.831909,0.001667,0.001667,0.001667,
09/29/1990,41.079998,,-23.211,,17.868998,,-15.349,,,,2.519997,1.294,,0.484,,,0.0,-1.778,3.813997,-1.3,2.513997,0.0,,,2.513997,0.0,2.513997,0.0,,2.513997,2.513997,,1181.759949,0.002083,0.002083,,1181.759949,0.002083,0.002083,0.002083,
12/29/1990,46.943008,,-25.976,,20.967008,,-17.351999,,,,3.615009,0.799,,0.605,,,0.0,-1.404,4.414009,-1.1,3.314008,0.0,,,3.314009,0.0,3.314008,0.0,,3.314008,3.314008,,1180.8,0.002917,0.002917,0.002917,1180.8,0.002917,0.002917,0.002917,
03/30/1991,51.264,,-26.198,,25.066,,-19.427,,,,5.639,-0.71,,0.429,,,0.0,0.281,4.929,-1.48,3.449,0.0,,,3.449,0.0,3.449,0.0,,3.449,3.449,,1225.247955,0.002917,0.002917,,1225.247955,0.002917,0.002917,0.002917,
06/29/1991,57.895,,-35.037998,,22.857002,,-20.25,,,,2.607,-0.532,,0.525,,,0.0,0.007,2.075,-0.62,1.455,0.0,,,1.455,0.0,1.455,0.0,,1.455,1.455,,1255.871979,0.00125,0.00125,,1255.871979,0.00125,0.00125,0.00125,
09/28/1991,59.43,,-33.029999,,26.400002,,-20.455,,,,5.945,-0.458,,0.507,,,0.0,-0.049,5.487,-2.147,3.34,0.0,,,3.34,0.0,3.34,0.0,,3.34,3.34,,1231.199982,0.002708,0.002708,,1231.199982,0.002708,0.002708,0.002708,
12/28/1991,63.764,,-32.709999,,31.054001,,-22.882999,,,,8.171,-0.515,,0.468,,,0.0,0.047,7.656,-2.851,4.805,0.0,,,4.805,0.0,4.805,0.0,,4.805,4.805,,1281.312,0.00375,0.00375,0.00375,1281.312,0.00375,0.00375,0.00375,
03/28/1992,74.556,,-39.814999,,34.741001,,,,,,,,,,,,,,,,5.277,0.0,,,,0.0,5.277,0.0,,5.277,5.277,,1407.215973,0.00375,0.00375,,1407.215973,0.00375,0.00375,0.00375,
06/27/1992,90.208,,-49.776001,,40.431999,,,,,,,,,,,,,,,,6.443,0.0,,,,0.0,6.443,0.0,,6.443,6.443,,1288.608032,0.005,0.005,,1288.608032,0.005,0.005,0.005,
09/26/1992,103.105003,,-55.854,,47.251003,,-34.214001,,,,13.037,-2.735,,1.428,,,0.0,1.307,10.302,-2.951,7.351,0.0,,,7.351,0.0,7.351,0.0,,7.351,7.351,,1379.76004,0.005625,0.005625,,1379.76004,0.005625,0.005625,0.005625,
01/02/1993,117.836998,,-61.831001,,56.005997,,-39.578999,,,,16.427,-1.199,,1.474,,,0.0,-0.275,15.228,-4.791,10.437,0.0,,,10.437,0.0,10.437,0.0,,10.437,10.437,,1391.615968,0.0075,0.0075,0.0075,1391.615968,0.0075,0.0075,0.0075,
04/03/1993,138.772995,,-72.292999,,66.479996,,-44.251999,,,,22.228001,-1.201,,1.424,,,0.0,-0.223,21.027001,-6.114,14.913,0.0,,,14.913001,0.0,14.913,0.0,,14.913,14.913,,1462.527954,0.01,0.01,,1462.527954,0.01,0.01,0.01,
07/03/1993,179.542007,,-90.545998,,88.99601,,-50.976002,,,,38.02,-0.082,,1.407,,,0.0,-1.325,37.938001,-11.05,26.888,0.0,,,26.888,0.0,26.888,0.0,,26.888,26.888,,1508.608032,0.01625,0.01625,,1508.608032,0.01625,0.01625,0.01625,
10/02/1993,215.746994,,-102.024002,,113.722992,,-59.398998,,,,54.324001,0.266,,1.399,,,0.0,-1.665,54.590001,-16.103001,38.487,0.0,,,38.487001,0.0,38.487,0.0,,38.487,38.487,,1608.015991,0.0225,0.0225,,1608.015991,0.0225,0.0225,0.0225,
12/31/1993,248.559006,,-115.891998,,132.667008,,-66.810997,,,,65.856003,0.245,,1.813,,,0.0,-2.058,66.101003,-19.267,46.834,0.0,,,46.834003,0.0,46.834,0.0,,46.834,46.834,,1782.439944,0.02875,0.02875,0.02875,1782.439944,0.02875,0.02875,0.02875,
04/02/1994,267.058014,,-124.406998,,142.651016,,-73.952003,,,,68.698997,0.569,,3.802,,,0.0,-4.371,69.267997,-20.427999,48.84,0.0,,,48.839998,0.0,48.84,0.0,,48.84,48.84,,1713.936035,0.02875,0.02875,,1713.936035,0.02875,0.02875,0.02875,
