Date,Revenue,Revenue From Electric,Revenue from Gas,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Purchased Gas Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Income,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,2247.814941,1574.359009,673.455994,0.0,0.0,-843.671997,843.671997,843.671997,,,,,1404.142944,-849.75,103.353996,253.656006,,492.73999,554.393005,-167.342999,,,4.417,,200.697998,204.742996,-4.045,0.0,-28.938,387.050007,-176.638,210.412003,0.0,,,210.412006,0.0,210.412003,-24.833,,185.579002,185.579002,,429.837006,0.43,0.43,0.43,429.837006,0.43,0.43,0.43,
06/30/1990,2172.601074,1637.213989,535.387024,0.0,0.0,-756.487,756.487,756.487,,,,,1416.114075,-866.708008,114.112999,259.522003,,493.072998,549.406006,-223.316992,,,6.406,,202.526993,209.468002,-6.941,0.0,27.195999,326.089014,-159.876007,166.212997,0.0,,,166.213007,0.0,166.212997,-24.797001,,141.415997,141.415997,,425.384003,0.33,0.33,0.33,425.384003,0.33,0.33,0.33,
09/30/1990,2597.649902,2055.745117,541.905029,0.0,0.0,-903.211975,903.211975,903.211975,,,,,1694.437927,-850.174988,81.172997,265.494995,,503.506989,844.263,-154.104,,,7.583,,200.251999,206.466003,-6.214,0.0,-38.564999,690.159,-295.977997,394.181,0.0,,,394.181004,0.0,394.181,-24.476999,,369.704,369.704,,420.869995,0.88,0.88,0.88,420.869995,0.88,0.88,0.88,
12/31/1990,2452.025879,1768.753052,683.27301,0.0,0.0,-898.971985,898.971985,898.971985,,,,,1553.053894,-938.578979,105.514,267.743988,,565.320984,614.474976,-174.201995,,,6.179,,200.425995,205.917007,-5.491,0.0,-20.045,440.272981,-223.908997,216.363998,0.0,,,216.363984,0.0,216.363998,-23.893999,,192.469999,192.469999,,418.945007,0.46,0.46,0.46,418.945007,0.46,0.46,0.46,
03/31/1991,2270.878906,1580.290039,690.588989,0.0,0.0,-851.492004,851.492004,,851.492004,,,,1419.386902,-934.653015,130.722,277.988007,,525.942993,484.734009,-199.153993,,,3.5,,198.207993,202.444,-4.236,0.0,4.446,285.580016,-146.216995,139.363007,0.0,,,139.363021,0.0,139.363007,-23.492001,,115.871006,115.871006,,419.993988,0.28,0.28,0.28,419.993988,0.28,0.28,0.28,
06/30/1991,2351.886963,1815.563965,536.322998,0.0,0.0,-720.734009,720.734009,,720.734009,,,,1631.152954,-920.710999,106.317001,277.390015,,537.004028,710.442017,-168.943995,,,4.416,,193.050995,196.735992,-3.685,0.0,-19.691,541.498022,-235.955002,305.542999,0.0,,,305.54302,0.0,305.542999,-23.481001,,282.061998,282.061998,,417.942993,0.67,0.67,0.67,417.942993,0.67,0.67,0.67,
09/30/1991,2520.341064,2038.625977,481.714996,0.0,0.0,-834.398987,834.398987,,834.398987,,,,1685.942078,-926.034973,101.420998,294.977997,,529.635986,759.906982,-159.886004,,,7.8,,194.117004,200.542007,-6.425,0.0,-26.431,600.020978,-265.424011,334.596985,0.0,,,334.596967,0.0,334.596985,-21.841999,,312.754986,312.754986,,416.895996,0.75,0.75,0.75,416.895996,0.75,0.75,0.75,
12/31/1991,2635.011963,1934.160034,700.85199,0.0,0.0,-910.104004,910.104004,,910.104004,,,,1724.907959,-1103.822021,186.759995,290.520996,,626.541016,621.085999,-158.703003,,,8.827,,196.106003,199.334,-3.228,0.0,-28.576,462.382996,-215.492996,246.889999,0.0,,,246.889999,0.0,246.889999,-20.780001,,226.109999,226.109999,,417.027008,0.54,0.54,0.54,417.027008,0.54,0.54,0.54,
03/31/1992,2419.858887,1704.389038,715.469971,0.0,0.0,-768.947021,449.296997,,449.296997,319.649994,,,1650.911865,-998.974976,98.356003,308.011993,202.960007,389.647003,651.937012,-172.547994,,,5.474,,202.386993,177.914993,-5.367,29.839001,-24.365,479.389018,-202.960007,276.428986,0.0,,,276.429011,0.0,276.428986,-20.65,,255.778986,255.778986,,419.15799,0.61,0.61,0.61,419.15799,0.61,0.61,0.61,
06/30/1992,2519.678955,1953.702026,565.97699,0.0,0.0,-776.906982,574.085999,,574.085999,202.820999,,,1742.771973,-991.286987,102.691002,303.691986,74.436996,510.46701,751.484985,-154.722009,,,8.249,,202.960007,187.688004,-9.134,24.406,-39.988998,596.762977,-260.354004,336.408997,0.0,,,336.408973,0.0,336.408997,-20.65,,315.758997,315.758997,,421.593994,0.75,0.75,0.75,421.593994,0.75,0.75,0.75,
