Date,Revenue,Sales & Services Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Depreciation & Amortization,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2006,434.2,,,,,-418.4,,,,,7.4,,15.8,-424.3,51.1,51.1,,0.0,,373.2,-408.5,-13.7,-422.2,2.3,,,-424.5,-10.6,-435.1,0.0,0.0,-435.1,-435.1,365.4,15.9,-27.35,-27.2,-4.2,16.6,-27.35,-27.2,-5.2,
06/30/2006,435.6,,,,,-391.2,,,,,7.9,,44.4,-63.3,60.5,60.5,,,,2.8,-18.9,-5.2,-24.1,10.7,,,-34.8,-7.6,-42.4,-9.2,0.0,-51.6,-51.6,4.6,15.92,-3.25,-2.55,-2.25,18.58,-3.25,-2.55,-2.3,
09/30/2006,696.898,,-431.836,265.062,,-209.299,,,,,34.309,,55.763,-102.91,79.273,80.526,-1.253,0.0,,23.637,-47.147,-4.582,-51.729,3.291,,,-55.02,-21.124,-76.144,-6.5,0.0,-82.644,-82.644,79.93184,79.631,-1.04,-1.0,-0.14,92.944,-1.04,-1.0,-0.14,
12/31/2006,403.1,,,,,-424.6,,,,,,,-21.5,-22.5,,57.9,,0.0,,-35.4,-44.0,-1.4,-44.0,22.5,,,-67.9,-3.5,-71.356,-6.5,0.0,-77.856,-77.856,,79.2,-0.98,-0.7,0.27,92.6,-0.98,-0.7,0.13,
03/31/2007,432.7,,,,,-394.5,,,,,10.4,,38.2,-55.4,56.5,56.5,,0.0,,-1.1,-17.2,-3.3,-20.5,27.8,,,-48.3,-8.3,-56.6,-6.5,0.0,-63.1,-63.1,,78.7,-0.8,-0.45,-0.45,92.1,-0.8,-0.45,-0.45,
06/30/2007,428.1,,,,,-354.5,,,,,10.6,,73.6,-71.4,59.2,59.2,,0.0,,12.2,2.2,10.3,12.5,-463.6,,,476.1,-7.8,468.3,-6.5,0.0,461.8,461.8,-31.4,78.7,5.87,-0.02,-0.42,92.1,5.87,-0.02,-0.36,
09/30/2007,422.7,,,,,-369.6,,,,,5.6,,53.1,-84.2,60.2,60.2,0.0,0.0,-2.3,26.3,-31.1,281.2,250.1,-37.5,,,287.6,,287.6,-6.5,0.0,281.1,281.1,-184.795,78.5,3.58,3.1,0.745924,91.8,3.13,2.72,0.706983,
12/31/2007,427.1,,,,,-396.8,,,,,,,30.3,-91.8,,51.9,,0.0,,39.9,-61.5,34.2,-27.3,18.6,,,-45.9,,-45.9,-6.5,0.0,-52.4,-52.4,,78.6,-0.67,-0.43,0.01,78.6,-0.67,-0.43,0.01,
03/31/2008,464.2,,,,,-407.5,,,,,7.8,,56.7,-44.4,,47.4,,,-2.4,-0.6,12.3,-0.1,12.2,-14.2,,,26.4,-6.6,19.8,-6.5,0.0,13.3,13.3,-23.725,78.9,0.17,-0.02,-0.32,78.9,0.17,-0.02,-0.32,
06/30/2008,450.5,,,,,-385.9,,,,,6.1,,64.6,-7.4,,43.4,,0.0,-2.7,-33.3,57.2,-0.7,56.5,4.1,,,52.4,-8.3,44.1,-6.5,0.0,37.6,37.6,,79.5,0.47,0.52,0.482,93.0,0.47,0.52,0.482,
09/30/2008,448.9,,,,,-391.1,,,,,6.7,,57.8,-64.6,,40.3,,0.0,-2.7,27.0,-6.8,22.5,15.7,2.9,,,12.8,-6.2,6.6,-6.5,0.0,0.1,0.1,,87.4,0.0,0.03,0.12,101.0,0.0,0.04,0.11,
12/31/2008,453.9,,,,,-413.2,,,,,6.9,,40.7,91.9,28.4,28.4,,,-2.8,-117.5,132.6,48.4,181.0,-9.2,,,190.2,-8.3,181.9,-6.5,0.0,175.4,175.4,-103.415,87.4,2.01,1.91,0.73,100.7,1.81,1.72,0.7,
03/31/2009,465.1,465.1,,,0.0,-372.4,25.5,25.5,,17.4,,329.5,92.7,-35.3,,34.4,,,-2.5,3.4,57.4,-1.2,56.2,2.7,2.7,0.0,53.5,-8.6,44.9,-6.5,0.0,38.4,44.3,-5.4,87.5,0.44,0.469714,0.408,100.9,0.44,0.466759,0.408,
06/30/2009,471.9,471.9,,,0.0,-434.6,24.9,24.9,,17.6,,392.1,37.3,-35.3,,31.1,,,2.7,1.5,2.0,0.3,2.3,-1.3,-1.3,0.0,3.6,-9.1,-5.5,-6.5,0.0,-12.0,22.22,35.52,87.6,-0.14,-0.15,0.253653,101.5,-0.14,-0.15,0.199951,
09/30/2009,464.8,464.8,,,0.0,-402.5,26.0,26.0,,18.1,,358.4,62.3,-33.8,,29.5,,,-3.0,7.3,28.5,1.7,30.2,5.4,5.4,0.0,24.8,-8.0,16.8,-6.5,0.0,10.3,32.18,16.48,87.6,0.12,0.18,0.367352,102.2,0.12,0.18,0.341252,
12/31/2009,478.4,478.4,,,0.0,-401.0,28.1,28.1,,18.1,,354.8,77.4,-45.5,,30.8,,,-1.8,16.5,31.9,2.4,34.3,-12.6,-12.6,0.0,46.9,-8.3,38.6,-6.5,0.0,32.1,30.265,10.765,92.6,0.35,0.22,0.326836,107.8,0.35,0.22,0.319861,
03/31/2010,484.1,484.1,,,0.0,-396.2,26.3,26.3,,18.3,,351.6,87.9,-31.8,,30.5,,,-2.6,3.9,56.1,-2.5,53.6,3.1,3.1,0.0,50.5,-9.8,40.7,-6.5,0.0,34.2,41.795,4.495,92.7,0.37,0.4,0.450863,108.0,0.37,0.4,0.44162,
06/30/2010,462.1,462.1,,,0.0,-383.3,26.7,26.7,,17.8,,338.8,78.8,-25.9,,30.1,,,-2.6,-1.6,52.9,1.3,54.2,-3.3,-3.3,0.0,57.5,-10.2,47.3,-6.5,0.0,40.8,44.325,6.825,92.8,0.44,0.4,0.47764,108.2,0.44,0.4,0.463078,
09/30/2010,457.1,457.1,,,0.0,-382.0,24.9,24.9,,18.4,,338.7,75.1,-36.8,30.8,30.8,0.0,,-2.3,8.3,38.3,0.4,38.7,-3.2,-3.2,0.0,41.9,-10.1,31.8,-6.5,0.0,25.3,31.915,9.815,92.8,0.27,0.24,0.343912,108.3,0.27,0.24,0.330628,
12/31/2010,489.3,489.3,,,0.0,-399.9,28.3,28.3,,19.4,,352.2,89.4,-42.3,34.2,34.2,0.0,,-2.6,10.7,47.1,741.5,788.6,-1.3,-1.3,0.0,789.9,-10.7,779.2,-6.5,0.0,772.7,780.11,8.71,92.8,8.33,8.31,8.406358,108.8,7.16,7.13,7.210055,
03/31/2011,501.2,501.2,,,0.0,-402.6,26.9,26.9,,19.5,,356.2,98.6,-32.0,,35.1,,,-2.5,-0.6,66.6,7.4,74.0,-17.5,-17.5,0.0,91.5,-11.7,79.8,-6.5,0.0,73.3,55.865,0.065,93.1,0.79,0.6,0.600054,109.0,0.73,0.57,0.570596,
06/30/2011,500.1,500.1,,,0.0,-401.1,27.4,27.4,,19.6,,354.1,99.0,-57.1,,34.9,,,-3.2,25.4,41.9,-11.2,30.7,-1.6,-1.6,0.0,32.3,-10.4,21.9,-6.5,0.0,15.4,24.525,10.725,93.3,0.17,0.14,0.262862,109.5,0.17,0.14,0.237945,
