Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1990,9.552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.734,,,1.734,1.734,,,,,,,,,,
12/28/1990,11.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.884,,,1.884,1.884,,,,,,,,,,
03/28/1991,8.771999,,-4.867,,3.904999,,-1.75,,,,,,,2.155,0.019,,0.006,,,0.0,-0.025,2.174,-0.035,2.139,0.0,,,2.139,0.0,2.139,0.0,,2.139,2.139,,,0.0,,,,,,,
06/29/1991,12.128,,-5.761,,6.367,,-2.532,,,,,,,3.835,0.016,,0.005,,,0.0,-0.021,3.851,-0.061,3.79,0.0,,,3.79,0.0,3.79,0.0,,3.79,3.79,,,0.0,,,,,,,
09/28/1991,11.907,,-6.248,,5.658999,,-2.226,,,,,,,3.433,0.111,,0.005,,,0.0,-0.116,3.544,-0.658,2.886,0.0,,,2.886,0.0,2.886,0.0,,2.886,2.886,,,0.0,,,,,,,
12/28/1991,12.816,,-6.645,,6.171,,-2.904,,,,,,,3.267,0.48,,0.055,,,0.0,-0.535,3.747,-1.723,2.024,0.0,,,2.024,0.0,2.024,0.0,,2.024,2.024,,,0.0,,,,,,,
03/28/1992,13.17,,-7.023,,6.147,,-2.905,,,,,,,3.242,0.485,,0.059,,,-0.071,-0.473,3.727,-1.397,2.33,0.0,,,2.33,0.0,2.33,0.0,,2.33,2.33,,53.900999,0.042222,0.042222,,53.900999,0.042222,0.042222,0.042222,
06/27/1992,14.928,,-7.476,,7.452001,,-3.297,,,,,,,4.155,0.757,,0.061,,,-0.028,-0.79,4.912,-1.797,3.115,0.0,,,3.115,0.0,3.115,0.0,,3.115,3.115,,53.900999,0.057778,0.057778,,53.900999,0.057778,0.057778,0.057778,
09/26/1992,14.643,,-7.334,,7.309,,-3.288,,,,,,,4.021,0.755,,0.057,,,-0.06,-0.752,4.776,-1.67,3.106,0.0,,,3.106,0.0,3.106,0.0,,3.106,3.106,,53.900999,0.057778,0.057778,,53.900999,0.057778,0.057778,0.057778,
12/31/1992,15.97,,-7.886,,8.084,,-4.095,,,,,,,3.989,0.429,,0.056,,,0.159,-0.644,4.418,-1.126,3.292,0.0,,,3.292,0.0,3.292,0.0,,3.292,3.292,,53.900999,0.062222,0.062222,,53.900999,0.062222,0.062222,0.062222,
