Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
06/30/2020,85.132,85.132,85.132,,8.532174,-0.753089,-1.257095,-1.13,-1.13,-1.134937,-1.13,-1.13,-1.135902,0.41949,0.271273,34.495466,54.592104,28.193934,
09/30/2020,,,,,,,,-0.599,-0.599,-0.318,-0.599,-0.599,-0.318,-0.197,,,68.74,,
12/31/2020,,,,,,,,-0.438,-0.438,-0.196,-0.438,-0.438,-0.196,0.32,,,68.907,,
