Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investments & Loans Income (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Other Non-Operating (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,Extraordinary & Accounting Items,Income (Loss) incl. Minority Interest,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
02/27/1997,1957,1957,4932,0,4932.0,-2975,0,,,,,,0.0,0.0,1957,-1052,,1052,905,0.0,0.0,905,-44,861,0.0,,,861,0.0,861,0,,861,861,,,,,,,,,,
05/30/1997,1674,1674,4608,0,4608.0,-2934,0,,,,,,0.0,0.0,1674,-1064,,1064,610,0.0,0.0,610,-99,511,0.0,,,511,0.0,511,0,,511,511,,,,,,,,,,
08/30/1997,2230,2230,5957,0,5957.0,-3727,0,,,,,,0.0,0.0,2230,-1298,,1298,932,0.0,0.0,932,-60,872,0.0,,,872,0.0,872,0,,872,872,,,,,,,,,,
11/30/1997,1586,1586,4936,0,4936.0,-3350,0,,,,,,0.0,0.0,1586,-1019,,1019,567,0.0,0.0,567,-65,502,0.0,,,502,0.0,502,0,,502,502,,,,,,,,,,
02/28/1998,2472,212,3643,0,3643.0,-3431,2260,1115.0,,,,1145.0,0.0,0.0,2472,-1450,93.0,1357,1022,0.0,0.0,1022,-138,884,0.0,,,884,0.0,884,0,,884,884,,,,,,,,,,
05/31/1998,2989,255,3829,0,3829.0,-3574,2734,1311.0,,,,1423.0,0.0,0.0,2989,-1952,101.0,1851,1037,0.0,0.0,1037,-190,847,0.0,,,847,0.0,847,0,,847,847,,,,,,,,,,
08/31/1998,2144,341,3932,0,3932.0,-3591,1803,293.0,,,,1510.0,0.0,0.0,2144,-1389,107.0,1282,755,0.0,0.0,755,-102,653,0.0,,,653,0.0,653,0,,653,653,,,,,,,,,,
11/27/1998,915,244,3606,0,3606.0,-3362,671,-704.0,,,,1375.0,0.0,0.0,915,-808,123.0,685,107,0.0,0.0,107,-63,44,0.0,,,44,0.0,44,0,,44,44,,,,,,,,,,
02/26/1999,2995,152,3013,0,3013.0,-2861,2843,1398.0,,,,1445.0,0.0,0.0,2995,-1807,111.0,1696,1188,0.0,0.0,1188,-181,1007,0.0,,,1007,0.0,1007,0,,1007,1007,,474.712006,2.12,2.12,2.12,479.90799,2.1,2.1,2.1,
05/28/1999,3469,132,3018,0,3018.0,-2886,3337,1719.0,,,,1618.0,0.0,0.0,3469,-2699,109.0,2590,770,-2257.0,2257.0,-1487,1827,340,0.0,,,340,0.0,340,0,,340,340,,474.712,0.72,0.72,2.12,479.908,0.71,0.71,2.11,
