Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,538.799988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.399998,,,23.399998,23.399998,,0.0,0.088333,0.088333,,0.0,0.088333,0.088333,0.088333,
03/31/1990,548.200012,,,-415.100006,,133.100006,,-52.099998,,,,,81.0,-32.1,,35.0,,,,,-2.9,48.9,-16.9,,,32.0,0.0,,,32.0,0.0,32.0,-2.9,,29.1,29.1,,247.175995,0.118333,0.118333,,247.175995,0.118333,0.118333,0.118333,
06/30/1990,383.0,,,-292.0,,91.0,,-50.0,,,,,41.0,-24.400002,,34.400002,,,,,-10.0,16.599998,-8.5,,,8.1,0.0,,,8.099998,0.0,8.1,-2.9,,5.2,5.2,,259.999992,0.02,0.02,,259.999992,0.02,0.02,0.02,
09/30/1990,348.899994,,,-265.399994,,83.5,,-53.799999,,,,,29.700001,-70.5,,34.099998,,,,,36.400002,-40.799999,25.5,,,-15.3,0.0,,,-15.299999,0.0,-15.3,-2.9,,-18.2,-18.2,,248.181816,-0.073333,-0.073333,,248.181816,-0.073333,-0.073333,-0.073333,
12/31/1990,542.0,,,-393.399994,,148.600006,,-46.200001,,,,,102.400002,-24.999998,,33.599998,,,0.0,,-8.6,77.400004,-25.200001,,,52.200001,0.0,,,52.200003,0.0,52.200001,-2.9,,49.300001,49.300001,,247.989006,0.198333,0.198333,0.198333,247.989006,0.198333,0.198333,0.198333,
03/31/1991,607.599976,,,-440.799988,,166.799988,,-65.900002,,,,,100.900002,-33.099998,,39.099998,,,,,-6.0,67.800003,-25.0,,,42.799999,0.0,,,42.800003,0.0,42.799999,-2.9,,39.899999,39.899999,,249.80999,0.16,0.16,,249.80999,0.16,0.16,0.16,
06/30/1991,448.0,,,-336.5,,111.5,,-70.199997,,,,,41.299999,-22.099999,,37.299999,,,,,-15.2,19.2,-5.2,,,14.0,0.0,,,14.0,0.0,14.0,-2.9,,11.1,11.1,,256.153839,0.043333,0.043333,,256.153839,0.043333,0.043333,0.043333,
09/30/1991,430.0,,,-314.5,,115.5,,-78.699997,,,,,36.799999,-36.599998,,40.599998,,,,,-4.0,0.200001,5.5,,,5.7,0.0,,,5.700001,0.0,5.7,-2.9,,2.8,2.8,,240.0,0.011667,0.011667,,240.0,0.011667,0.011667,0.011667,
12/31/1991,619.099976,,,-451.0,,168.099976,,-76.400002,,,,,91.699997,-28.399999,,40.799999,,,,,-12.4,63.299998,-15.8,,,47.5,0.0,,,47.499998,0.0,47.5,-2.9,,44.6,44.6,,250.272012,0.176667,0.176667,0.176667,250.272012,0.176667,0.176667,0.176667,
03/31/1992,583.200012,,,-427.899994,,155.300018,,-83.400002,,,,,71.900002,-18.199999,,39.599998,,,,,-21.4,53.700003,-14.2,,,39.5,0.0,,,39.500003,0.0,39.5,-2.9,,36.6,36.6,,257.681992,0.141667,0.141667,,257.681992,0.141667,0.141667,0.141667,
