Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2000,325.247986,30.201,30.201,0.0,36.643002,,,26.540001,,,,,12.162,,,,,,105.545998,5.539,,,0.0,,,214.162994,190.304001,0.0,190.304001,23.858993,219.701994,,10.897,10.897,,,,17.862,17.862,0.0,0.0,,,31.114001,,,,31.114001,59.873001,171.837006,171.837006,0.0,0.0,,11.756,,,11.756,183.593006,243.466007,0.0,131.240005,,,-0.031,,-49.427,81.782005,0.0,81.782005,325.248012,
06/30/2000,335.701996,29.858,29.858,0.0,43.789001,43.789001,,32.342999,0.0,0.0,0.0,0.0,16.121,,,,,,122.111,5.448,8.464,-3.016,0.0,,,208.143005,188.526001,0.0,188.526001,19.617004,213.591005,,21.775999,21.775999,,,,14.567,14.567,0.0,0.0,,,31.731997,,,,31.731997,68.074997,168.468994,168.468994,0.0,0.0,,16.768,,,16.768,185.236994,253.311991,0.0,131.209,,,0.0,-48.819,0.0,82.389999,0.0,82.389999,335.70199,
09/30/2000,452.742004,48.915001,48.915001,0.0,59.224998,59.224998,,31.048,,,,,4.043,,,,,,143.231003,5.604,9.105,-3.501,0.0,,,303.907013,298.347992,0.0,298.347992,5.559021,309.511013,,22.599001,22.599001,,,,15.538,15.538,0.0,0.0,,,41.539001,,,,41.539001,79.676003,185.246994,185.246994,0.0,0.0,,1.64,,,1.64,186.886994,266.562997,0.0,371.54599,,,0.0,-185.367004,0.0,186.178986,0.0,186.178986,452.741982,
12/31/2000,467.839996,59.195999,59.195999,0.0,78.311996,,,29.746,,,,,5.8,,,,,,173.054001,5.742,9.734,-3.992,0.0,,,289.044006,284.559998,299.928009,-15.368011,4.484009,294.786006,,15.855,15.855,,,,36.370998,36.370998,0.0,0.0,,,48.069,,,,48.069,100.294998,162.154007,162.154007,0.0,0.0,,7.218,,,7.218,169.372007,269.667005,0.0,386.846008,,,0.0,,-188.673004,198.173004,0.0,198.173004,467.840009,
03/31/2001,448.946,79.055,79.055,,51.597,51.597,,29.92,,,,,5.188,,,,,,165.76,6.479,,,,,,276.707,272.663,272.663,0.0,4.044,283.186,,16.719,16.719,,,,37.342,,,,,,40.057,,,,40.057,94.118,158.234,,,,,12.659,,,12.659,170.893,265.011,,386.846,,,0.0,-202.911,0.0,183.935,,183.935,448.946,
06/30/2001,441.157013,67.027,67.027,0.0,71.084,,,23.438,,,,,5.056,,,,,,166.604996,6.742,,,0.0,,,267.809998,260.765991,0.0,260.765991,7.044006,274.551998,,17.677999,17.677999,,,,15.333,15.333,0.0,0.0,,,47.395998,,,,47.395998,80.406998,156.074997,156.074997,0.0,0.0,,18.009001,,,18.009001,174.083998,254.490995,0.0,386.846008,,,0.0,,-200.179993,186.666016,0.0,186.666016,441.157011,
09/30/2001,456.182007,89.308998,89.308998,0.0,79.418999,79.418999,,20.257,,,,,4.892,,,,,,193.876999,9.086,,,0.0,,,253.218994,245.518997,0.0,245.518997,7.699997,262.304995,,21.370001,21.370001,,,,16.139999,16.139999,0.0,0.0,,,51.046999,,,,51.046999,88.556999,174.516006,174.516006,0.0,0.0,,2.183,,,2.183,176.699007,265.256006,0.0,424.098999,,,0.0,-233.173004,0.0,190.925995,0.0,190.925995,456.182001,
12/31/2001,470.994995,95.357002,95.357002,0.0,95.329002,,,27.766001,0.395,1.44,25.931,0.0,22.473,,,,,,240.925003,9.883,15.368,-5.485,0.0,,,220.186996,194.813004,257.303009,-62.490005,25.373993,230.069997,,30.705,30.705,,,,91.259003,91.259003,0.0,0.0,,,53.701998,,,,53.701998,175.666,0.0,0.0,0.0,0.0,,0.207,,,0.207,0.207,175.873,0.0,520.336975,,,0.0,,-225.214996,295.121979,0.0,295.121979,470.994979,
03/31/2002,475.475006,117.695,117.695,0.0,69.953003,69.953003,,30.565001,,,,,32.066002,,,,,,250.279007,9.364,,,0.0,,,215.832001,193.389999,181.078995,12.311005,22.442001,225.196001,,28.594999,28.594999,,,,92.968002,92.968002,0.0,0.0,,,59.925997,,,,59.925997,181.488998,0.0,0.0,0.0,0.0,,0.218,,,0.218,0.218,181.706998,0.0,513.606995,,,0.0,-219.839005,0.0,293.76799,0.0,293.76799,475.474989,
06/30/2002,556.117004,151.835007,151.835007,0.0,113.862,113.862,,29.061001,,,,,39.484001,,,,,,334.242004,9.59,,,0.0,,,212.285004,193.203995,181.078995,12.125,19.081009,221.875004,,35.855,35.855,,,,94.707001,94.707001,0.0,0.0,,,109.566006,,,,109.566006,240.128006,0.0,0.0,0.0,0.0,,0.217,,,0.217,0.217,240.345006,0.0,513.611023,,,0.0,-197.839005,0.0,315.772018,0.0,315.772018,556.117024,
