Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Capital Expenditures,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1993,,18.188999,3.795,-15.903,18.996,25.077,,,,,,
06/30/1993,,127.581001,5.893,-95.530998,-27.579,10.364,,,,,,
03/31/1994,,13.352,16.468,0.998,-20.910999,9.907,,,,,,
06/30/1994,,14.296,18.913,-20.02,-1.528,11.661,,,,,,
09/30/1994,,13.132,19.587,20.322001,0.71,53.750999,,,,,,
12/31/1994,,15.921,21.573999,-22.125999,23.966,39.334999,,,,39.334999,,
03/31/1995,,12.31,16.945,0.557,-13.558,16.254,,-42.143002,,,,
06/30/1995,,11.246,16.608,1.643,-4.055,25.441999,,-31.108,,,,
09/30/1995,,8.713,16.982,5.611,-2.028,29.278,,-33.422001,,,,
12/31/1995,,7.543,17.926001,7.18,1.393,34.042,-55.792,-55.792,,-21.75,,
03/31/1996,,6.228,16.672001,1.273,-15.928,8.245,,-43.505001,,,,
06/30/1996,,5.844,16.371,1.832,17.343,41.389999,,-72.165001,,,,
09/30/1996,,3.502,14.278,3.056,-0.851,19.985001,,-75.676003,,,,
12/31/1996,,5.494,19.007,-3.856,-25.058001,-4.413,,-65.82,,,,
