Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,2954.0,,,,,,,,,,,,,,,,,,,,,,,,292.0,,,292.0,292.0,,892.038452,0.3275,0.3275,,892.038452,0.3275,0.3275,0.3275,
03/31/1990,3164.0,,-1822.0,,1342.0,,-763.0,,,,579.0,-24.0,,24.0,,0.0,555.0,-212.0,343.0,0.0,,,343.0,-8.0,335.0,0.0,,335.0,335.0,,890.304016,0.3775,0.3775,,890.304016,0.3775,0.3775,0.3775,
06/30/1990,3234.0,,-1865.0,,1369.0,,-784.0,,,,585.0,-23.0,,28.0,,-5.0,562.0,-212.0,350.0,0.0,,,350.0,-8.0,342.0,0.0,,342.0,342.0,,888.335999,0.385,0.385,,888.335999,0.385,0.385,0.385,
09/30/1990,3343.0,,-1965.0,,1378.0,,-809.0,,,,569.0,-20.0,,22.0,,-2.0,549.0,-206.0,343.0,0.0,,,343.0,-7.0,336.0,0.0,,336.0,336.0,,884.684021,0.38,0.38,,884.684021,0.38,0.38,0.38,
12/31/1990,3280.0,,-2004.0,,1276.0,,-818.0,,,,458.0,11.0,,24.0,,-35.0,469.0,-168.0,301.0,0.0,,,301.0,-6.0,295.0,0.0,,295.0,295.0,,879.776,0.335,0.335,0.335,879.776,0.335,0.335,0.335,
03/31/1991,3389.0,,-2035.0,,1354.0,,-844.0,,,,510.0,-19.0,,28.0,,-9.0,491.0,-182.0,309.0,0.0,,,309.0,-9.0,300.0,0.0,,300.0,300.0,,879.02002,0.3425,0.3425,,879.02002,0.3425,0.3425,0.3425,
06/30/1991,3349.0,,-1990.0,,1359.0,,-835.0,,,,524.0,-34.0,,29.0,,5.0,490.0,-181.0,309.0,0.0,,,309.0,-10.0,299.0,0.0,,299.0,299.0,,878.85199,0.34,0.34,,878.85199,0.34,0.34,0.34,
09/30/1991,3378.0,,-2056.0,,1322.0,,-827.0,,,,495.0,-13.0,,22.0,,-9.0,482.0,-179.0,303.0,0.0,,,303.0,-7.0,296.0,0.0,,296.0,296.0,,878.572021,0.3375,0.3375,,878.572021,0.3375,0.3375,0.3375,
12/31/1991,3224.0,,-1977.0,,1247.0,,-817.0,,,,430.0,-16.0,,18.0,,-2.0,414.0,-149.0,265.0,0.0,,,265.0,-6.0,259.0,0.0,,259.0,259.0,,876.799988,0.295,0.295,0.295,876.799988,0.295,0.295,0.295,
03/31/1992,3438.0,,-2058.0,,1380.0,,-871.0,,,,509.0,-20.0,,22.0,,-2.0,489.0,-175.0,314.0,3.0,,,311.0,-8.0,303.0,0.0,,303.0,303.0,,876.799988,0.345,0.35,,876.799988,0.345,0.35,0.35,
