Date,Revenue,Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,Real Estate Tax,Other Property Expense,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,Impairment of Assets,Disposal of Con Assets,Disposal of Uncon Assets,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Recurring Capital Expenditure,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/1994,6.635,6.415,,0.0,0.0,0.22,-4.403,2.593,,,0.316,1.494,0.0,,0.0,2.232,-2.549,2.549,,0.0,-0.317,0.0,,,,0.0,,,-0.317,,-0.32,,,-0.32,-0.32,,,0.0,,,,,,,,,,,,9.155,,9.155,,9.155,,,0.0,,,0.0,
06/30/1994,8.99,8.591,,0.0,0.0,0.399,-5.546,2.572,,,0.453,2.521,0.0,,0.0,3.444,-1.055,1.055,,0.0,2.389,0.0,,,,0.0,,,2.389,,2.38,,,2.38,2.38,,11.937304,0.203081,0.203081,0.203081,11.937304,0.203081,0.203081,0.203081,,,,,,4.901,,4.901,,4.901,0.410562,0.410562,0.425503,103.639253,103.639253,103.631911,
09/30/1994,10.516,10.263,,0.0,0.0,0.253,-6.539,3.232,,,0.553,2.754,0.0,,0.0,3.977,-1.676,1.676,,0.0,2.301,0.0,,,,0.0,,,2.301,,2.296,,,2.296,2.296,,11.937304,0.193411,0.193411,0.193411,11.937304,0.193411,0.193411,0.193411,,,,,,5.05,,5.05,,5.05,0.423044,0.423044,0.36748,86.865736,86.865736,86.871286,
12/31/1994,11.027,10.786,,0.0,0.0,0.241,-6.753,3.548,,,0.497,2.708,0.0,,0.0,4.274,-1.86,1.86,,0.0,2.414,0.0,,,,0.0,,,2.414,,2.414,,,2.414,2.414,,11.937304,0.203081,0.203081,0.203081,11.937304,0.203081,,,,,,,,5.122,,5.122,,5.122,0.429075,0.429075,0.36748,85.644663,85.644663,85.650135,
03/31/1995,11.85,11.434,,0.0,0.0,0.416,-7.445,3.691,,,0.494,3.26,0.0,,0.0,4.405,-2.482,2.482,,0.0,1.923,0.0,,,,0.0,,,1.923,,1.92,,,1.92,1.92,,11.937304,0.164399,0.164399,0.164399,11.937304,0.164399,0.164399,0.164399,,,,,,4.97,,4.97,,4.97,0.416342,0.416342,0.36748,88.263984,88.263984,90.583502,
06/30/1995,12.847,12.544,,0.0,0.0,0.303,-7.844,3.931,,,0.612,3.301,0.0,,0.0,5.003,-0.579,2.991,,-2.412,4.424,0.0,,,,0.0,,,4.424,,4.419,,,4.419,4.419,,11.937304,0.36748,0.36748,0.36748,11.937304,0.36748,0.36748,0.36748,,,,,,5.095,,5.095,,5.095,0.426813,0.426813,0.37715,88.364277,88.364277,88.361139,
09/30/1995,13.624,13.284,,0.0,0.0,0.34,-8.539,4.44,,,0.711,3.388,0.0,,0.0,5.085,-2.958,2.958,,0.0,2.127,0.0,,,,0.0,,,2.127,,2.121,,,2.121,2.121,,11.937304,0.174069,0.174069,0.174069,11.937304,0.174069,0.174069,0.174069,,,,,,5.287,,5.287,,5.287,0.442897,0.442897,0.37715,85.155278,85.155278,85.152255,
12/31/1995,15.2,14.848,,0.0,0.0,0.352,-9.154,4.739,,,0.65,3.765,0.0,,0.0,6.046,-3.041,3.041,,0.0,3.005,0.0,,,,0.0,,,3.005,,3.0,,,2.076,2.076,,11.937304,0.174069,0.174069,0.174069,11.937304,0.174069,0.174069,0.174069,,,,,,6.532,,6.532,,6.532,0.547192,0.547192,0.37715,68.924673,68.924673,68.922226,
03/31/1996,16.472,16.094,,0.0,0.0,0.378,-9.79,4.959,,,0.86,3.971,0.0,,0.0,6.682,-3.472,3.472,,0.0,3.21,0.0,,,,0.0,,,3.21,,3.195,,,2.244,2.244,,11.951781,0.18374,0.18374,0.18374,11.951781,0.18374,0.18374,0.18374,,,,,,6.982,,6.982,,6.982,0.584181,0.584181,0.386821,66.215984,66.215984,66.213123,
06/30/1996,18.393,17.906,,0.0,0.0,0.487,-10.663,5.573,,,0.864,4.226,0.0,,0.0,7.73,-3.635,3.635,,0.0,4.095,0.0,,,,0.511,,,3.584,,3.572,,,2.517,2.517,,12.955863,0.193411,0.232093,0.232093,12.955863,0.193411,0.232093,0.232093,,,,,,8.179,,8.179,,8.179,0.631297,0.631297,0.386821,61.273997,61.273997,64.690059,
09/30/1996,23.049999,22.379999,,0.0,0.0,0.67,-13.324,7.247,,,0.997,5.08,0.0,,0.0,9.726,-3.743,3.743,,0.0,5.983,0.0,,,,0.0,,,5.983,,5.845,,,4.727,4.727,,17.369275,0.270775,0.270775,0.270775,17.369275,0.270775,0.270775,0.270775,,,,,,10.831,,10.831,,10.831,0.623572,0.623572,0.386821,62.033056,62.033056,70.132028,
12/31/1996,24.677999,23.997,,0.0,0.0,0.681,-14.084,7.498,,,1.174,5.412,0.0,,0.0,10.594,-3.426,3.426,,0.0,7.168,0.0,,,,0.0,,,7.168,,7.014,,,5.874,5.874,,19.705238,0.338468,0.338468,0.338468,19.705238,0.338468,0.338468,0.338468,,,,,,12.301,,12.301,,12.301,0.62425,0.62425,0.396492,63.514837,63.514837,63.385092,
03/31/1997,26.257,25.393,,,,0.864,-15.031,7.885,,,1.447,5.699,,,,11.226,-3.317,3.317,,,7.909,,,,,,,,,,7.771,,,6.625,6.625,,23.773247,0.319127,0.319127,0.319127,23.773247,0.319127,0.319127,0.319127,,,,,,13.321,,13.321,,13.321,0.560336,0.560336,0.396492,70.759635,70.759635,70.759635,
06/30/1997,30.206,30.152,,,,0.054,-17.841,10.044,,,0.921,6.426,,,0.45,12.365,-3.8,3.8,,,8.565,,,,,,,,,,8.479,,,7.184,7.184,,22.568165,0.319127,0.319127,0.319127,25.679889,0.319127,0.319127,0.319127,,,,,,1.27,,1.27,,1.27,0.049455,0.049455,,,,0.0,
09/30/1997,33.228,33.164,,,,0.064,-19.241,10.909,,,1.265,6.927,,,0.14,13.987,-3.243,3.243,,,10.744,,,,,,,,,,10.653,,,8.257,8.257,,23.52,0.348139,0.348139,0.348139,26.682491,0.348139,0.348139,0.348139,,,,,,1.587,,1.587,,1.587,0.059477,0.059477,,,,0.0,
12/31/1997,37.258999,36.080002,,,,1.179,-21.313,11.02,,,1.626,7.957,,,0.71,15.946,-3.753,3.753,,,12.193,,,,,,,,,,12.038,,,9.395,9.395,,26.118539,0.357809,0.357809,0.357809,29.260044,0.357809,0.357809,0.357809,,,,,,17.302,,17.302,,17.302,0.591318,0.591318,0.406162,68.687547,68.687547,63.30482,
03/31/1998,45.437,45.326,,,,0.111,-26.055,15.017,,,1.171,9.867,,,,19.382,-6.249,6.249,,,13.133,,,,,,,,,,12.979,,,8.95,8.95,,27.06427,0.328798,0.328798,0.328798,27.06427,0.328798,0.328798,0.328798,,,,,,19.736,,19.736,,19.736,0.729227,0.729227,,,,0.0,
06/30/1998,70.553,70.068,,0.115,,0.37,-41.149,24.774,,,1.778,14.597,,,,29.404,-10.912,11.15,-0.238,,18.492,,,,,,,,,,18.242,,,13.748,13.748,,40.495107,0.338468,0.338468,0.338468,41.720571,0.328798,0.328798,0.328798,,,,,,8.578,,8.578,,8.578,0.205606,0.205606,,,,0.0,
