Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Funds From Operations - Basic,Funds From Operations - Diluted,Cash & Equivalents,Book Value,Tangible Book Value,Net Utility Plant,Source: Bloomberg
03/31/1990,53.326,53.326,53.326,,3.246821,1.030079,0.729288,0.37,0.37,0.37,0.37,0.37,0.37,0.2175,1.038893,1.038893,,,0.21753,7.885478,,18.734369,
06/30/1990,53.326,53.326,53.326,,2.582455,0.709598,0.398155,0.17,0.17,0.17,0.17,0.17,0.17,0.2175,0.057664,0.057664,,,0.197127,7.839515,,18.754791,
09/30/1990,53.326,53.326,53.326,,2.707404,0.949781,0.653284,0.335,0.335,0.335,0.335,0.335,0.335,0.2175,0.776769,0.776769,,,0.299629,7.956888,,18.707891,
12/31/1990,53.326,53.326,53.326,,3.061621,0.871714,0.587987,0.24,0.24,0.24,0.24,0.24,0.24,0.2175,0.434103,0.434103,,,0.466452,8.196415,,18.915033,
03/31/1991,53.326,53.326,53.326,,3.320406,0.97429,0.689176,0.355,0.355,0.355,0.355,0.355,0.355,0.225,1.12943,1.12943,,,0.76203,8.325619,,18.860368,
06/30/1991,53.540001,53.43,53.43,,2.767696,0.671252,0.394947,0.195,0.195,0.195,0.195,0.195,0.195,0.225,-0.111791,-0.111791,,,0.293108,8.313915,,18.884777,
09/30/1991,53.540001,53.540001,53.540001,,2.843332,0.970583,0.671797,0.335,0.335,0.335,0.335,0.335,0.335,0.225,0.789671,0.789671,,,0.174468,8.423291,,19.019444,
12/31/1991,53.57,53.546002,53.546002,,3.205225,0.981007,0.694076,0.33,0.33,0.33,0.33,0.33,0.33,0.225,-0.074123,-0.074123,,,0.123278,8.544745,,19.323762,
03/31/1992,53.818001,53.688,53.688,,3.316365,0.969341,0.667691,0.345,0.345,0.345,0.345,0.345,0.345,0.2325,0.637591,0.637591,,,0.564997,8.667398,,19.263926,
06/30/1992,54.088001,53.953999,53.953999,,2.620696,0.595822,0.316529,0.13,0.13,0.13,0.13,0.13,0.13,0.2325,0.365459,0.365459,,,0.24279,8.603257,,19.38759,
09/30/1992,54.737999,55.245998,55.245998,,2.833074,0.772671,0.463816,0.22,0.22,0.22,0.22,0.22,0.22,0.2325,0.329381,0.329381,,,0.086795,8.612244,,19.487104,
12/31/1992,55.658,55.514,55.514,,3.554257,1.062669,0.709911,0.365,0.365,0.365,0.365,0.365,0.365,0.2325,1.213802,1.213802,,,0.07794,8.687628,,19.628822,
03/31/1993,56.933998,56.456001,56.456001,,3.706426,0.98002,0.646326,0.35,0.35,0.35,0.35,0.35,0.35,0.2375,1.113061,1.113061,,,0.100028,8.984122,,19.268997,
06/30/1993,60.641998,58.556,58.556,,2.965213,0.65445,0.339385,0.125,0.125,0.125,0.125,0.125,0.125,0.2375,-0.060489,-0.060489,,,0.106395,9.297055,,18.287078,
09/30/1993,60.641998,60.588001,60.588001,,2.869694,0.792451,0.484551,0.22,0.22,0.22,0.22,0.22,0.22,0.2375,0.431785,0.431785,,,0.105471,9.417483,,18.726807,
12/31/1993,60.877998,60.756,60.756,,3.560258,1.105455,0.772681,0.365,0.365,0.365,0.365,0.365,0.365,0.2375,1.083876,-1.529182,,,0.319787,9.575972,,19.234025,
03/31/1994,61.138,61.0,61.0,,3.838984,1.156311,0.774508,0.435,0.435,0.435,0.435,0.435,0.435,0.24,1.158279,1.158279,,,0.149416,9.790801,,19.076532,
