Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2009,85.502,85.502,,,,,0.0,-44.567,,,,,,44.567,40.935,-16.335,,,,16.335,24.6,0.0,0.0,0.0,24.6,0.0,0.0,0.0,24.6,,24.6,0.0,0.0,24.6,24.6,0.0,,,,,,,,,
06/30/2009,90.075,90.075,,,,,0.0,-44.267,,,,,,44.267,45.808,-17.91,,,,17.91,27.898,0.0,0.0,0.0,27.898,0.0,0.0,0.0,27.898,,27.898,0.0,0.0,27.898,27.898,0.0,,,,,,,,,
09/30/2009,96.866,96.866,,,,,0.0,-46.304,,,,,,46.304,50.562,-19.413,,,,19.413,31.149,0.0,0.0,0.0,31.149,0.0,0.0,0.0,31.149,,31.149,0.0,0.0,31.149,31.149,0.0,,,,,,,,,
12/31/2009,79.646,79.646,,,,,0.0,-48.773,,,,,,48.773,30.873,-12.093,,,,12.093,18.78,,,,18.78,0.0,0.0,0.0,18.78,,18.78,0.0,0.0,18.78,18.78,0.0,133.461,0.14072,0.14072,0.14072,133.461,0.14072,0.14072,0.14072,
03/31/2010,113.582,113.582,,,,,0.0,-54.125,,,,,,54.125,59.457,-22.084,,,,22.084,37.373,0.0,0.0,0.0,37.373,0.0,0.0,0.0,37.373,,37.373,0.0,0.0,37.373,37.373,0.0,,,,,,,,,
06/30/2010,125.409,82.422,42.987,-1.735,1.735,123.674,0.0,-58.097,40.243,31.392,8.851,13.015,,4.839,65.577,-1.429,0.07,,,1.359,64.148,-24.073,,,40.075,0.0,0.0,0.0,40.075,-0.013,40.062,0.0,0.0,40.062,40.062,0.0,,,,,,,,,
09/30/2010,139.319,139.319,,,,,0.0,-72.719,,,,,,72.719,66.6,-23.686,,,,23.686,42.914,0.0,0.0,0.0,42.914,0.0,0.0,0.0,42.914,,42.914,0.0,0.0,42.914,42.914,0.0,,,,,,,,,
12/31/2010,106.325,69.841,36.484,-2.007,2.007,104.318,0.0,-69.652,45.608,35.711,9.897,12.511,9.558,1.975,34.666,-0.641,,,,0.641,34.025,-15.499,,,18.526,0.0,0.0,0.0,18.526,-0.097,18.429,0.0,0.0,18.429,18.429,0.0,133.461019,0.14,0.14,0.14,133.461019,0.14,0.14,0.14,
03/31/2011,149.222,95.278,53.944,-2.231,2.231,146.991,0.0,-73.677,52.389,44.195,8.194,13.089,6.219,1.98,73.314,1.063,,,,-1.063,74.377,-27.006,,,47.371,0.0,0.0,0.0,47.371,-0.093,47.278,0.0,0.0,47.278,47.278,0.0,133.461,0.35,0.35,0.35,133.461,0.35,0.35,0.35,
06/30/2011,169.242,110.043,59.199,-2.735,2.735,166.507,0.0,-82.688,60.629,52.685,7.944,13.379,5.646,3.034,83.819,0.674,,,,-0.674,84.493,-30.383,,,54.11,0.0,0.0,0.0,54.11,-0.046,54.064,0.0,0.0,54.064,54.738925,0.674925,133.461,0.41,0.41,0.410149,133.461,0.41,0.41,0.410149,
09/30/2011,180.801,120.384,60.417,-3.227,3.227,177.574,0.0,-95.506,69.543,60.349,9.194,14.748,7.024,4.191,82.068,-2.59,-0.212,,,2.802,79.478,-25.185,,,54.293,0.0,0.0,0.0,54.293,0.021,54.314,0.0,0.0,54.314,55.75115,1.43715,133.461,0.41,0.41,0.417734,133.461,0.41,0.41,0.417734,
12/31/2011,137.798,100.34,37.458,-2.68,2.68,135.118,0.0,-101.562,71.385,51.947,19.438,16.232,6.996,6.949,33.556,-0.01,,,,0.01,33.546,-11.529,,,22.017,0.0,0.0,0.0,22.017,0.004,22.021,0.0,0.0,22.021,24.427685,2.406685,133.461127,0.16,0.16,0.183032,134.86525,0.16,0.16,0.177845,
03/31/2012,183.715,132.127,51.588,-2.734,2.734,180.981,0.0,-107.604,83.643,67.389,16.254,17.841,6.12,0.0,73.377,-2.236,2.932,,,-0.696,71.141,-22.97,,,48.171,0.0,0.0,0.0,48.171,-0.06,48.111,0.0,0.0,48.111,48.111,0.0,133.754,0.36,0.36,0.36,136.158,0.35,0.35,0.35,
