Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Capital Expenditures,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,8.073,,,,-6.632,,,,,,
06/30/1990,,8.022,,,,3.153,,,,,,
09/30/1990,,9.041,,,,9.778,,,,,,
12/31/1990,,11.345,,,,65.863998,,,,65.863998,,
03/31/1991,,8.907,,,,-7.962,,,,,,
06/30/1991,,9.332,,,,-12.917,,,,,,
09/30/1991,,11.092,,,,-7.369,,,,,,
12/31/1991,,5.814,,,,123.014999,,,,123.014999,,
03/31/1992,,-10.639,,,,0.557,,,,,,
06/30/1992,,6.96,,,,34.214001,,,,,,
09/30/1992,,-10.241,,,,74.317001,,,,,,
12/31/1992,,6.857,,,,64.817001,,,,64.817001,,
03/31/1993,,7.883,,,,-57.541,,,,,,
06/30/1993,,8.207,,,,4.629,,,,,,
09/30/1993,,9.25,,,,1.518,,,,,,
12/31/1993,,10.427,,,,-12.883,,,,-12.883,,
03/31/1994,,9.652,,,,-4.951,,,,,,
06/30/1994,,-40.466,,,,-125.246002,,,,,,
09/30/1994,,-3.201,,,,-43.527,,,,,,
12/31/1994,,-315.619995,,,,195.968002,,,,195.968002,,
03/31/1995,,-51.319,7.037,10.959,-54.985001,-88.307999,,-1.14,,,,
06/30/1995,,-12.388,8.824,35.221001,-60.729,-29.072001,,,,,,
09/30/1995,,-104.624001,1.418,-8.26,115.470001,4.004,,,,,,
12/31/1995,,-93.607002,5.9,191.727997,-15.604,88.417,,,,,,
03/31/1996,,0.296,4.491,2.508,20.134001,27.429001,,-3.077,,,,
