Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1992,39.203999,12.747,9.122,3.625,14.197,,,1.924,,,,,3.034,,,,,,31.902,6.745,10.58,-3.835,0.0,,0.557,,,,0.557,7.302,,8.354,8.354,,,,0.353,,,,,,8.342,,,8.342,17.049,0.816,,,,,0.0,,,,,,0.0,0.816,17.865,13.196,1.615,,,0.0,,6.528,21.339,0.0,21.339,39.204,
03/31/1993,60.633999,36.734999,29.396999,7.338,9.902,,,1.611,,,,,4.969,,,,,,53.216999,6.846,,,0.0,,0.571,,,,0.571,7.417,,7.309,7.309,,,,0.338,,,,,,7.473,,,7.473,15.12,0.753,,,,,0.0,,,,,,0.0,0.753,15.873,0.0,36.337002,,,0.0,,8.424,44.761002,0.0,44.761002,60.634001,
06/30/1993,57.715,39.76,17.868,21.892,4.273,,,1.507,,,,,4.78,,,,,,50.32,6.909,,,0.0,,0.486,,,,0.486,7.395,,5.658,5.658,,,,0.0,,,,,,6.117,,,6.117,11.775,0.0,,,,,0.0,,,,,,0.0,0.0,11.775,0.0,36.952999,,,0.0,,8.987,45.94,0.0,45.94,57.714999,
09/30/1993,73.787003,39.54,7.857,31.683001,15.45,,,2.936,,,,,8.091,,,,,,66.016998,7.422,12.892,-5.47,0.0,,0.348,,,,0.348,7.77,,11.954,11.954,,,,0.0,,,,,,12.588999,,,12.588999,24.542999,0.0,,,,,0.0,,,,,,0.0,0.0,24.542999,0.0,37.341999,,,0.0,,11.902,49.243999,0.0,49.243999,73.786999,
10/31/1993,273.94101,99.434999,29.767,69.667999,9.295,,,4.074,,,,,20.731001,,,,,,133.535004,18.871,,,0.0,,121.535004,,,,121.535004,140.406004,,17.885,17.885,,,,0.0,,,,,,62.986002,,,62.986002,80.871002,0.0,,,,,11.835,,,,,,11.835,11.835,92.706002,0.0,336.527008,,,0.0,,-155.292007,181.235001,0.0,181.235001,273.941003,
01/31/1994,278.345001,117.432003,37.130001,80.302002,10.889,,,3.029,,,,,22.07,,,,,,153.419998,21.221001,,,0.0,,103.704002,,,,103.704002,124.925003,,16.552,16.552,,,,0.0,,,,,,57.183001,,,57.183001,73.735001,0.0,,,,,10.068,,,,,,10.068,10.068,83.803,0.0,342.839996,,,0.0,,-148.298004,194.541992,0.0,194.541992,278.344993,
04/30/1994,243.335999,87.545002,19.021999,68.523003,11.251,,,2.747,,,,,23.205999,,,,,,124.749001,22.610001,,,0.0,,95.976997,,,,95.976997,118.586998,,11.897,11.897,,,,0.0,,,,,,37.549998,,,37.549998,49.446999,0.0,,,,,7.524,,,,,,7.524,7.524,56.970999,0.0,343.247009,,,0.0,,-156.882004,186.365005,0.0,186.365005,243.336004,
07/31/1994,244.582001,83.886002,19.708,64.178001,10.14,,,2.32,,,,,23.596001,,,,,,119.942001,24.195999,36.738998,-12.543,0.0,,100.444,,,,100.444,124.639999,,12.872,12.872,,,,0.0,,,,,,37.944002,,,37.944002,50.816002,0.0,,,,,7.943,,,,,,7.943,7.943,58.759002,0.0,350.181,,,0.0,,-164.358002,185.822998,0.0,185.822998,244.582,
10/31/1994,267.230988,34.076,11.732,22.344,53.717999,,,7.44,,,,,29.792,,,,,,125.026001,30.9,,,0.0,,111.305,,,,111.305,142.205,,21.211,21.211,,,,0.0,,,,,,64.786001,,,64.786001,85.997002,0.0,,,,,12.386,,,,,,12.386,12.386,98.383001,0.0,386.789001,,,0.0,,-217.940994,168.848007,0.0,168.848007,267.231009,
01/31/1995,341.032013,87.766998,44.439999,43.327,82.775002,,,8.774,,,,,20.907,,,,,,200.223007,43.118999,,,0.0,,97.690002,,,,97.690002,140.809002,,33.944,33.944,,,,0.0,,,,,,107.565994,,,107.565994,141.509995,4.408,,,,,7.808,,,,,,7.808,12.216,153.725995,0.0,390.920013,,,0.0,,-203.613998,187.306015,0.0,187.306015,341.03201,
