Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/30/1994,59.063999,21.205,21.205,0.0,5.323,,,0.0,,,,,2.921,,,,,,29.448999,3.31,,,0.0,,26.305,,,,26.305,29.615,,3.923,3.923,,,,0.606,,,,,,1.119,,,,1.119,5.648,2.916,,,,,3.093,,,,,3.093,6.009,11.657,0.0,46.886002,,,0.0,,0.521,47.407002,0.0,47.407002,59.064001,
07/31/1994,62.569,17.871,17.871,0.0,7.14,,,0.0,,,,,3.417,,,,,,28.427999,4.809,7.568,-2.759,0.0,,29.332001,,,,29.332001,34.141001,,0.496,0.496,,,,0.706,,,,,,5.336,,,,5.336,6.538,3.313,,,,,3.43,,,,,3.43,6.743,13.281,0.0,47.597,,,0.0,,1.691,49.288,0.0,49.288,62.569,
10/31/1994,66.942001,14.877,14.877,0.0,8.895,,,0.0,,,,,3.7,,,,,,27.472,5.72,,,0.0,,33.75,,,,33.75,39.47,,4.445,4.445,,,,0.731,,,,,,2.732,,,,2.732,7.908,3.342,,,,,3.42,,,,,3.42,6.762,14.67,0.0,49.319,,,0.0,,2.953,52.272,0.0,52.272,66.942,
01/31/1995,70.971001,13.135,13.135,0.0,11.682,,,0.0,,,,,4.465,,,,,,29.282,5.904,,,0.0,,35.785,,,,35.785,41.689,,4.234,4.234,,,,0.713,,,,,,4.188,,,,4.188,9.135,3.17,,,,,3.417,,,,,3.417,6.587,15.722,0.0,50.707001,,,0.0,,4.542,55.249001,0.0,55.249001,70.971001,
04/30/1995,76.204002,12.859,12.859,0.0,12.099,,,0.0,,,,,4.932,,,,,,29.889999,6.712,,,0.0,,39.602001,,,,39.602001,46.314001,,5.867,5.867,,,,0.586,,,,,,4.158,,,,4.158,10.611,2.905,,,,,3.417,,,,,3.417,6.322,16.933,0.0,52.828999,,,0.0,,6.442,59.270998,0.0,59.270998,76.203999,
07/31/1995,135.158005,13.779,13.779,0.0,23.900999,,,3.252,,,,,7.062,,,,,,47.993999,13.082,17.531,-4.449,0.0,,74.082001,,,,74.082001,87.164001,,9.55,9.55,,,,0.583,,,,,,5.106,,,,5.106,15.239,3.151,,,,,3.652,,,,,3.652,6.803,22.042,0.0,104.528999,,,0.0,,8.587,113.115999,0.0,113.115999,135.158,
10/31/1995,139.498993,15.108,15.108,0.0,26.402,,,1.084,,,,,7.866,,,,,,50.459999,13.555,,,0.0,,75.484001,,,,75.484001,89.039001,,8.98,8.98,,,,0.589,,,,,,6.986001,,,,6.986001,16.555,3.028,,,,,4.069,,,,,4.069,7.097,23.652,0.0,104.642998,,,0.0,,11.204,115.846998,0.0,115.846998,139.498998,
01/31/1996,144.412003,11.986,11.986,0.0,30.624001,,,1.458,,,,,10.409,,,,,,54.477001,14.202,,,0.0,,75.733002,,,,75.733002,89.935001,,10.882,10.882,,,,0.576,,,,,,5.765,,,,5.765,17.223,2.885,,,,,4.304,,,,,4.304,7.189,24.411999,0.0,105.775002,,,0.0,,14.225,120.000002,0.0,120.000002,144.412001,
04/30/1996,149.121002,17.690001,17.690001,0.0,28.91,,,1.628,,,,,10.662,,,,,,58.889999,14.726,,,0.0,,75.504997,,,,75.504997,90.230997,,12.474,12.474,,,,0.577,,,,,,5.709,,,,5.709,18.76,2.739,,,,,4.501,,,,,4.501,7.24,26.0,0.0,106.107002,,,0.0,,17.014,123.121002,0.0,123.121002,149.121002,
07/31/1996,158.065002,13.026,13.026,0.0,29.992001,,,1.456,,,,,12.825,,,,,,57.299,26.204,33.431999,-7.228,0.0,,74.561996,,,,74.561996,100.765997,,10.37,10.37,,,,0.773,,,,,,5.569999,,,,5.569999,16.712999,10.487,,,,,4.621,,,,,4.621,15.108,31.821,0.0,106.473,,,0.0,,19.771,126.243999,0.0,126.243999,158.064999,
10/31/1996,162.188004,15.393,15.393,0.0,30.778,,,1.39,,,,,13.251,,,,,,60.812,26.962999,,,0.0,,74.413002,,,,74.413002,101.376001,,11.142,11.142,,,,2.297,,,,,,6.464999,,,,6.464999,19.903999,8.781,,,,,4.771,,,,,4.771,13.552,33.455999,0.0,106.622002,,,0.0,,22.110001,128.732002,0.0,128.732002,162.188002,
01/31/1997,168.3098,12.3395,12.3395,0.0,37.7385,37.7385,,1.5963,,,,,14.3971,,,,,,66.0714,27.2228,,,0.0,,75.0156,75.0156,,,0.0,102.2384,,11.4601,11.4601,,,,2.2255,,,,,,6.4494,,,,6.4494,20.135,8.6635,,,,,4.9085,,,,,4.9085,13.572,33.707,0.0,109.4832,,,0.0,25.1196,0.0,134.6028,0.0,134.6028,168.3098,
