Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1994,629.828979,5.112,5.112,0.0,121.536003,,,77.299004,,,,,55.053001,,,,,,,259.0,328.489014,564.950989,-236.462006,0.0,,42.34,,,,,,42.34,370.829014,,72.063004,72.063004,,,,70.375,,,,,71.964996,,,,71.964996,214.403,140.229996,,,,71.442001,,,71.442001,211.671997,426.074997,0.0,159.098999,,,0.0,,44.654999,203.753998,0.0,203.753998,629.828995,
03/31/1995,666.018982,6.696,6.696,0.0,123.251999,,,79.929001,,,,,47.547001,,,,,,,257.424011,338.735992,,,0.0,,69.859001,,,,,,69.859001,408.594994,,59.140999,59.140999,,,,87.579002,,,,,82.600998,,,,82.600998,229.320999,143.371994,,,,74.338997,,,74.338997,217.710991,447.03199,0.0,159.098999,,,0.0,,59.888,218.987,0.0,218.987,666.01899,
06/30/1995,809.218994,24.971001,24.971001,0.0,143.352005,,,86.686996,,,,,27.539,,,,,,,282.549011,392.613007,664.041016,-271.428009,0.0,,134.057007,,,,,,134.057007,526.670013,,60.251999,60.251999,,,,62.213001,,,,,85.592999,,,,85.592999,208.057999,330.712006,,,,78.792999,,,78.792999,409.505005,617.563004,0.0,120.563004,,,0.0,,21.754,142.317003,49.339001,191.656004,809.219007,
09/30/1995,1049.546021,54.353001,54.353001,0.0,154.789001,,,93.283997,,,,,170.481995,,,,,,,472.90799,436.381012,715.854004,-279.472992,0.0,,140.257004,,,,,,140.257004,576.638016,,67.570999,67.570999,,,,43.179001,,,,,113.138,,,,113.138,223.888,86.775002,,,,83.477997,,,83.477997,170.252998,394.140999,0.0,570.526001,,,0.0,,33.798,604.324001,51.081001,655.405003,1049.546001,
12/31/1995,1101.863037,132.192001,77.192001,55.0,165.994003,,,89.573997,,,,,41.412998,,,,,,,429.173004,528.374023,823.60199,-295.227997,0.0,,144.315994,,,,,,144.315994,672.690017,,141.459,141.459,,,,15.407,,,,,73.048993,,,,73.048993,229.914993,89.697998,,,,86.945,,,86.945,176.642998,406.557991,0.0,570.372986,,,0.0,,72.017998,642.390984,52.914001,695.304985,1101.862976,
03/31/1996,1207.849976,90.685997,90.685997,0.0,187.587006,,,94.490997,,,,,95.306999,,,,,,,468.071014,579.968018,893.728027,-313.76001,83.124001,,76.686996,,,,,,76.686996,739.779015,,127.995003,127.995003,,,,11.883,,,,,92.420001,,,,92.420001,232.298004,127.088997,,,,112.344002,,,112.344002,239.432999,471.731003,0.0,571.55603,,,-0.664,,110.259001,681.151031,54.967999,736.11903,1207.850033,
06/30/1996,1279.667969,30.917,30.917,0.0,193.944,,,100.833,,,,,80.450996,,,,,,,406.144989,701.786987,1035.458008,-333.67099,0.0,,171.735992,,,,,,171.735992,873.52298,,137.725006,137.725006,,,,15.705,,,,,74.303988,,,,74.303988,227.733994,135.298996,,,,128.432007,,,128.432007,263.731003,491.464996,0.0,573.333008,,,-1.328,,158.130994,730.136002,58.067001,788.203003,1279.667999,
09/30/1996,1426.654053,31.205,31.205,0.0,176.951004,,,98.594002,,,,,40.486,,,,,,,347.235992,872.659973,1227.708008,-355.048004,0.0,,206.757996,,,,,,206.757996,1079.417969,,154.960999,154.960999,,,,23.188,,,,,102.943989,,,,102.943989,281.092987,175.533005,,,,157.421997,,,157.421997,332.955002,614.047989,0.0,574.844971,,,-1.328,,180.079999,753.59697,59.008999,812.605968,1426.653957,
12/31/1996,1512.857,35.096,35.096,0.0,129.325,129.325,,100.505,,,,,53.211,,,,,,,318.137,1015.145,1387.825,-372.68,101.103,,78.472,,,,,,78.472,1194.72,,156.841,156.841,,,,47.13,,,,,71.361,,,,71.361,275.332,284.701,,,,147.329,,,147.329,432.03,707.362,0.0,573.766,,,-1.328,171.143,-1.613,741.968,63.527,805.495,1512.857,
03/31/1997,1554.188965,23.127001,23.127001,0.0,149.798996,,,108.179001,,,,,36.985001,,,,,,,318.089996,1067.323975,1447.807983,-380.484009,0.0,,168.774994,,,,,,168.774994,1236.098969,,125.255997,125.255997,,,,43.109001,,,,,70.890007,,,,70.890007,239.255005,367.860992,,,,159.203995,,,159.203995,527.064987,766.319992,0.0,573.794983,,,-1.328,,152.005994,724.472977,63.396,787.868977,1554.188969,
