Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
07/25/1992,81.971001,,-53.695999,,28.275002,,-23.294001,,,4.981,-0.181,,0.451,,0.0,-0.27,4.8,-1.705,3.095,0.0,,,3.095,0.0,3.095,-0.223,,2.872,2.872,,110.79,0.025556,0.025556,0.025556,110.79,0.025556,0.025556,0.025556,
10/24/1992,89.0,,-56.514999,,32.485001,,-24.659,,,7.826,-0.222,,0.507,,0.0,-0.285,7.604,-1.83,5.774,0.453,,,5.321,0.0,5.321,-0.223,,5.098,5.098,,110.106002,0.024444,0.028889,,110.106002,0.024444,0.028889,0.028889,
01/23/1993,85.055,,-55.834,,29.221001,,-24.662001,,,4.559,0.258,,0.064,,0.0,-0.322,4.817,-1.665,3.152,0.0,,,3.152,0.0,3.152,-0.223,,2.929,2.929,,126.792003,0.023333,0.023333,,126.792003,0.023333,0.023333,0.023333,
04/24/1993,89.246002,,-57.456001,,31.790001,,-26.417,,,5.373,0.279,,0.037,,0.0,-0.316,5.652,-2.019,3.633,0.0,,,3.633,0.0,3.633,-0.224,,3.409,3.409,,126.792003,0.026667,0.026667,,126.792003,0.026667,0.026667,0.026667,
07/31/1993,101.762001,,-66.174004,,35.587997,,-28.907,,,6.681,0.33,,0.006,,0.0,-0.336,7.011,-2.585,4.426,0.0,,,4.426,0.0,4.426,-0.152,,4.274,4.274,,128.861999,0.033333,0.033333,,128.861999,0.033333,0.033333,0.033333,
10/30/1993,113.857002,,-73.994003,,39.862999,,-31.84,,,8.023,0.191,,0.102,,0.0,-0.293,8.214,-3.232,4.982,0.0,,,4.982,0.0,4.982,-0.148,,4.834,4.834,,128.907,0.037778,0.037778,,128.907,0.037778,0.037778,0.037778,
01/20/1994,124.891998,,-81.463997,,43.428001,,-35.657001,,,7.771,0.053,,0.22,,0.0,-0.273,7.824,-3.209,4.615,0.0,,,4.615,0.0,4.615,0.0,,4.615,4.615,,128.916003,0.034444,0.034444,,128.916003,0.034444,0.034444,0.034444,
04/30/1994,126.371002,,-79.607002,,46.764,,-37.912998,,,8.851,0.069,,0.205,,0.026,-0.3,8.92,-3.657,5.263,0.0,,,5.263,0.0,5.263,0.0,,5.263,5.263,,128.93391,0.04,0.04,0.04,128.93391,0.04,0.04,0.04,
07/30/1994,123.625999,,-80.196999,,43.429001,,-35.178001,,,8.251,0.184,,0.138,,0.0,-0.322,8.435,-3.22,5.215,0.0,,,5.215,0.0,5.215,0.0,,5.215,5.215,,128.916,0.04,0.04,,128.916,0.04,0.04,0.04,
10/29/1994,131.925995,,-85.602997,,46.322998,,-37.041,,,9.282,0.24,,0.131,,-0.026,-0.345,9.522,-3.575,5.947,0.0,,,5.947,0.0,5.947,0.0,,5.947,5.947,,128.879997,0.045,0.045,,128.879997,0.045,0.045,0.045,
