Date,Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/1991,4746.0,,-3391.0,,1355.0,,-1112.0,,,,,243.0,0.0,,,,0.0,,0.0,243.0,-73.0,,,,170.0,0.0,,,170.0,0.0,170.0,0.0,0.0,170.0,170.0,,639.0,0.264,0.264,0.264,6390.0,0.293333,0.322667,0.029333,
09/30/1991,4517.0,,-3244.0,,1273.0,,-1127.0,,,,,146.0,0.0,,,,0.0,,0.0,146.0,-23.0,,,,123.0,0.0,,,123.0,0.0,123.0,0.0,0.0,123.0,123.0,,648.0,0.191,0.191,0.191,648.0,0.191,0.191,0.021222,
03/31/1992,4648.0,,-3351.0,,1297.0,,-1163.0,,,,,134.0,0.0,,,,0.0,,0.0,134.0,-27.0,,,,107.0,26.0,,,81.0,0.0,81.0,0.0,0.0,81.0,81.0,,648.0,0.126,0.166,0.146,648.0,0.126,0.166,0.146,
06/30/1992,4652.0,,-3298.0,,1354.0,,-1193.0,,,,,161.0,0.0,,,,0.0,,0.0,161.0,-36.0,,,,125.0,0.0,,,125.0,0.0,125.0,0.0,0.0,125.0,125.0,,648.0,0.193,0.193,0.120778,648.0,0.193,0.193,0.120778,
09/30/1992,4491.0,,-3712.0,,779.0,,-920.0,,,,,-141.0,0.0,,,,0.0,,0.0,-141.0,196.0,,,,55.0,0.0,,,55.0,0.0,55.0,0.0,0.0,55.0,55.0,,648.0,0.086,0.086,0.005,648.0,0.086,0.086,0.005,
12/31/1992,4791.0,,-3496.0,,1295.0,,-1270.0,,,,,25.0,0.0,,,,0.0,,0.0,25.0,25.0,,,,50.0,0.0,,,50.0,0.0,50.0,0.0,0.0,50.0,50.0,16.088,648.0,0.077111,0.077111,0.101889,648.0,0.077111,0.077111,0.101889,
03/31/1993,4374.0,,-3228.0,,1146.0,,-1106.0,,,,,40.0,0.0,,,,0.0,,0.0,40.0,6.0,,,,46.0,0.0,,,46.0,0.0,46.0,0.0,0.0,46.0,46.0,,646.992,0.071111,0.071111,0.04,646.992,0.071111,0.071111,0.04,
06/30/1993,4563.0,,-3315.0,,1248.0,,-1126.0,,,,,122.0,0.0,,,,0.0,,0.0,122.0,-34.0,,,,88.0,0.0,,,88.0,0.0,88.0,0.0,0.0,88.0,88.0,,648.0,0.136,0.136,0.124,648.0,0.136,0.136,0.124,
09/30/1993,4525.0,,-3487.0,,1038.0,,-1299.0,,,,,-261.0,0.0,,,,0.0,,0.0,-261.0,167.0,,,,-94.0,0.0,,,-94.0,0.0,-94.0,0.0,0.0,-94.0,-94.0,,648.0,-0.146,-0.146,-0.256333,648.0,-0.146,-0.146,-0.256333,
12/31/1993,4940.0,,-3389.0,,1551.0,,-1287.0,,,,,264.0,0.0,,,,0.0,,0.0,264.0,-70.0,,,,194.0,0.0,,,194.0,0.0,194.0,0.0,0.0,194.0,194.0,-83.85,648.0,0.299333,0.299333,0.169889,648.0,0.299333,0.299333,0.169889,
03/31/1994,4531.0,,-3279.0,,1252.0,,-1082.0,,,,,170.0,0.0,,,,0.0,,0.0,170.0,-56.0,,,,114.0,0.0,,,114.0,0.0,114.0,0.0,0.0,114.0,114.0,,648.0,0.176,0.176,0.153778,675.0,0.171,0.171,0.150778,
06/30/1994,4538.0,,-3156.0,,1382.0,,-1178.0,,,,,204.0,0.0,,,,0.0,,0.0,204.0,-69.0,,,,135.0,0.0,,,135.0,0.0,135.0,0.0,0.0,135.0,135.0,,650.574117,0.206667,0.206667,0.183333,684.813744,0.203333,0.203333,0.181111,
09/30/1994,4600.0,,-3250.0,,1350.0,,-1172.0,,,,,178.0,0.0,,,,0.0,,0.0,178.0,-55.0,,,,123.0,0.0,,,123.0,0.0,123.0,0.0,0.0,123.0,123.0,,648.0,0.189,0.189,0.183444,684.0,0.184,0.184,0.178444,
12/31/1994,4723.0,,-3241.0,,1482.0,,-1229.0,,,,,253.0,0.0,,,,0.0,,0.0,253.0,-71.0,,,,182.0,0.0,,,182.0,0.0,182.0,0.0,0.0,182.0,182.0,5.2,660.0,0.275667,0.275667,0.283556,660.0,0.275667,0.275667,0.283556,
03/31/1995,4754.0,,-3197.0,,1557.0,,-1155.0,,,,,402.0,0.0,,0.0,,0.0,,0.0,402.0,-112.0,,,,290.0,0.0,,,290.0,0.0,290.0,0.0,0.0,290.0,290.0,,648.0,0.444,0.444,0.241778,684.0,0.428,0.428,0.235778,
06/30/1995,4753.0,,-3224.0,,1529.0,,-1225.0,,,,,304.0,0.0,,,,0.0,,,304.0,-99.0,,,,205.0,0.0,,,205.0,0.0,205.0,0.0,0.0,205.0,205.0,,653.539833,0.313333,0.313333,0.313333,686.929869,0.304444,0.304444,0.304444,
09/30/1995,4642.0,,-4266.0,,376.0,,-1259.0,,,,,-883.0,0.0,31.0,31.0,,0.0,,-31.0,-883.0,317.0,,,,-566.0,0.0,,,-566.0,0.0,-566.0,0.0,0.0,-566.0,-566.0,,656.173053,-0.862222,-0.862222,0.317778,656.173053,-0.862222,-0.862222,0.317778,
12/31/1995,4806.0,,-3168.0,,1638.0,,-1210.0,,,,,428.0,0.0,26.0,26.0,,0.0,,-26.0,428.0,-146.0,,,,282.0,0.0,,,282.0,0.0,282.0,0.0,0.0,282.0,282.0,,687.804876,0.41,0.41,0.41,687.804876,0.41,0.41,0.41,
03/31/1996,4645.0,,-3144.0,,1501.0,,-1143.0,,,,,358.0,0.0,28.0,28.0,,0.0,,-28.0,358.0,-120.0,,,,238.0,0.0,,,238.0,0.0,238.0,0.0,0.0,238.0,238.0,,691.974486,0.344444,0.344444,0.344444,691.974486,0.344444,0.344444,0.344444,
06/30/1996,4731.0,,-3129.0,,1602.0,,-1257.0,,,,,345.0,0.0,55.0,55.0,,0.0,,-55.0,345.0,-114.0,,,,231.0,0.0,,,231.0,0.0,231.0,0.0,0.0,231.0,231.0,,691.389,0.333333,0.333333,0.333333,691.956,0.333333,0.333333,0.333333,
09/30/1996,4685.0,,-3064.0,,1621.0,,-1187.0,,,,,434.0,0.0,80.0,80.0,,0.0,,-80.0,434.0,-153.0,,,,281.0,0.0,,,281.0,0.0,281.0,0.0,0.0,281.0,281.0,,684.495423,0.41,0.41,0.41,684.771516,0.41,0.41,0.41,
12/31/1996,4889.0,,-3136.0,,1753.0,,-1289.0,,,,,464.0,0.0,,,,0.0,,0.0,464.0,-158.0,,,,306.0,0.0,,,306.0,0.0,306.0,0.0,0.0,306.0,306.0,,675.341091,0.452222,0.452222,0.452222,675.341091,0.452222,0.452222,0.452222,
03/31/1997,4645.0,,-3009.0,,1636.0,,-1199.0,,,,,437.0,0.0,23.0,23.0,,0.0,,-23.0,437.0,-149.0,,,,288.0,0.0,,,288.0,0.0,288.0,0.0,0.0,288.0,288.0,,661.374,0.436667,0.436667,0.436667,661.374,0.433333,0.433333,0.433333,
06/30/1997,4719.0,,-3065.0,,1654.0,,-1243.0,,,,,411.0,0.0,29.0,29.0,,0.0,,-29.0,411.0,-132.0,,,,279.0,0.0,,,279.0,0.0,279.0,0.0,0.0,279.0,279.0,,662.79,0.42,0.42,0.42,662.79,0.416667,0.416667,0.416667,
09/30/1997,5182.0,,-3359.0,,1823.0,,-1396.0,,,,,427.0,0.0,96.0,96.0,,0.0,,-96.0,427.0,-148.0,,,,279.0,0.0,,,279.0,0.0,279.0,0.0,0.0,279.0,279.0,,675.373185,0.413333,0.413333,0.413333,675.373185,0.413333,0.413333,0.413333,
