Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Insurance Reserves,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,94.748001,56.292,10.63,40.569,-12.743,,,,,,,,,,,,,,,,,,
06/30/1990,97.709999,76.008003,10.984,59.888,-49.169998,,,,,,,,,,,,,,,,,,
09/30/1990,144.513,53.381001,10.912,100.771004,-20.551001,,,,,,,,,,,,,,,,,,
12/31/1990,145.436005,92.727997,11.279,81.662003,-40.233002,,,,,,,,,,,,,,,,145.436005,,
03/31/1991,67.971001,55.307999,11.218,23.256001,-21.811001,,,,,,,,,,,,,,,,,,
06/30/1991,69.814003,51.195999,12.397,31.287001,-25.066,,,,,,,,,,,,,,,,,,
09/30/1991,153.884995,68.309998,11.387,73.577003,0.611,,,,,,,,,,,,,,,,,,
12/31/1991,101.242996,84.764,13.841,24.632999,-21.995001,,,,,,,,,,,,,,,,101.242996,,
03/31/1992,148.533005,85.028999,12.776,62.0,-11.272,,,,,,,,,,,,,,,,,,
06/30/1992,141.166,42.146,11.355,158.317993,-70.653,,,,,,,,,,,,,,,,,,
09/30/1992,208.451996,80.149002,8.237,119.568001,0.498,,,,,,,,,,,,,,,,,,
12/31/1992,166.425995,103.970001,8.441,86.200996,-32.186001,,,,,,,,,,,,,,,,,,
03/31/1993,122.517998,75.380997,8.486,47.974998,-9.324,,,,,,,,,,,,,,,,,,
06/30/1993,150.494003,129.350998,9.127,33.117001,-21.101,,,,,,,,,,,,,,,,,,
09/30/1993,189.341003,93.790001,8.808,155.423004,-68.68,,,,,,,,,,,,,,,,,,
12/31/1993,171.259995,130.255997,10.175,62.752998,-31.924,,,,,,,,,,,,,,,,,,
03/31/1994,84.333,56.026001,9.399,33.757999,-14.85,,,,,,,,,,,,,,,,,,
06/30/1994,187.539993,90.049004,9.579,111.098,-23.186001,,,,,,,,,,,,,,,,,,
09/30/1994,242.753006,72.512001,10.015,151.186996,9.039,,,,,,,,,,,,,,,,,,
12/31/1994,238.395004,95.787003,10.48,179.427002,-47.299,,,,,,,,,,,,,,,,238.395004,,
03/31/1995,141.225006,65.209999,11.332,51.931999,12.751,,,,,,,,,,,,,,,,,,
06/30/1995,212.233994,102.698997,10.269,114.178001,-14.912,,,,,,,,,,,,,,,,,,
09/30/1995,202.220993,114.857002,16.171,81.749001,-10.556,,,,,,,,,,,,,,,,,,
12/31/1995,146.455994,116.193001,13.934,49.436001,-33.106998,,,,,,,,,,,,,,,,146.455994,,
