Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1989,51.908001,15.250999,5.212,10.039,12.423,,,16.84,,,,,1.012,,,,,,,45.526001,5.657,,,0.0,,0.725,,,,,0.725,6.382,,4.689,4.689,,,,0.411,,,,,4.24,,,,4.24,9.34,1.846,,,,0.501,,,,,0.501,2.347,11.687,0.0,28.445,,,0.0,,11.776,40.221,0.0,40.221,51.908,
09/29/1989,55.596001,17.663,7.73,9.933,13.309,,,16.782,,,,,1.227,,,,,,,48.980999,5.85,,,0.0,,0.765,,,,,0.765,6.615,,3.454,3.454,,,,0.423,,,,,5.599,,,,5.599,9.476,1.736,,,,0.501,,,,,0.501,2.237,11.713,0.0,29.075001,,,0.0,,14.808,43.883,0.0,43.883,55.596,
12/29/1989,61.640999,25.650999,9.504,16.146999,13.161,,,14.871,,,,,1.233,,,,,,,54.916,6.1,,,0.0,,0.625,,,,,0.625,6.725,,5.046,5.046,,,,0.436,,,,,5.911,,,,5.911,11.393,1.622,,,,0.501,,,,,0.501,2.123,13.516,0.0,29.436001,,,0.0,,18.688999,48.125,0.0,48.125,61.641,
03/31/1990,97.808998,51.507997,33.134998,18.372999,17.316,,,16.417,,,,,4.422,,,,,,,89.663002,7.473,13.203,-5.73,0.0,,0.673,,,,,0.673,8.146,,6.611,6.611,,,,0.45,,,,,7.188,,,,7.188,14.249,1.504,,,,0.325,,,,,0.325,1.829,16.078,0.0,58.787998,,,0.0,,22.943001,81.730999,0.0,81.730999,97.808999,
06/29/1990,103.369003,51.956001,6.208,45.748001,20.396,,,16.412001,,,,,4.149,,,,,,,92.913002,9.492,,,0.0,,0.964,,,,,0.964,10.456,,7.342,7.342,,,,0.464,,,,,7.419,,,,7.419,15.225,1.383,,,,0.325,,,,,0.325,1.708,16.933,0.0,59.001999,,,0.0,,27.434,86.435999,0.0,86.435999,103.368999,
09/28/1990,108.878998,52.438001,7.224,45.214001,24.656,,,15.783,,,,,4.407,,,,,,,97.283997,10.174,,,0.0,,1.421,,,,,1.421,11.595,,8.276,8.276,,,,0.478,,,,,7.091,,,,7.091,15.845,1.258,,,,0.325,,,,,0.325,1.583,17.428,0.0,59.551998,,,0.0,,31.899,91.450998,0.0,91.450998,108.878999,
12/28/1990,106.942001,55.955,10.232,45.723,17.903,,,15.974,,,,,4.422,,,,,,,94.253998,11.188,,,0.0,,1.5,,,,,1.5,12.688,,6.242,6.242,,,,0.493,,,,,7.282,,,,7.282,14.017,1.129,,,,0.325,,,,,0.325,1.454,15.471,0.0,58.054001,,,0.0,,33.417,91.471001,0.0,91.471001,106.942001,
03/31/1991,109.141998,59.802997,16.021999,43.780998,16.754,,,13.585,,,,,6.122,,,,,,,96.264,11.29,19.642,-8.352,0.0,,1.588,,,,,1.588,12.878,,5.011,5.011,,,,0.508,,,,,4.671,,,,4.671,10.19,0.996,,,,3.398,,,,,3.398,4.394,14.584,0.0,59.358002,,,0.0,,35.200001,94.558003,0.0,94.558003,109.142003,
06/28/1991,111.327003,61.573999,4.399,57.174999,16.113001,,,14.946,,,,,5.976,,,,,,,98.609001,11.097,,,0.0,,1.621,,,,,1.621,12.718,,5.348,5.348,,,,0.523,,,,,5.295,,,,5.295,11.166,0.859,,,,3.398,,,,,3.398,4.257,15.423,0.0,58.424999,,,0.0,,37.479,95.903999,0.0,95.903999,111.327,
09/27/1991,119.202003,61.735001,5.487,56.248001,22.375,,,15.512,,,,,6.513,,,,,,,106.135002,11.194,,,0.0,,1.873,,,,,1.873,13.067,,9.952,9.952,,,,0.54,,,,,5.44,,,,5.44,15.932,0.718,,,,3.398,,,,,3.398,4.116,20.048,0.0,59.071999,,,0.0,,40.082001,99.153999,0.0,99.153999,119.201999,
