Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1995,227.373,177.888,0.671,177.217,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.263,,,,,180.151,4.463,11.297,-6.834,,,42.759,,,,,42.759,47.222,,0.0,0.0,,,,0.0,,,,,,156.283,,,156.283,156.283,0.0,,,,,5.807,,,,5.807,5.807,162.09,0.0,47.668,,,-0.066,16.968,0.713,65.283,0.0,65.283,227.373,
12/31/1995,226.896,180.599,0.336,180.263,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.712,,,,,183.311,3.708,10.34,-6.632,,,39.877,,,,,39.877,43.585,,0.0,0.0,,,,0.0,,,,,,152.34,,,152.34,152.34,0.0,,,,,4.735,,,,4.735,4.735,157.075,0.0,47.668,,,-0.066,17.024,5.195,69.821,0.0,69.821,226.896,
03/31/1996,210.389,168.864,0.294,168.57,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.14,,,,,171.004,3.85,10.721,-6.871,,,35.535,,,,,35.535,39.385,,0.0,0.0,,,,0.0,,,,,,139.527,,,139.527,139.527,0.0,,,,,5.04,,,,5.04,5.04,144.567,0.0,47.668,,,-0.066,17.581,0.639,65.822,0.0,65.822,210.389,
06/30/1996,203.89,160.193,1.183,159.01,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.719,,,,,162.912,3.774,10.88,-7.106,,,37.204,,,,,37.204,40.978,,0.0,0.0,,,,0.0,,,,,,133.657,,,133.657,133.657,0.0,,,,,7.827,,,,7.827,7.827,141.484,0.0,47.668,,,-0.066,15.921,-1.117,62.406,0.0,62.406,203.89,
09/30/1996,196.974,151.354,0.9,150.454,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.987,,,,,153.341,3.149,10.154,-7.005,,,40.484,,,,,40.484,43.633,,0.0,0.0,,,,0.0,,,,,,129.695,,,129.695,129.695,0.0,,,,,6.564,,,,6.564,6.564,136.259,0.0,47.668,,,-0.066,14.083,-0.97,60.715,0.0,60.715,196.974,
12/31/1996,196.419,152.71,1.155,151.555,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.397,,,,,155.107,2.968,10.07,-7.102,,,38.344,,,,,38.344,41.312,,0.0,0.0,,,,0.0,,,,,,131.117,,,131.117,131.117,0.0,,,,,6.449,,,,6.449,6.449,137.566,0.0,47.668,,,-0.066,8.905,2.346,58.853,0.0,58.853,196.419,
03/31/1997,192.32,147.299,1.967,145.332,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.851,,,,,149.15,2.821,10.067,-7.246,,,40.349,,,,,40.349,43.17,,0.0,0.0,,,,0.0,,,,,,128.957,,,128.957,128.957,0.0,,,,,6.418,,,,6.418,6.418,135.375,0.0,47.709,,,-0.066,11.342,-2.04,56.945,0.0,56.945,192.32,
06/30/1997,191.076,144.631,1.964,142.667,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.184,,,,,146.815,2.753,10.177,-7.424,,,41.508,,,,,41.508,44.261,,0.0,0.0,,,,0.0,,,,,,124.9,,,124.9,124.9,0.0,,,,,6.249,,,,6.249,6.249,131.149,0.0,48.339,,,-0.066,11.865,-0.211,59.927,0.0,59.927,191.076,
09/30/1997,188.772,144.248,1.576,142.672,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.766,,,,,146.014,2.664,10.169,-7.505,,,40.094,,,,,40.094,42.758,,0.0,0.0,,,,0.0,,,,,,119.852,,,119.852,119.852,0.0,,,,,6.67,,,,6.67,6.67,126.522,0.0,48.339,,,-0.066,12.426,1.551,62.25,0.0,62.25,188.772,
03/31/1998,202.595,154.914,9.117,145.797,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.553,,,,,156.467,2.332,10.15,-7.818,,,43.796,,,,,43.796,46.128,,0.0,0.0,,,,0.0,,,,,,119.84,,,119.84,119.84,0.0,,,,,17.985,,,,17.985,17.985,137.825,0.0,48.232,,,-0.066,14.301,2.303,64.77,0.0,64.77,202.595,
