Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Net Utility Plant,Source: Bloomberg
03/31/1990,113.650002,113.625999,113.625999,,2.081135,0.705675,0.444634,0.24,0.24,0.24,0.24,0.24,0.24,0.19,0.396212,0.396212,1.343678,7.579226,,12.640502,
06/30/1990,113.669998,113.657997,113.657997,,2.446427,0.866072,0.605729,0.34,0.34,0.34,0.34,0.34,0.34,0.2025,0.417586,0.417586,1.072042,7.310979,,12.534618,
09/30/1990,113.688004,113.683998,113.683998,,2.719363,1.00431,0.73487,0.4,0.4,0.4,0.4,0.4,0.4,0.2025,0.848246,0.848246,0.890481,7.239339,,12.47684,
12/31/1990,113.695999,115.262001,115.262001,,2.371883,0.74905,0.478345,0.245,0.245,0.245,0.245,0.245,0.245,0.2025,0.215683,0.215683,0.833767,7.304716,,14.406136,
03/31/1991,113.732002,113.713997,113.713997,,2.221063,0.712366,0.429288,0.23,0.23,0.23,0.23,0.23,0.23,0.2025,0.648531,0.648531,0.961163,7.349708,,13.206863,
06/30/1991,113.870003,113.811996,113.811996,,2.555583,0.896004,0.603346,0.335,0.335,0.335,0.335,0.335,0.335,0.215,0.43144,0.43144,0.985598,7.484342,,13.408527,
09/30/1991,114.010002,113.966003,113.966003,,2.84512,1.071442,0.771572,0.43,0.43,0.43,0.43,0.43,0.43,0.215,1.071951,1.071951,1.160389,7.720779,,13.793518,
12/31/1991,114.220001,114.010002,114.010002,,2.512095,0.788299,0.498737,0.28,0.28,0.28,0.28,0.28,0.28,0.215,0.43283,0.43283,1.405332,7.803362,,15.957267,
03/31/1992,114.386002,114.297997,114.297997,,2.297547,0.758981,0.450962,0.23,0.23,0.23,0.23,0.23,0.23,0.215,0.76633,0.76633,1.530353,7.844491,,14.034524,
06/30/1992,114.608002,114.522003,114.522003,,2.476668,0.864323,0.555771,0.305,0.305,0.305,0.305,0.305,0.305,0.2275,0.284705,0.284705,1.351904,7.947264,,14.115908,
09/30/1992,114.802002,114.716003,114.716003,,2.973927,1.101451,0.789105,0.465,0.465,0.465,0.465,0.465,0.465,0.2275,1.14046,1.14046,1.469478,8.212984,,14.185789,
12/31/1992,114.966004,115.134002,115.134002,,2.568789,0.863481,0.549872,0.3,0.3,0.3,0.3,0.3,0.3,0.2275,0.636476,0.636476,1.593419,8.313301,,17.273167,
03/31/1993,115.129997,115.057999,115.057999,,2.453554,0.87568,0.525396,0.315,0.215,0.215,0.315,0.215,0.215,0.2275,0.857289,0.857289,1.721506,8.42551,,15.005846,
06/30/1993,115.372002,115.281998,115.281998,,2.729004,0.971166,0.616115,0.33,0.33,0.33,0.33,0.33,0.33,0.24,0.443209,0.443209,1.695108,8.548773,,15.037947,
09/30/1993,115.512001,115.447998,115.447998,,3.15905,1.19517,0.834436,0.45,0.45,0.45,0.45,0.45,0.45,0.24,1.073029,1.073029,1.445209,8.783512,,15.051821,
12/31/1993,115.621002,115.571999,115.571999,,2.788945,0.90945,0.541991,0.31,0.31,0.31,0.31,0.31,0.31,0.24,0.409771,0.409771,1.264303,8.887226,,17.986378,
03/31/1994,115.760002,115.690002,115.690002,,2.650376,0.890915,0.517737,0.29,0.29,0.29,0.29,0.29,0.29,0.24,0.830392,0.830392,1.304682,8.966923,,15.438174,
06/30/1994,115.940002,115.900002,115.900002,,3.048481,1.033598,0.653779,0.36,0.36,0.36,0.36,0.36,0.36,0.2525,0.610526,0.610526,1.331413,9.108599,,15.576358,
09/30/1994,116.072998,116.005997,116.005997,,3.160121,1.191387,0.816096,0.47,0.47,0.47,0.47,0.47,0.47,0.2525,1.126002,1.126002,1.388351,9.355458,,15.713,
12/31/1994,116.198997,116.137001,116.137001,,2.792555,0.712314,0.339849,0.2,0.2,0.2,0.2,0.2,0.2,0.2525,0.381816,0.381816,1.173298,9.330726,,16.1097,
03/31/1995,116.332001,116.265999,116.265999,,2.744861,0.951645,0.568068,0.31,0.31,0.31,0.31,0.31,0.31,0.2525,0.651205,-0.202269,0.367594,9.42077,,16.150561,
06/30/1995,116.459999,116.394997,116.394997,,3.004416,1.076902,0.693629,0.4,0.4,0.4,0.4,0.4,0.4,0.265,0.790429,-0.377258,0.48931,9.583814,,16.881625,
09/30/1995,116.571999,116.516998,116.516998,,3.339401,1.272801,0.918905,0.55,0.55,0.55,0.55,0.55,0.55,0.265,1.414695,0.730666,0.387057,9.887692,,17.068593,
12/31/1995,116.699997,116.660004,116.660004,,2.866192,0.926684,0.547317,0.34,0.34,0.34,0.34,0.34,0.34,0.265,0.670744,-0.17407,0.364182,9.997429,,17.462726,
03/31/1996,116.975998,128.205002,128.205002,,3.449943,1.019952,0.669241,0.39,0.39,0.39,0.39,0.39,0.39,0.265,0.846488,0.395117,0.397594,10.120571,,17.561739,
06/30/1996,117.223,129.300003,129.300003,,3.361949,1.103921,0.679814,0.39,0.39,0.39,0.39,0.39,0.39,0.28,0.786357,0.137231,0.36678,10.279314,,17.722937,
09/30/1996,117.325996,129.399994,129.399994,,3.540959,1.239567,0.85626,0.51,0.52,0.52,0.51,0.52,0.52,0.28,1.22643,0.55541,0.437115,10.586162,,17.810341,
12/31/1996,129.699997,130.263,130.263,,3.37855,1.15689,0.74695,0.38,0.38,0.38,0.38,0.38,0.38,0.28,0.35697,0.013281,0.122591,10.574403,,17.771781,
03/31/1997,117.596001,130.600006,130.600006,,3.447932,1.176876,0.750383,0.39,0.39,0.39,0.39,0.39,0.39,0.28,0.794028,0.430322,0.187396,10.83917,,17.418085,
06/30/1997,130.804993,131.100006,130.699997,,3.526396,1.221882,0.79189,0.39,0.39,0.39,0.39,0.39,0.39,0.295,0.537108,0.083397,0.266045,10.816101,,17.561257,
09/30/1997,130.856995,130.800003,130.800003,,3.78211,1.392202,0.960245,0.45,0.51,0.51,0.45,0.51,0.51,0.295,0.957186,0.642202,0.289629,10.994445,,17.425893,
12/31/1997,130.899994,130.899994,130.899994,,3.486632,1.054446,0.653178,0.31,0.33,0.37,0.31,0.33,0.37,0.295,0.890046,0.460924,0.080978,11.03667,,17.461421,
03/31/1998,131.608002,132.1,131.6,,3.554711,0.974924,0.531155,0.4,0.23,0.23,0.4,0.23,0.23,0.295,0.967325,0.572948,0.080542,11.119385,,17.296061,
06/30/1998,131.679001,132.2,131.7,,3.725133,1.288535,0.838269,0.44,0.44,0.44,0.44,0.44,0.44,0.31,0.670463,0.182232,0.126064,11.262995,,17.282938,
09/30/1998,131.783997,132.2,131.8,,3.985584,1.433991,0.977997,0.54,0.54,0.54,0.54,0.54,0.54,0.31,1.189681,0.747344,0.163146,11.517332,,17.206946,
12/31/1998,132.0,133.2,131.7,,3.583903,1.118451,0.699317,0.19,0.31,0.42,0.19,0.31,0.42,0.31,0.933941,-0.002278,0.12803,11.422727,11.422727,17.560606,
03/31/1999,131.96,132.0,132.0,,3.376515,1.157576,0.72803,0.38,0.38,0.38,0.38,0.38,0.38,0.31,0.544697,-0.031061,0.103062,11.501212,11.501212,17.658381,
06/30/1999,132.082,132.2,132.0,,3.725,1.177273,0.755303,0.39,0.4,0.4,0.39,0.4,0.4,0.325,0.80303,0.115909,0.146878,11.588256,11.588256,17.720053,
09/30/1999,131.463,132.0,131.9,,4.214556,1.561789,1.052312,0.32,0.42,0.54,0.32,0.42,0.54,0.325,0.903715,0.246399,0.075306,11.556103,11.556103,17.967793,
12/31/1999,126.7,128.9,128.8,,3.796584,1.190994,0.701863,0.33,0.33,0.36,0.33,0.33,0.36,0.325,0.653727,-0.679348,0.769534,11.190213,11.190213,20.405683,
03/31/2000,125.2369,126.2,126.2,,4.156101,1.347861,0.856577,0.42,0.42,0.42,0.42,0.42,0.42,0.325,0.849445,-0.296355,0.173272,11.231514,11.231514,21.250127,
06/30/2000,125.504,125.4,125.3,,4.465283,1.306464,0.79569,0.46,0.46,0.46,0.46,0.46,0.46,0.335,0.711891,-0.660814,0.22071,11.366968,11.366968,21.67899,
09/30/2000,125.8955,126.1,125.6,,4.894108,1.511146,0.963376,0.65,0.65,0.65,0.65,0.65,0.65,0.335,1.105096,0.26672,0.209698,11.743073,11.743073,22.045268,
12/31/2000,126.3,127.3,126.1,,4.72958,1.25456,0.672482,0.46,0.46,0.46,0.44,0.44,0.44,0.335,0.36479,-1.748612,0.788599,11.931116,11.931116,31.433888,
03/31/2001,135.1854,129.8,128.6,,5.219285,1.406687,0.851477,0.54,0.54,0.54,0.53,0.53,0.53,0.325,1.051322,-0.509331,0.432739,13.132335,13.132335,31.793374,
06/30/2001,135.9214,136.9,135.7,,4.72955,1.347089,0.780398,0.53,0.53,0.53,0.52,0.52,0.52,0.345,0.715549,-0.976419,0.540754,13.360663,13.360663,24.602454,
09/30/2001,136.0359,136.9,136.0,,4.85,1.480147,0.969118,0.72,0.67,0.67,0.71,0.66,0.66,0.345,1.225,-0.840441,0.571908,13.780186,13.780186,26.137218,
12/31/2001,139.6,139.3,138.71,,4.13813,1.077067,0.490952,0.47,0.43,0.43,0.47,0.43,0.43,0.345,0.852138,-0.984788,0.861032,14.123209,12.93553,34.658309,
03/31/2002,139.832,140.3,139.7,,4.342162,1.229062,0.638511,0.54,0.5,0.5,0.54,0.5,0.5,0.345,1.457409,-0.809592,0.592139,14.061159,12.865439,36.278534,
06/30/2002,156.06,144.7,144.2,,4.699723,1.226075,0.677531,0.59,0.56,0.56,0.59,0.56,0.56,0.355,0.823856,-0.993759,0.897732,15.096117,13.857491,26.641035,
09/30/2002,156.205,156.1,156.1,,4.648302,1.367713,0.87508,0.76,0.71,0.71,0.76,0.71,0.71,0.355,1.133889,-0.230621,1.199706,15.500144,14.269069,32.488717,
12/31/2002,175.8,172.8,172.8,,3.853588,0.835069,0.379051,-0.958912,-1.03588,-1.03588,-0.958912,-1.03588,-1.03588,,0.904514,-0.677662,2.338453,14.856086,13.754266,31.080774,
