Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2008,915.0,915.0,-478.0,478.0,437.0,0.0,-347.0,280.0,37.0,30.0,90.0,-32.0,32.0,58.0,-28.0,30,-83.0,-83.0,0.0,113.0,0.0,113,0.0,0.0,113,51.0,21.0,220.5,0.51,0.14,0.231293,220.5,0.51,0.14,0.231293,
12/31/2008,969.0,969.0,-495.0,495.0,474.0,0.0,-302.0,256.0,41.0,5.0,172.0,-23.0,23.0,149.0,-42.0,107,-81.0,-81.0,0.0,188.0,0.0,188,0.0,0.0,188,110.0,3.0,220.5,0.85,0.48,0.498866,220.5,0.85,0.48,0.493605,
03/31/2009,844.0,844.0,-426.0,426.0,418.0,0.0,-321.0,262.0,39.0,20.0,97.0,-25.0,25.0,72.0,16.0,88,-83.0,-83.0,0.0,171.0,0.0,171,0.0,0.0,171,78.0,-10.0,220.5,0.78,0.4,0.353741,220.5,0.78,0.4,0.353741,
06/30/2009,447.0,447.0,-170.0,170.0,277.0,0.0,-203.0,146.0,43.0,14.0,74.0,-15.0,15.0,59.0,3.0,62,-34.0,-34.0,0.0,96.0,0.0,96,0.0,0.0,96,68.85,6.85,220.5,0.435374,0.281179,0.312245,220.5,0.435374,0.281179,0.312245,
09/30/2009,923.0,923.0,-472.0,472.0,451.0,0.0,-334.0,297.0,36.0,1.0,117.0,-42.0,42.0,75.0,-20.0,55,-26.0,-26.0,0.0,81.0,0.0,81,0.0,0.0,81,87.0,32.0,220.6,0.37,0.25,0.394379,221.2,0.37,0.25,0.394379,
12/31/2009,1019.0,1019.0,-541.0,541.0,478.0,0.0,-351.0,305.0,37.0,9.0,127.0,-24.0,24.0,103.0,-30.0,73,3.0,3.0,0.0,70.0,0.0,70,0.0,0.0,70,88.0,15.0,220.8,0.32,0.33,0.398551,222.2,0.32,0.33,0.397507,
03/31/2010,837.0,837.0,-423.0,423.0,414.0,0.0,-328.0,285.0,42.0,1.0,86.0,-27.0,27.0,59.0,-72.0,-13,-4.0,-4.0,0.0,-9.0,0.0,-9,0.0,0.0,-9,53.0,66.0,221.6,-0.04,-0.06,0.23917,221.6,-0.04,-0.06,0.237834,
06/30/2010,930.0,930.0,-477.0,477.0,453.0,0.0,-327.0,287.0,44.0,-4.0,126.0,-19.0,19.0,107.0,-60.0,47,-5.0,-5.0,0.0,52.0,0.0,52,0.0,0.0,52,55.45,8.45,221.8,0.24,0.21,0.25,224.0,0.23,0.21,0.247723,
09/30/2010,811.0,811.0,-398.0,398.0,413.0,0.0,-334.0,272.0,40.0,22.0,79.0,-23.0,23.0,56.0,-20.0,36,-2.0,-2.0,0.0,38.0,0.0,38,0.0,0.0,38,64.0,28.0,222.1,0.17,0.17,0.288158,223.9,0.17,0.17,0.288158,
12/31/2010,886.0,886.0,-441.0,441.0,445.0,0.0,-323.0,270.0,36.0,17.0,122.0,-20.0,20.0,102.0,-29.0,73,-3.0,-3.0,0.0,76.0,0.0,76,0.0,0.0,76,95.0,22.0,222.8,0.34,0.32,0.426391,224.5,0.34,0.32,0.417996,
