Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Compensation,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,984.507019,21.775,21.775,0.0,145.188995,,,102.872002,,,,,16.308001,,,,,,286.144012,620.23999,1366.170044,-745.929993,,,78.123001,,,,78.123001,698.362991,,136.873993,136.873993,,,6.047,,,,,,1.2e-05,,,1.2e-05,142.921005,47.818001,,,,,144.494995,,,,,144.494995,192.312996,335.234001,0.0,,,,,,649.27301,649.27301,,649.27301,984.507011,
06/30/1990,1024.715942,11.82,11.82,0.0,177.356995,,,106.674004,,,,,14.59,,,,,,310.44101,636.369019,1399.47998,-763.111023,,,77.905998,,,,77.905998,714.275017,,139.940002,139.940002,,,49.467999,,,,,,4e-06,,,4e-06,189.408005,45.743999,,,,,138.412994,,,,,138.412994,184.156994,373.564999,0.0,,,,,,651.151001,651.151001,,651.151001,1024.716,
09/30/1990,1146.406982,10.912,10.912,0.0,188.089996,,,115.639,,,,,12.563,,,,,,327.20401,720.676025,1506.598022,-785.921997,,,98.527,,,,98.527,819.203026,,149.679001,149.679001,,,142.268005,,,,,,-1.5e-05,,,-1.5e-05,291.946991,45.070999,,,,,146.759995,,,,,146.759995,191.830994,483.777985,0.0,,,,,,662.629028,662.629028,,662.629028,1146.407013,
12/31/1990,1117.996948,18.552,18.552,0.0,137.873001,,,113.015999,,,,,25.871,,,,,,295.312012,720.690979,1524.792969,-804.10199,,,101.994003,,,,101.994003,822.684982,,69.508003,69.508003,,,111.978996,,,,,,52.352006,,,52.352006,233.839005,44.674,,,,,159.292007,,,,,159.292007,203.966007,437.805012,0.0,49.331001,,,-281.312012,,912.173035,680.192024,,680.192024,1117.997036,
03/31/1991,1086.291992,0.699,0.699,0.0,131.154007,,,126.568001,,,,,12.872,,,,,,271.292999,715.080994,1541.529053,-826.447998,,,99.917999,,,,99.917999,814.998993,,115.142998,115.142998,,,107.151001,,,,,,8e-06,,,8e-06,222.294006,38.505001,,,,,160.003998,,,,,160.003998,198.508999,420.803005,0.0,,,,,,665.489014,665.489014,,665.489014,1086.292019,
06/30/1991,1123.649048,0.831,0.831,0.0,173.792007,,,123.839996,,,,,14.61,,,,,,313.072998,703.932007,1552.73999,-848.807983,,,106.643997,,,,106.643997,810.576004,,123.279999,123.279999,,,102.664001,,,,,,0.0,,,0.0,225.944,61.308998,,,,,157.005005,,,,,157.005005,218.314003,444.258003,0.0,,,,,,679.390991,679.390991,,679.390991,1123.648994,
09/30/1991,1128.880981,6.06,6.06,0.0,178.432999,,,113.712997,,,,,15.192,,,,,,313.39801,700.336975,1571.550049,-871.213013,,,115.146004,,,,115.146004,815.482979,,127.505997,127.505997,,,64.193001,,,,,,8e-06,,,8e-06,191.699005,86.713997,,,,,153.667007,,,,,153.667007,240.381004,432.080009,0.0,,,,,,696.801025,696.801025,,696.801025,1128.881035,
12/31/1991,1073.110962,18.993,18.993,0.0,130.438995,,,112.636002,,,,,23.079,,,,,,285.147003,675.440002,1553.708008,-878.268005,,,112.524002,,,,112.524002,787.964004,,67.950996,67.950996,,,13.25,,,,,,54.187004,,,54.187004,135.388,111.106003,,,,,143.688995,,,,,143.688995,254.794998,390.182998,0.0,50.035999,,,-286.196991,,919.08902,682.928028,,682.928028,1073.111026,
03/31/1992,1070.647949,26.981001,26.981001,0.0,134.828003,,,117.972,,,,,19.629999,,,,,,299.411011,659.708008,1559.43103,-899.723022,,,111.528999,,,,111.528999,771.237007,,130.098007,130.098007,,,17.051001,,,,,,-6e-06,,,-6e-06,147.149002,108.192001,,,,,138.112,,,,,138.112,246.304001,393.453003,0.0,,,,,,677.195007,677.195007,,677.195007,1070.64801,
06/30/1992,1118.911987,23.716,23.716,0.0,173.550003,,,112.489998,,,,,26.878,,,,,,336.634003,662.906982,1583.343994,-920.437012,,,119.371002,,,,119.371002,782.277985,,142.468002,142.468002,,,51.250999,,,,,,-8e-06,,,-8e-06,193.718994,107.734001,,,,,138.419006,,,,,138.419006,246.153008,439.872002,0.0,,,,,,679.039978,679.039978,,679.039978,1118.91198,
