Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,4319.0,16.0,16.0,0.0,578.0,,,388.0,,,,,107.0,,,,,1089.0,3057.0,6407.0,-3350.0,0.0,173.0,,,,,173.0,3230.0,,387.0,387.0,,,,0.0,,,,,,53.0,,,53.0,440.0,0.0,,,,,1180.0,,,,1180.0,1180.0,1620.0,0.0,106.0,,,0.0,,2593.0,2699.0,0.0,2699.0,4319.0,
12/31/1993,4341.0,141.0,141.0,0.0,542.0,,,345.0,,,,,75.0,,,,,1103.0,3059.0,6390.0,-3331.0,0.0,179.0,,,,,179.0,3238.0,,215.0,215.0,,,,0.0,,,,,,254.0,,,254.0,469.0,1801.0,,,,,1010.0,,,,1010.0,2811.0,3280.0,0.0,1.0,,,0.0,,1060.0,1061.0,0.0,1061.0,4341.0,
03/31/1994,4386.0,85.0,85.0,0.0,624.0,,,323.0,,,,,88.0,,,,,1120.0,3056.0,6460.0,-3404.0,0.0,210.0,,,,,210.0,3266.0,,432.0,432.0,,,,8.0,,,,,,93.0,,,93.0,533.0,1725.0,,,,,1044.0,,,,1044.0,2769.0,3302.0,0.0,1.0,,,0.0,,1083.0,1084.0,0.0,1084.0,4386.0,
06/30/1994,4385.0,57.0,57.0,0.0,674.0,,,339.0,,,,,77.0,,,,,1147.0,3025.0,6501.0,-3476.0,0.0,213.0,,,,,213.0,3238.0,,472.0,472.0,,,,0.0,,,,,,100.0,,,100.0,572.0,1606.0,,,,,1064.0,,,,1064.0,2670.0,3242.0,0.0,1.0,,,0.0,,1142.0,1143.0,0.0,1143.0,4385.0,
09/30/1994,4440.0,47.0,47.0,0.0,735.0,,,360.0,,,,,88.0,,,,,1230.0,3004.0,6508.0,-3504.0,0.0,206.0,,,,,206.0,3210.0,,545.0,545.0,,,,0.0,,,,,,111.0,,,111.0,656.0,1471.0,,,,,1105.0,,,,1105.0,2576.0,3232.0,0.0,2.0,,,0.0,,1206.0,1208.0,0.0,1208.0,4440.0,
12/31/1994,4375.0,90.0,90.0,0.0,707.0,,,392.0,,,,,84.0,,,,,1273.0,2906.0,6389.0,-3483.0,0.0,196.0,,,,,196.0,3102.0,,322.0,322.0,,,,0.0,,,,,,478.0,,,478.0,800.0,1195.0,,,,,1085.0,,,,1085.0,2280.0,3080.0,0.0,23.0,,,0.0,,1272.0,1295.0,0.0,1295.0,4375.0,
03/31/1995,4594.0,105.0,105.0,0.0,835.0,,,376.0,,,,,97.0,,,,,1413.0,2905.0,6461.0,-3556.0,0.0,276.0,,,,,276.0,3181.0,,642.0,642.0,,,,0.0,,,,,,108.0,,,108.0,750.0,1302.0,,,,,1139.0,,,,1139.0,2441.0,3191.0,0.0,25.0,,,0.0,,1378.0,1403.0,0.0,1403.0,4594.0,
06/30/1995,4655.0,106.0,106.0,0.0,862.0,,,355.0,,,,,95.0,,,,,1418.0,2915.0,6527.0,-3612.0,0.0,322.0,,,,,322.0,3237.0,,704.0,704.0,,,,0.0,,,,,,61.0,,,61.0,765.0,1289.0,,,,,1178.0,,,,1178.0,2467.0,3232.0,0.0,27.0,,,-106.0,,1502.0,1423.0,0.0,1423.0,4655.0,
09/30/1995,4739.0,66.0,66.0,0.0,833.0,,,416.0,,,,,127.0,,,,,1442.0,2974.0,6658.0,-3684.0,0.0,323.0,,,,,323.0,3297.0,,754.0,754.0,,,,0.0,,,,,,112.0,,,112.0,866.0,1205.0,,,,,1198.0,,,,1198.0,2403.0,3269.0,0.0,30.0,,,-175.0,,1615.0,1470.0,0.0,1470.0,4739.0,
