Date,Total Interest Income,Total Interest Expense,Net Interest Income,Trading Account Profit,Commissions & Fees Earned,Other Operating Income,Net Revenue,Provisions for Loan Losses,Net Revenue After Provisions,Non-Interest Expense,Operating Income or Losses,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1995,1332.500023,-509.200012,823.300011,0,0,92.5,915.800011,-200.100006,715.700005,-441.899994,273.799988,0,273.799988,-105.5,168.300003,0,0,168.300003,0,168.300003,,,168.299988,,0.49,0.49,346.700012,0.49,0.49,0.49,346.700012,
06/30/1995,1419.800026,-540.299988,879.500038,0,0,94.900002,974.40004,-201.699997,772.700043,-500.600006,272.100006,0,272.100006,-109.699997,162.399994,0,0,162.399994,0,162.399994,,,162.400009,,0.47,0.47,346.700012,0.47,0.47,0.47,346.700012,
09/30/1995,1473.699974,-557.5,916.199974,0,0,91.900002,1008.099976,-210.800003,797.299973,-469.700012,327.600006,0,327.600006,-130.0,197.600006,0,0,197.600006,0,197.600006,,,197.600006,,0.57,0.57,346.700012,0.57,0.57,0.57,346.700012,
12/31/1995,1510.600025,-570.900024,939.700001,0,0,91.300003,1031.000004,-221.399994,809.60001,-485.0,324.600006,0,324.600006,-129.800003,194.800003,0,0,194.800003,0,194.800003,,,194.800003,,0.56,0.56,346.700012,0.56,0.56,0.56,346.700012,
03/31/1996,1551.900002,-580.5,971.400002,0,0,93.099998,1064.5,-252.300003,812.199997,-495.399994,316.799988,0,316.799988,-124.5,192.300003,0,0,192.300003,0,192.300003,,,192.299988,0.55,0.55,0.55,346.700012,0.55,0.55,0.55,346.700012,
06/30/1996,1616.499977,-593.5,1022.999977,0,0,100.5,1123.499977,-275.700012,847.799965,-520.200012,327.600006,0,327.600006,-127.400002,200.199997,0,0,200.199997,0,200.199997,,,200.200005,0.58,0.58,0.58,346.700012,0.58,0.58,0.58,346.700012,
09/30/1996,1739.599953,-637.700012,1101.89994,0,0,104.0,1205.89994,-267.399994,938.499947,-557.200012,381.299988,0,381.299988,-151.100006,230.199997,0,0,230.199997,0,230.199997,,,230.199982,0.66,0.66,0.66,346.700012,0.66,0.66,0.66,346.700012,
12/31/1996,1788.099953,-644.299988,1143.799965,0,0,104.5,1248.299965,-291.100006,957.199959,-578.299988,378.899994,0,378.899994,-144.600006,234.300003,0,0,234.300003,0,234.300003,0.0,0.0,234.299988,0.68,0.68,0.68,346.700012,0.68,0.68,0.68,346.700012,
03/31/1997,1827.599953,-637.400024,1190.199928,0,0,99.099998,1289.299927,-344.5,944.799927,-567.299988,377.5,0,377.5,-139.699997,237.800003,0,0,237.800003,0,237.800003,0.0,0.0,237.800003,0.7,0.7,0.7,346.700012,0.68,0.68,0.68,347.799988,
06/30/1997,1944.200027,-679.599976,1264.600052,0,0,105.300003,1369.900055,-372.600006,997.300049,-608.299988,389.0,0,389.0,-144.0,245.0,0,0,245.0,0,245.0,0.0,0.0,245.0,0.7,0.7,0.7,346.399994,0.7,0.7,0.7,347.5,
