Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
04/01/1990,321.5,,-281.299988,,40.200012,,-22.0,,,,,18.200001,-5.2,,5.8,,,,-0.6,13.000001,-3.8,9.2,0.0,,,9.200001,,9.2,-1.3,,7.9,7.9,,349.600006,0.02625,0.02625,0.02625,349.600006,0.02625,0.02625,0.02625,
07/01/1990,381.899994,,-325.700012,,56.199982,,-25.5,,,,,30.700001,-1.568,,5.7,,,,-4.132,29.132001,-8.7,20.431999,0.0,,,20.432001,,20.431999,-1.3,,19.131999,19.131999,,382.640015,0.05,0.05,0.05,382.640015,0.05,0.05,0.05,
09/30/1990,351.799988,,-298.299988,,53.5,,-24.299999,,,,,29.200001,-0.303,,5.5,,,,-5.197,28.897001,-7.6,21.297001,0.0,,,21.297001,,21.297001,-1.4,,19.897001,19.897001,,383.552002,0.051875,0.051875,0.051875,383.552002,0.051875,0.051875,0.051875,
12/31/1990,302.0,,-259.899994,,42.100006,,-25.6,,,,,16.5,-15.5,,5.2,,,,10.3,1.0,0.4,1.4,0.0,,,1.4,,1.4,-1.8,,-0.4,-0.4,,351.824,-0.00125,-0.00125,-0.00125,351.824,-0.00125,-0.00125,-0.00125,
03/31/1991,447.399994,,-387.100006,,60.299988,,-31.200001,,,,,29.1,-11.0,,9.4,,,,1.6,18.100001,-6.7,11.4,0.0,,,11.400001,-0.7,10.7,-2.5,,8.2,8.2,,353.727997,0.023125,0.023125,0.023125,353.727997,0.023125,0.023125,0.023125,
06/30/1991,638.200012,,-544.599976,,93.600037,,-45.299999,,,,,48.299999,-12.2,,12.2,,,,0.0,36.099999,-12.7,23.4,0.0,,,23.4,-0.4,23.0,-2.5,,20.5,20.5,,389.312012,0.05375,0.05375,0.05375,389.312012,0.05375,0.05375,0.05375,
09/29/1991,579.599976,,-500.100006,,79.499969,,-33.599998,,,,,45.900002,-9.5,,9.8,,,,-0.3,36.400001,-14.1,22.299999,-2.3,,,24.600001,-1.1,23.5,-2.6,,20.9,20.9,,395.967987,0.054375,0.04875,0.04875,395.967987,0.054375,0.04875,0.04875,
12/31/1991,353.200012,,-308.200012,,45.0,,-28.9,,,,,16.1,-3.1,,3.6,,,,-0.5,13.0,-4.1,9.5,0.0,,,8.9,-0.5,9.0,-2.7,,6.3,6.3,,411.104,0.015625,0.015625,0.015625,411.104,0.015625,0.015625,0.015625,
03/29/1992,546.299988,,-475.0,,71.299988,,-41.299999,,,,,30.0,-10.395,,10.0,,,,0.395,19.605,-7.2,12.405,0.0,,,12.405,-1.2,11.205,-1.4,,9.805,9.805,,412.847992,0.02375,0.02375,0.02375,412.847992,0.02375,0.02375,0.02375,
06/28/1992,674.0,,-574.599976,,99.400024,,-50.599998,,,,,48.799999,-15.8,,11.0,,,,4.8,32.999999,-11.9,21.1,0.0,,,21.099999,-1.1,20.0,-1.3,,18.7,18.7,,450.256012,0.043125,0.043125,0.043125,450.256012,0.043125,0.043125,0.043125,
09/27/1992,566.5,,-486.100006,,80.399994,,-37.799999,,,,,42.599998,-7.057,,8.8,,,,-1.743,35.542998,-11.9,23.643,0.0,,,23.642999,-0.9,22.743,-1.3,,21.443,21.443,,451.440002,0.0475,0.0475,0.0475,451.440002,0.0475,0.0475,0.0475,
12/31/1992,391.0,,-345.5,,45.5,,-27.4,,,,,18.1,-0.7,,7.4,,,,-6.7,17.4,-5.2,12.2,0.0,,,12.2,-0.6,11.6,-1.4,,10.2,10.2,,420.463984,0.024375,0.024375,0.024375,420.463984,0.024375,0.024375,0.024375,
04/04/1993,532.900024,,-480.600006,,52.300018,,-26.700001,,,,,25.6,-10.6,,11.3,,,,-0.7,15.0,-4.9,10.1,32.599998,,,-22.499998,-1.0,-23.5,-0.8,,-24.3,-24.3,,431.023987,-0.05625,0.019375,0.019375,431.023987,-0.05625,0.019375,0.019375,
07/04/1993,663.0,,-595.299988,,67.700012,,-32.5,,,,,35.200001,-12.6,,12.9,,,,-0.3,22.600001,-8.5,14.1,0.0,,,14.100001,-0.8,13.3,-0.8,,12.5,12.5,,468.0,0.026875,0.026875,0.026875,468.0,0.026875,0.026875,0.026875,
10/03/1993,680.200012,,-612.099976,,68.100037,,-34.099998,,,,,34.0,-25.3,,11.6,,,,13.7,8.7,-3.8,4.9,0.0,,,4.9,-1.1,3.8,-0.8,,3.0,3.0,,469.455994,0.00625,0.00625,0.00625,469.455994,0.00625,0.00625,0.00625,
12/31/1993,557.700012,,-521.599976,,36.100036,,-27.700001,,,,,8.4,-104.799997,,10.1,,,,94.699997,-96.399997,38.400002,-58.0,0.0,,,-57.999995,-0.7,-58.700001,-0.8,,-59.500001,-59.500001,,470.272,-0.12625,-0.12625,-0.12625,470.272,-0.12625,-0.12625,-0.12625,
04/03/1994,587.299988,,-531.900024,,55.399963,,-26.799999,,,,,28.6,-10.3,,10.6,,,,-0.3,18.3,-6.5,11.8,0.0,,,11.8,-1.3,10.5,-0.8,,9.7,9.7,,471.888,0.020625,0.020625,0.020625,471.888,0.020625,0.020625,0.020625,
07/02/1994,676.599976,,-605.299988,,71.299988,,-31.299999,,,,,40.0,-11.0,,10.8,,0.0,,0.2,29.0,-11.0,18.0,0.0,,,18.0,-0.8,17.200001,-0.8,,16.400001,16.400001,,473.920013,0.034375,0.034375,0.034375,473.920013,0.034375,0.034375,0.034375,
10/02/1994,717.5,,-636.0,,81.5,,-31.6,,,,,49.900002,-11.7,,10.5,,0.0,,1.2,38.200001,-13.8,24.4,0.0,,,24.400001,-1.1,23.299999,-0.8,,22.499999,22.499999,,475.872009,0.0475,0.0475,0.0475,475.872009,0.0475,0.0475,0.0475,
12/31/1994,612.0,,-538.099976,,73.900024,,-31.6,,,,,42.299999,-5.5,,9.1,,0.0,,-3.6,36.799999,-13.4,23.4,0.0,,,23.399999,-1.4,22.0,-0.8,,21.2,21.2,,476.768,0.044375,0.044375,0.044375,476.768,0.044375,0.044375,0.044375,
04/02/1995,422.5,,-370.399994,,52.100006,,-22.299999,,,,,29.799999,-3.5,,9.6,,0.0,,-6.1,26.299999,-10.1,16.200001,-1.5,,,17.699998,-1.4,16.299999,-0.8,,15.499999,15.499999,,479.391998,0.0325,0.029375,0.029375,517.935974,0.030625,0.0275,0.0275,
07/02/1995,557.400024,,-497.600006,,59.800018,,-29.5,,,,,30.299999,2.7,,10.7,,0.0,,-13.4,32.999999,-14.0,19.0,-4.1,,,23.099999,-1.2,21.9,-0.8,,21.1,21.1,,479.519989,0.04375,0.035625,0.035625,517.52002,0.04125,0.033125,0.033125,
10/01/1995,595.700012,,-540.400024,,55.299988,,-31.5,,,,,23.799999,-29.7,,10.2,,0.0,,19.5,-5.900001,24.200001,18.299999,74.0,,,-55.7,-1.6,-57.299999,-0.7,,-57.999999,-57.999999,,481.584015,-0.120625,0.033125,0.033125,481.584015,-0.11125,0.03125,0.03125,
12/31/1995,470.200012,,-428.200012,,42.0,,-23.4,,,,,18.6,-15.5,,5.0,,0.0,,10.5,3.1,-0.1,3.0,2.1,,,0.9,-0.4,0.5,-0.8,,-0.3,-0.3,,481.071984,-0.000625,0.00375,0.00375,481.071984,-0.000625,0.00375,0.00375,
03/31/1996,462.0,,-424.399994,,37.600006,,-24.0,,,,,13.6,-4.4,,6.8,,0.0,,-2.4,9.2,-2.4,6.8,1.3,,,5.5,0.0,5.5,-0.8,,4.7,4.7,,481.071991,0.01,0.0125,0.01625,516.799988,0.009375,0.011875,0.015625,
06/30/1996,600.099976,,-548.0,,52.099976,,-23.6,,,,,28.5,-9.2,,9.4,,0.0,,-0.2,19.3,-6.1,13.2,1.5,,,11.7,0.1,11.8,-0.7,,11.1,11.1,,483.552002,0.023125,0.02625,0.02625,516.304016,0.021875,0.025,0.025,
09/29/1996,622.200012,,-566.700012,,55.5,,-21.9,,,,,33.599998,-9.4,,8.6,,0.0,,0.8,24.199998,-4.5,19.700001,-0.7,,,20.399998,-0.3,20.1,-0.7,,19.4,19.4,,487.536011,0.04,0.03875,0.03,519.088013,0.0375,0.03625,0.0275,
12/31/1996,500.100006,,-468.200012,,31.899994,,-44.700001,,,,,-12.8,-19.8,,8.5,,0.0,,11.3,-32.6,5.8,-26.799999,-13.2,,,-13.6,0.4,-13.2,-0.7,,-13.9,-13.9,,487.903984,-0.02875,-0.055625,-0.008125,487.903984,-0.02875,-0.055625,-0.008125,
03/30/1997,479.799988,,-431.600006,,48.199982,,-30.4,,,,,17.799999,-9.6,,9.9,,0.0,,-0.3,8.2,-2.8,5.4,0.0,,,5.4,1.6,7.0,-0.7,,6.3,6.3,,487.152008,0.013125,0.013125,0.011875,518.687988,0.0125,0.0125,0.01125,
06/29/1997,643.700012,,-572.799988,,70.900024,,-33.099998,,,,,37.799999,-7.4,,15.4,,0.0,,-8.0,30.4,-11.9,18.5,0.0,,,18.5,2.3,20.799999,-0.7,,20.099999,20.099999,,483.391998,0.041875,0.041875,0.0325,515.40802,0.039375,0.039375,0.03,
09/28/1997,690.200012,,-605.200012,,85.0,,-32.099998,,,,,52.900002,-16.0,,14.3,,0.0,,1.7,36.900001,-14.1,22.799999,0.0,,,22.800001,-0.1,22.700001,-0.7,,22.000001,22.000001,,482.160004,0.045625,0.045625,0.045625,516.383972,0.0425,0.0425,0.0425,
12/31/1997,574.799988,,-511.600006,,63.199982,,-42.5,,,,,20.700001,-11.0,,13.9,,0.0,,-2.9,9.700001,-3.2,6.5,0.0,,,6.500001,1.3,7.8,-0.7,,7.1,7.1,,482.4,0.015,0.015,0.015,518.400032,0.014375,0.014375,0.014375,
03/29/1998,549.700012,,-495.600006,,54.100006,,-28.700001,,,,,25.4,-19.3,,12.7,,0.0,,6.6,6.1,-3.2,2.9,3.3,,,-0.4,2.6,2.2,-0.7,,1.5,1.5,,483.247986,0.003125,0.01,0.0175,516.255981,0.003125,0.009375,0.016875,
06/29/1998,645.599976,,-571.5,,74.099976,,-27.299999,,,,,46.799999,-16.800001,,13.4,,0.0,,3.400001,29.999998,-12.4,17.799999,0.0,,,17.599998,1.4,19.0,-0.7,,18.3,18.3,,485.152016,0.038125,0.038125,0.0425,519.568,0.03625,0.03625,0.040625,
