Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1998,1177.764038,6.396,6.396,0.0,17.728001,13.999,,2.619,,,,,40.561001,,,,,,,67.304001,186.667999,268.725006,-82.056999,833.106995,,,90.684998,20.66,,,,70.024998,1110.459991,,12.605,12.605,,,,132.473999,,,,,,34.230007,,,,34.230007,179.309006,496.863007,,,,,21.318001,,,21.318001,518.181007,697.490013,0.0,431.914001,,,0.0,94.372002,-66.048002,460.238001,20.035999,480.274,1177.764013,
06/30/1998,1211.123047,5.383,5.383,0.0,21.101999,17.565001,,2.621,,,,,47.48,,,,,,,76.585999,193.949997,279.510986,-85.560997,847.521973,,,93.065002,20.417999,,,,72.647003,1134.536972,,6.835,6.835,,,,181.192993,,,,,,35.671012,,,,35.671012,223.699005,509.362,,,,,17.952,,,17.952,527.313999,751.013004,0.0,431.914001,,,0.0,101.341003,-85.958003,447.297002,12.813,460.110002,1211.123006,
09/30/1998,1241.953979,13.972,13.972,0.0,19.254,15.717,,2.757,,,,,46.242001,,,,,,,82.224998,199.270996,288.455994,-89.184998,871.507996,,,88.949997,20.143999,,,,68.805998,1159.728989,,7.465,7.465,,,,230.957001,,,,,,38.842007,,,,38.842007,277.264008,497.480011,,,,,18.073999,,,18.073999,515.55401,792.818018,0.0,431.914001,,,0.0,96.566002,-92.649002,435.831002,13.305,449.136002,1241.95402,
12/31/1998,1293.426025,6.381,6.381,,41.423,15.223,,2.647,,,,,41.507,,,,,,,91.958,218.414001,310.595001,-92.181,906.554993,,,76.499001,22.507,,,,53.992001,1201.467995,,7.371,7.371,,,,8.258,,,,,,34.920999,,,,34.920999,50.549999,504.781006,,,,,145.246994,,,145.246994,650.028,700.577999,0.0,531.914001,,,0.0,130.014999,-82.597,579.332001,13.516,592.848001,1293.426,
03/31/1999,1298.678955,12.468,12.468,0.0,16.868,16.868,,4.286,,,,,35.094002,,,,,,,68.716003,207.473007,303.240997,-95.767998,929.700989,,,92.789001,22.202999,,,,70.586002,1229.962997,,12.746,12.746,,,,37.602001,,,,,,24.767996,,,,24.767996,75.115997,490.416992,,,,,40.146999,,,40.146999,530.563992,605.679989,0.0,631.914001,,,0.0,129.074997,-80.971996,680.017002,12.982,692.999002,1298.678991,
06/30/1999,2401.761963,65.961998,65.961998,0.0,51.209,39.313999,,48.028,,,,,44.330002,,,,,,,209.529007,1127.203003,1231.916016,-104.712997,923.614014,,,141.416,45.189999,,,,96.226002,2192.233017,,36.936001,36.936001,,,,229.014008,,,,,,587.343998,,,,587.343998,853.294006,801.914001,,,,,35.087002,,,35.087002,837.001003,1690.29501,0.0,631.914001,,,0.0,131.416,-64.804001,698.526001,12.941,711.467001,2401.762011,
09/30/1999,2526.361084,25.236,25.236,0.0,84.721001,84.721001,,59.535,,,,,62.548,,,,,,,232.039993,1130.235962,1246.255005,-116.018997,996.018982,,,168.065994,49.743,,,,118.322994,2294.320938,,46.094002,46.094002,,,,234.707001,,,,,,678.951988,,,,678.951988,959.752991,797.348022,,,,,34.019001,,,34.019001,831.367023,1791.120014,0.0,631.914001,,,0.0,159.022995,-68.693993,722.243004,12.998,735.241004,2526.361018,
12/31/1999,3431.684082,31.483,31.483,,126.375999,126.375999,,119.181,,,,,46.93,,,,,,,323.970001,1919.322998,2076.172119,-156.848999,1059.952026,,,128.438995,55.585999,,,,72.852997,3107.71402,,61.210999,61.210999,,,,406.227997,,,,,,56.915985,,,,56.915985,524.35498,1941.397949,,,,,57.903999,,,57.903999,1999.301949,2523.656929,0.0,781.914001,,,0.0,187.210007,-75.470009,893.653999,14.373,908.026999,3431.683928,
03/31/2000,5293.808105,137.923004,137.923004,0.0,146.029999,146.029999,,165.501007,164.942993,0.0,0.0,0.558,54.945,,,,,,,504.398987,3669.654053,3846.537109,-176.882996,964.291016,,,155.464005,56.071999,,,,99.392006,4789.409073,,115.836998,115.836998,,,,328.789001,,,,,,362.681007,,,,362.681007,807.307007,3470.496094,,,,,131.205994,,,131.205994,3601.702087,4409.009094,0.0,781.914001,,,0.0,195.955994,-105.749992,872.120003,12.679,884.799003,5293.808097,
06/30/2000,5489.956055,70.839996,70.839996,0.0,254.237,254.237,,198.464005,180.589996,0.0,0.0,17.874001,63.898998,,,,,,,587.440002,3690.856934,3896.666992,-205.809998,1021.39801,,,190.261002,57.237999,,,,133.023003,4902.515945,,159.529999,159.529999,,,,306.341003,,,,,,102.970001,,,,102.970001,568.841003,3319.363037,,,,,228.632996,,,228.632996,3547.996033,4116.837036,0.0,1235.633057,,,0.0,239.537003,-114.256004,1360.914055,12.205,1373.119055,5489.956091,
09/30/2000,5982.035156,165.403,165.403,0.0,266.532013,266.532013,,212.942993,198.184998,0.0,0.0,14.758,75.461998,,,,,,,720.340027,4002.968018,4240.423828,-237.455994,1086.194946,,,172.531998,56.004002,,,,116.527996,5261.694962,,203.100998,203.100998,,,,173.973007,,,,,,149.001984,,,,149.001984,526.075989,3712.596924,,,,,324.208008,,,324.208008,4036.804932,4562.88092,0.0,1235.633057,,,0.0,328.140991,-159.574997,1404.199051,14.955,1419.154051,5982.034971,
