Date,Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
12/31/1995,7427,-5102,2325,,-3759,-1434,-77,0.0,122,-1389,372,-1017,0.0,0.0,-1017,0.0,,-1017,,,-1017.0,-0.485,-0.485,-0.485,2098.800049,-0.485,-0.485,-0.485,2098.800049,
03/31/1996,4577,-2753,1824,,-1924,-100,-76,0.0,7,-169,66,-103,0.0,0.0,-103,0.0,,-103,,,-103.0,-0.04,-0.04,-0.04,2546.800049,-0.04,-0.04,-0.04,2546.800049,
06/30/1996,5364,-3194,2170,,-2042,128,-62,0.0,52,118,-46,72,0.0,0.0,72,0.0,,72,,,72.0,0.0275,0.0275,0.0275,2546.800049,0.0275,0.0275,0.0275,2546.800049,
09/30/1996,5918,-3343,2575,,-2116,459,-78,0.0,37,418,-163,255,0.0,0.0,255,0.0,,255,,,255.0,0.1,0.1,0.1,2546.800049,0.1,0.1,0.1,2546.800049,
12/31/1996,7938,-4296,3642,,-2172,1470,-79,0.0,9,1400,-541,859,0.0,0.0,859,0.0,,859,,,859.0,0.3375,0.3375,0.3375,2552.800049,0.3375,0.3375,0.3375,2552.800049,
03/31/1997,5149,-2981,2168,,-2025,143,-77,0.0,40,106,-40,66,0.0,0.0,66,0.0,,66,,,66.0,0.005,0.005,0.005,5104.799805,0.005,0.005,0.005,5123.200195,
06/30/1997,6340,-3740,2600,,-2220,380,-77,0.0,41,344,-131,213,0.0,0.0,213,0.0,,213,,,213.0,0.0825,0.0825,0.0825,2580.800049,0.0825,0.0825,0.0825,2580.800049,
09/30/1997,6933,-3881,3052,,-2390,662,-72,0.0,-973,-383,-214,-597,0.0,0.0,-597,0.0,,-597,,,-597.0,0.1425,-0.23,-0.23,2598.399902,0.1425,-0.23,-0.23,2598.399902,
12/31/1997,8775,-4522,4253,,-2399,1854,-62,0.0,-280,1512,-687,825,0.0,0.0,825,0.0,,825,332.0,,1157.0,0.445,0.32,0.32,2633.899902,0.4325,0.31,0.31,2683.5,
03/31/1998,6184,-3436,2748,,-2433,315,-58,0.0,-126,131,-102,29,0.0,0.0,29,0.0,,29,157.0,,186.0,0.035,0.01,0.01,2633.899902,0.035,0.01,0.01,2683.5,
06/30/1998,7642,-4087,3555,,-2675,880,-63,0.0,-685,132,-282,-150,0.0,0.0,-150,0.0,,-150,736.0,-24.0,562.0,0.17,-0.05,-0.05,2975.699951,0.17,-0.05,-0.05,2975.699951,
09/30/1998,8038,-4255,3783,,-2801,982,-86,0.0,-204,692,-304,388,0.0,0.0,388,0.0,,388,164.0,,552.0,0.21,0.15,0.15,2609.199951,0.205,0.145,0.145,2666.800049,
12/31/1998,9204,-4386,4818,0.0,-2700,2118,-78,,81,2121,-721,1400,1308.0,,2708,,0.0,2708,21.0,,1421.0,0.535,0.53,1.03,2634.6,0.525,0.52,1.0,2704.2,
