Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
04/01/1990,1526.800049,-1066.199951,460.600098,-340.399994,120.199997,-27.200001,39.299999,132.299995,-48.900002,83.400002,6.7,,90.099998,0,90.099998,,,83.399994,0.53,0.53,0.5725,157.324005,0.53,0.53,0.5725,157.324005,
07/01/1990,1547.599976,-1051.699951,495.900024,-361.100006,134.800003,-28.9,13.0,118.900003,-26.5,92.400002,6.7,,99.099998,0,99.099998,,,92.400003,0.6025,0.6025,0.645,155.576004,0.6025,0.6025,0.645,155.576004,
09/30/1990,1561.900024,-1066.800049,495.099976,-347.799988,147.300003,-29.700001,6.3,123.900002,-37.099998,86.800003,-3.3,,83.5,0,83.5,,,86.800004,0.575,0.575,0.5525,154.028,0.575,0.575,0.5525,154.028,
12/31/1990,1672.800049,-1124.0,548.800049,-400.299988,148.5,-20.200001,13.0,141.299999,-32.099998,109.199997,0.0,,109.199997,0,109.199997,,,109.200001,0.745,0.745,0.745,146.578002,0.745,0.745,0.745,146.578002,
03/31/1991,1469.0,-997.599976,471.400024,-345.5,125.900002,-22.6,8.9,112.200001,-40.400002,71.800003,0.0,,71.800003,0,71.800003,,,71.799999,0.505,0.505,0.505,141.938004,0.505,0.505,0.505,141.938004,
06/30/1991,1520.199951,-1043.099976,477.099976,-346.100006,131.0,-20.700001,11.0,121.299999,-43.700001,77.599998,0.0,,77.599998,0,77.599998,,,77.599998,0.55,0.55,0.55,141.800003,0.55,0.55,0.55,141.800003,
09/29/1991,1493.0,-994.700012,498.299988,-358.799988,139.5,-23.4,7.4,123.5,-44.400002,79.099998,0.0,,79.099998,0,79.099998,,,79.099999,0.565,0.565,0.565,141.248001,0.565,0.565,0.565,141.248001,
12/31/1991,1710.699951,-1149.699951,561.0,-401.200012,159.800003,-22.700001,15.3,152.400002,-49.799999,102.599998,0.0,,102.599998,0,102.599998,,,102.600003,0.73,0.73,0.73,140.548004,0.73,0.73,0.73,140.548004,
03/29/1992,1481.599976,-1023.0,458.599976,-372.0,86.599998,-23.4,115.599998,178.799997,-65.400002,113.400002,-144.5,,-31.1,0,-31.1,,,113.399996,0.815,0.815,-0.22,139.858002,0.815,0.815,-0.22,139.858002,
06/29/1992,1485.800049,-1005.099976,480.700073,-359.299988,121.400002,-14.0,17.700001,125.100002,-43.299999,81.800003,0.0,,81.800003,0,81.800003,,,81.800003,0.615,0.615,0.585,139.457993,0.615,0.615,0.585,139.457993,
09/28/1992,1550.0,-1039.099976,510.900024,-374.5,136.399994,-14.6,154.199997,275.99999,-103.400002,172.600006,-5.5,,167.100006,0,167.100006,,,172.599989,1.25,1.25,1.21,138.973999,1.25,1.25,1.21,138.973999,
12/31/1992,1705.199951,-1128.099976,577.099975,-403.600006,173.5,-37.900002,-80.800003,54.799995,-22.700001,32.099998,-3.1,,29.0,0,29.0,,,32.099994,0.23,0.23,0.21,138.5,0.23,0.23,0.21,138.5,
04/04/1993,1438.599976,-989.799988,448.799988,-346.200012,102.599998,-18.6,3.5,87.499998,-30.200001,57.299999,0.0,,57.299999,0,57.299999,,,57.299997,0.42,0.42,0.42,136.123001,0.42,0.42,0.42,136.123001,
06/30/1993,1452.0,-982.200012,469.799988,-352.600006,117.199997,-13.7,5.5,108.999997,-37.599998,71.400002,0.0,,71.400002,0,71.400002,,,71.399999,0.53,0.53,0.53,134.716995,0.53,0.53,0.53,134.716995,
09/30/1993,1452.300049,-985.400024,466.900024,-330.899994,136.0,-15.0,-16.9,104.1,-23.200001,80.900002,0.0,,80.900002,0,80.900002,,,80.9,0.6,0.6,0.6,134.942001,0.6,0.6,0.6,134.942001,
12/31/1993,1620.099976,-1062.199951,557.900025,-383.399994,174.5,-20.700001,24.1,177.899999,-65.300003,112.599998,0.0,,112.599998,0,112.599998,,,112.599996,0.85,0.85,0.85,134.591995,0.85,0.85,0.85,134.591995,
04/03/1994,1347.900024,-917.299988,430.600037,-342.799988,87.800003,-16.4,2.6,74.000003,-26.299999,47.700001,0.0,,47.700001,0,47.700001,,,47.700004,0.36,0.36,0.36,130.837006,0.36,0.36,0.36,130.837006,
07/03/1994,1463.800049,-1001.799988,462.000061,-360.5,101.5,-15.3,2.0,88.2,-31.299999,56.900002,0.0,,56.900002,0,56.900002,,,56.900001,0.44,0.44,0.44,129.505997,0.44,0.44,0.44,129.505997,
10/03/1994,1507.599976,-1011.900024,495.699951,-373.299988,122.400002,-19.700001,4.9,107.600001,-38.200001,69.400002,0.0,,69.400002,0,69.400002,,,69.4,0.54,0.54,0.54,129.893997,0.54,0.54,0.54,129.893997,
01/03/1995,1737.699951,-1151.099976,586.599975,-416.200012,170.399994,-24.1,-46.400002,99.899992,5.0,104.900002,0.0,0.0,104.900002,0,104.900002,,,104.899992,0.81,0.81,0.81,129.399994,0.81,0.81,0.81,129.399994,
03/31/1995,1478.699951,-1013.200012,465.499939,-366.700012,98.800003,-20.799999,4.9,82.900004,-28.200001,54.700001,0.0,,54.700001,0,54.700001,,,54.700003,0.43,0.43,0.43,127.156998,0.43,0.43,0.43,127.156998,
06/30/1995,1655.599976,-1137.800049,517.799927,-400.899994,116.900002,-22.4,9.8,104.300002,-35.400002,68.900002,0.0,,68.900002,0,68.900002,,,68.900001,0.54,0.54,0.54,127.200996,0.54,0.54,0.54,127.200996,
09/30/1995,1680.300049,-1148.099976,532.200073,-387.5,144.699997,-20.200001,3.2,127.699996,-43.5,84.199997,0.0,,84.199997,0,84.199997,,,84.199996,0.66,0.66,0.66,127.223,0.66,0.66,0.66,127.223,
12/31/1995,1916.699951,-1285.099976,631.599975,-431.200012,200.399994,-19.9,10.1,190.599994,-64.800003,125.800003,0.0,,125.800003,0,125.800003,,,125.799991,0.99,0.99,0.99,127.070999,0.99,0.99,0.99,127.070999,
