Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
07/04/2014,1033.307,1030.601,2.706,-835.033,835.033,198.274,0.0,-78.783,43.385,35.398,0.0,119.491,-7.159,5.7,1.0,0.459,112.332,-41.265,71.067,1.423,1.423,0.0,69.644,-4.349,65.295,0.0,0.0,65.295,67.3446,0.6266,,,,,,,,,
10/03/2014,1036.288,1033.776,2.512,-819.824,819.824,216.464,0.0,-84.005,48.356,35.649,0.0,132.459,-6.415,5.509,0.0,0.906,126.044,-47.531,78.513,0.0,0.0,0.0,78.513,-4.908,73.605,0.0,0.0,73.605,73.66545,0.06045,,,,,,,,,
01/02/2015,999.033,997.486,1.547,-815.595,815.595,183.438,0.0,-86.262,53.037,33.225,0.0,97.176,-6.63,5.354,0.0,1.276,90.546,-33.9,56.646,0.288,0.288,0.0,56.358,-1.22,55.138,0.0,0.0,55.138,55.91155,0.48555,139.128,0.4,0.4,0.401871,139.128,0.4,0.4,0.401871,
04/03/2015,1001.118,1000.051,1.067,-811.849,811.849,189.269,0.0,-82.215,49.429,32.786,0.0,107.054,-7.268,5.301,0.0,1.967,99.786,-38.3,61.486,0.166,0.166,0.0,61.32,-3.601,57.719,0.0,0.0,57.719,65.82605,7.94105,,,,,,,,,
07/03/2015,959.0,957.0,2.0,-775.0,775.0,184.0,0.0,-89.0,41.0,33.0,15.0,95.0,14.0,5.0,0.0,-19.0,109.0,-42.0,67.0,0.0,0.0,0.0,67.0,-4.0,63.0,0.0,0.0,63.0,61.7,-1.3,139.128158,0.45,0.45,0.443476,139.128158,0.45,0.45,0.440656,
10/02/2015,969.0,967.0,2.0,-757.0,757.0,212.0,0.0,-121.0,44.0,35.0,42.0,91.0,-3.0,5.0,0.0,-2.0,88.0,-35.0,53.0,0.0,0.0,0.0,53.0,-5.0,48.0,0.0,0.0,48.0,79.2,31.2,139.128158,0.35,0.35,0.569259,139.128158,0.35,0.35,0.569259,
01/01/2016,1032.0,1031.0,1.0,-817.0,817.0,215.0,0.0,-139.0,50.0,45.0,44.0,76.0,-18.0,14.0,0.0,4.0,58.0,-7.0,51.0,0.0,0.0,0.0,51.0,-3.0,48.0,0.0,0.0,48.0,83.1,35.1,161.602,0.3,0.3,0.514226,164.676,0.29,0.29,0.503146,
04/01/2016,1290.15,1290.151,-0.001,-1227.064,1227.064,63.086,0.0,-139.672,52.398,69.266,18.008,-76.586,-30.343,28.876,0.0,1.467,-106.929,38.724,-68.205,0.0,0.0,0.0,-68.205,-3.658,-71.863,0.0,0.0,-71.863,-59.7886,12.0744,163.3009,-0.44,-0.44,-0.366125,163.3009,-0.44,-0.44,-0.366125,
07/01/2016,1254.0,1254.0,0.0,-1015.0,1015.0,239.0,0.0,-126.0,56.0,65.0,5.0,113.0,-7.0,30.0,0.0,-23.0,106.0,-38.0,68.0,0.0,0.0,0.0,68.0,-3.0,65.0,0.0,0.0,65.0,74.1,9.1,163.275,0.4,0.4,0.453836,164.938,0.39,0.39,0.445172,
09/30/2016,1263.0,1263.0,0.0,-1007.0,1007.0,256.0,0.0,-126.0,55.0,63.0,8.0,130.0,-6.0,29.0,,-23.0,124.0,-44.0,80.0,0.0,0.0,0.0,80.0,-4.0,76.0,0.0,0.0,76.0,81.2,5.2,163.824,0.46,0.46,0.495654,165.084,0.46,0.46,0.491499,
