Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,Net Revenue,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
03/31/1990,255.317993,255.710007,255.710007,,3.276121,1.740162,0.457925,0.345,0.345,,0.345,0.345,0.345,0.105,0.500199,,12.427741,8.39087,,
06/30/1990,254.888,255.300003,255.300003,,3.312715,1.763,0.392276,0.345,0.345,,0.345,0.345,0.345,0.105,0.189463,,12.076162,8.629951,,
09/30/1990,253.783997,254.475998,254.475998,,3.342559,1.771346,0.454786,0.345,0.345,,0.345,0.345,0.345,0.105,0.433243,,11.719033,8.866048,,
12/31/1990,253.565994,253.675004,253.675004,,3.446985,1.847656,0.438435,0.34,0.34,0.34,0.34,0.34,0.34,0.115,0.393705,,14.927621,9.08963,,
03/31/1991,255.093994,254.509995,254.509995,,3.353193,1.849169,0.460005,0.35,0.35,,0.35,0.35,0.35,0.115,0.469494,,13.997946,9.282766,,
06/30/1991,255.535995,255.636002,255.636002,,3.337484,1.91162,0.495102,0.36,0.36,,0.36,0.36,0.36,0.115,0.508684,,14.724266,9.53243,,
09/30/1991,256.761993,256.313995,256.313995,,3.248379,1.918947,0.502567,0.365,0.365,,0.365,0.365,0.365,0.115,0.606264,,15.644161,9.741142,,
12/31/1991,255.649994,256.205994,256.205994,,3.185245,1.943147,0.48938,0.375,0.375,0.375,0.375,0.375,0.375,0.125,-0.248136,,15.78582,9.958428,,
03/31/1992,260.114014,261.484009,261.484009,,3.165578,2.085003,0.548458,0.39,0.39,,0.39,0.39,0.39,0.125,1.572865,,14.314723,10.200769,,
06/30/1992,258.075989,259.112,259.112,,3.133159,2.138168,0.591675,0.41,0.41,,0.41,0.41,0.41,0.125,0.425515,,11.414274,10.425247,,
09/30/1992,256.432007,257.667999,257.667999,,3.063167,2.176755,0.595161,0.415,0.415,,0.415,0.415,0.415,0.125,0.848895,,11.029251,10.64456,,
12/31/1992,255.906006,256.191986,256.191986,,3.050213,2.24523,0.490613,0.35,0.35,0.35,0.35,0.35,0.35,0.14,-0.190716,,15.721037,10.823126,,
03/31/1993,254.406006,255.733994,255.733994,,3.028248,2.247589,0.683691,0.45,0.45,,0.45,0.45,0.45,0.14,1.459294,,13.192252,11.024669,,
06/30/1993,250.850006,252.272003,252.272003,,3.055599,2.28082,0.694671,0.47,0.47,,0.47,0.47,0.47,0.14,0.627474,,11.986984,11.200908,,
09/30/1993,250.584,250.481995,250.481995,,3.085399,2.293239,0.710187,0.48,0.48,,0.48,0.48,0.48,0.14,0.355578,,11.25174,11.531762,,
12/31/1993,244.936004,246.800004,246.800004,,3.122844,2.324015,0.699692,0.485,0.485,0.485,0.485,0.485,0.485,0.16,0.870215,,14.10551,14.736841,,
03/31/1994,242.496002,243.313995,243.313995,,3.152852,2.342389,0.781131,0.52,0.52,,0.52,0.52,0.52,0.16,0.787464,,12.603362,14.36942,,
06/30/1994,239.563995,241.203995,241.203995,,3.310281,2.413774,0.81604,0.545,0.545,,0.545,0.545,0.545,0.16,0.318954,,12.405696,14.306227,,
09/30/1994,236.815994,238.542007,238.542007,,3.461671,2.435361,0.82642,0.555,0.555,,0.555,0.555,0.555,0.16,0.630224,,13.387267,14.892715,,
12/31/1994,231.358002,234.100006,234.100006,,3.677761,2.506297,0.845523,0.565,0.565,0.565,0.565,0.565,0.565,0.18,0.83308,,15.524715,14.926352,,
03/31/1995,230.645996,231.085999,231.085999,,3.909402,2.547796,0.887916,0.59,0.59,,0.59,0.59,0.59,0.18,0.715305,0.58904,12.474481,16.045737,,
06/30/1995,230.261993,230.179993,230.179993,,4.051833,2.557694,0.924459,0.61,0.61,,0.61,0.61,0.61,0.18,0.842636,0.713659,14.183231,17.378369,,
09/30/1995,227.138,228.175995,228.175995,,4.130566,2.631859,0.912962,0.63,0.63,,0.63,0.63,0.63,0.18,1.192934,1.04053,10.551418,17.904723,,
12/31/1995,226.388,226.298004,226.298004,,4.24979,2.702167,0.882164,0.64,0.64,0.64,0.64,0.64,0.64,0.2,-0.4441,-0.619316,17.534317,18.859573,,
03/31/1996,225.449997,225.388,222.382004,,4.470676,2.863874,0.948058,0.68,0.68,0.68,0.66,0.66,0.66,0.2,0.890144,0.772077,12.926969,19.58409,,
06/30/1996,223.653,224.061005,221.141998,,4.515606,2.913657,1.016356,0.68,0.68,0.68,0.68,0.68,0.68,0.2,0.799183,0.650749,14.72942,20.727797,,
09/30/1996,222.968002,222.682999,219.610001,,4.633924,2.967474,1.056924,0.71,0.71,0.71,0.7,0.7,0.7,0.2,0.260612,0.1051,14.537521,21.432282,,
12/31/1996,220.468994,221.839996,218.352997,,4.825155,3.065248,1.078524,0.73,0.73,0.73,0.72,0.72,0.72,0.225,0.201925,-0.003375,21.647557,22.13454,,
03/31/1997,215.889008,325.342987,320.817993,,4.927405,3.152566,1.12556,0.72,0.72,0.72,0.71,0.71,0.71,0.225,-0.416121,-1.053348,19.10138,22.307065,,
06/30/1997,212.332993,320.709991,316.68399,,5.131298,3.25119,1.165515,0.76,0.76,0.76,0.75,0.75,0.75,0.225,0.329085,0.228202,16.187546,24.210341,,
09/30/1997,211.106003,319.256989,314.721008,,5.272924,3.264796,1.197251,0.79,0.79,0.79,0.78,0.78,0.78,0.225,2.222842,2.11609,16.557635,23.632943,,
12/31/1997,316.872986,318.480011,313.617004,,5.511818,3.417863,1.251845,0.81,0.81,0.81,0.8,0.8,0.8,0.25,1.396911,1.263656,20.860715,23.075778,,
03/31/1998,318.982,320.386,315.678,,5.659191,3.542993,1.287188,0.84,0.84,0.84,0.83,0.83,0.83,0.25,0.0,0.0,17.61169,24.877724,22.680499,
06/30/1998,316.438,319.689,314.999,,5.862968,3.669129,1.309325,0.86,0.86,0.86,0.85,0.85,0.85,0.25,0.0,0.0,19.003811,25.813496,23.450041,
09/30/1998,317.069,317.92,313.572,,5.994496,3.767974,1.301379,0.88,0.88,0.88,0.87,0.87,0.87,0.25,2.781447,2.781447,15.904352,23.920121,21.513576,
12/31/1998,321.123993,320.223999,315.403015,,5.957635,3.771511,1.302702,0.5,0.5,0.87,0.49,0.49,0.86,0.25,-0.866244,-1.126486,18.923638,25.468828,22.986781,
03/31/1999,321.474627,322.36387,318.090071,,5.931958,3.818871,1.401163,0.89,0.89,0.92,0.87,0.87,0.9,0.345,3.822971,3.484743,14.154977,25.3169,22.776665,
06/30/1999,321.632977,322.44849,318.315379,,6.037625,3.939913,1.478267,0.92,0.92,0.97,0.91,0.91,0.96,0.345,1.814735,1.630267,16.178506,25.472099,22.925656,
09/30/1999,319.889489,322.222668,318.238977,,6.137014,3.901392,1.602139,1.01,1.01,1.02,1.0,1.0,1.01,0.345,5.020752,4.886796,15.759702,24.502462,21.903195,
12/31/1999,308.353207,321.174,317.079,,5.912804,3.50519,0.993888,1.36,0.72,0.73,1.35,0.72,0.73,0.345,0.677386,0.525238,17.899493,24.734174,22.124725,
03/31/2000,302.325563,306.738634,303.461233,,6.747752,4.018454,1.668981,1.05,1.05,1.08,1.04,1.04,1.07,0.37,1.629407,1.528574,15.337439,23.513433,20.931194,
06/30/2000,301.931828,302.140506,298.985834,,7.077322,4.057048,1.617822,1.06,1.06,1.1,1.05,1.05,1.09,0.37,-1.429031,-1.562415,14.800983,25.10154,22.449525,
09/30/2000,297.791574,298.558479,295.574838,,7.481858,4.123095,1.657205,1.11,1.11,1.12,1.1,1.1,1.11,0.37,1.739688,1.651054,15.576861,25.849633,23.122629,
12/31/2000,296.266329,300.956,297.834,,7.534056,4.392467,1.618388,1.13,1.13,1.14,1.11,1.11,1.12,0.37,-0.231018,-0.396023,18.197654,27.81014,25.07321,
03/31/2001,291.808,295.832,291.805,,7.778458,4.560498,1.784682,1.16,1.16,1.16,1.14,1.14,1.14,0.4,-1.772506,-1.801289,15.417792,26.834083,23.85767,
06/30/2001,288.512,291.677,287.878,,7.490916,4.674602,1.883652,1.21,1.27,1.25,1.19,1.25,1.23,0.4,-1.45215,-1.539798,16.240371,27.28883,24.345587,
09/30/2001,288.742,289.601,285.57,,7.214855,4.742203,1.853353,1.17,1.17,1.24,1.15,1.15,1.22,0.4,-1.851371,-2.063897,17.761448,28.398705,25.426942,
12/31/2001,288.601607,291.584,287.702,,6.773634,4.788639,1.485624,1.24,1.16,1.08,1.24,1.16,1.08,0.4,-2.648904,-2.74808,20.478209,28.965771,26.154712,
03/31/2002,286.208,287.375,284.055,,6.64703,4.888627,1.666871,1.07,1.07,1.21,1.06,1.06,1.2,0.43,2.260833,2.24515,15.270904,29.968726,24.280146,
06/30/2002,286.397,287.288,283.293,,6.684383,4.995093,1.800521,1.22,1.22,1.22,1.2,1.2,1.2,0.43,1.647757,1.431246,19.21753,31.411914,25.701034,
09/30/2002,285.043,285.991,282.31,,6.558701,4.918338,1.697234,1.21,1.21,1.21,1.2,1.2,1.2,0.43,-0.669321,-0.7935,21.204432,31.042313,25.410015,
12/31/2002,282.504571,286.052,282.495,,6.702858,5.108671,1.333185,1.21,1.21,1.21,1.2,1.2,1.2,0.43,-8.791848,-8.87113,19.675062,31.041961,25.463577,
03/31/2003,280.024,281.33,278.631,,6.337342,4.91736,1.690756,1.18,1.18,1.18,1.17,1.17,1.17,0.45,-0.129799,-0.211111,18.751761,31.062655,25.430424,
06/30/2003,281.393,280.287,277.397,,6.383746,5.186642,1.715646,1.19,1.19,1.19,1.17,1.17,1.17,0.45,2.148257,2.05716,22.240482,32.618804,26.663229,
09/30/2003,281.41,281.567,278.296,,6.296257,5.083781,1.680276,1.19,1.19,1.19,1.18,1.18,1.18,0.45,0.667358,0.489515,16.804563,32.829015,26.822018,
12/31/2003,281.923057,281.434,278.295,,6.406899,5.029268,1.776935,1.23,1.23,1.23,1.21,1.21,1.21,0.45,12.173255,11.956977,18.875271,34.517099,28.425873,
03/31/2004,282.332,283.523,279.523,,6.32846,5.175724,1.780168,1.28,1.28,1.28,1.26,1.26,1.26,0.5,0.977086,0.718832,16.628668,35.739668,29.690538,
06/30/2004,282.727,283.116,279.84,,6.470626,5.375007,1.886414,1.31,1.31,1.31,1.29,1.29,1.29,0.5,3.313776,3.183902,20.391728,35.492426,28.82071,
09/30/2004,283.001181,283.502,280.185,,6.709385,5.369902,1.902111,1.31,1.31,1.31,1.3,1.3,1.3,0.5,5.01095,4.822717,17.044371,35.789663,30.805228,
12/31/2004,360.84071,362.661,357.524,,5.155478,5.155478,1.917401,1.274681,1.274681,1.32,1.256625,1.256625,1.31,0.5,-4.01229,-4.300676,15.211529,44.304588,23.838294,
03/31/2005,361.176868,363.138,358.253,,6.838636,5.151387,2.028667,1.37,1.37,1.37,1.36,1.36,1.36,0.55,-1.142293,-1.280045,16.502812,44.58829,24.042451,
06/30/2005,362.159995,363.642,359.09,,7.280019,5.276165,2.028026,1.3,1.3,1.39,1.28,1.28,1.37,0.55,2.566437,2.507466,16.559057,45.963652,25.52447,
09/30/2005,361.248048,363.854,359.702,,7.855291,5.519989,2.08559,1.42,1.42,1.42,1.4,1.4,1.4,0.55,-6.381235,-6.485099,15.112527,46.277759,25.956439,
12/31/2005,361.984193,363.175,359.203,,8.277389,5.526009,2.050217,1.44,1.44,1.45,1.43,1.43,1.44,0.55,-8.036873,-8.297907,17.419562,46.6523,26.484206,
03/31/2006,363.338615,363.437,359.934,,8.696647,5.641443,2.141095,1.48,1.48,1.48,1.46,1.46,1.46,0.61,14.820625,14.615224,14.721199,47.221647,27.020847,
06/30/2006,364.129209,364.391,361.267,,9.130244,5.658175,2.154252,1.51,1.51,1.51,1.49,1.49,1.49,0.61,-5.785173,-6.010948,14.244372,47.850926,27.744893,
09/30/2006,363.86847,365.121,361.805,,9.042609,5.244715,1.742643,1.48,1.48,1.44,1.47,1.47,1.43,0.61,-0.763712,-0.940883,14.438124,49.713862,29.655021,
12/31/2006,354.902566,358.292,354.677,,9.719539,5.762581,2.070255,1.48,1.48,1.5,1.46,1.46,1.48,0.61,2.593588,2.270316,14.955499,48.784111,28.32403,
03/31/2007,356.504563,357.214,353.448,,9.547721,5.690017,2.03336,1.45,1.45,1.39,1.44,1.44,1.38,0.73,12.494842,12.289533,13.390471,48.999479,28.610049,
06/30/2007,349.0528,356.008,351.987,,9.84038,6.009029,2.156972,1.91,1.91,1.5,1.89,1.89,1.48,0.73,-11.53194,-11.53194,15.540388,48.327511,27.569912,
09/30/2007,348.073971,349.592,346.15,,9.632908,5.810565,1.813844,1.19,1.19,1.29,1.18,1.18,1.28,0.73,9.916478,9.786067,14.826426,50.010195,29.200865,
12/31/2007,348.411163,348.072,345.917,,8.400506,4.696763,-0.319447,0.01,0.01,-0.07,0.01,0.01,-0.07,0.73,-0.223001,-0.447075,16.195236,50.378747,29.612872,
03/31/2008,349.832264,348.072,346.581,,8.953463,5.726324,0.409913,0.82,0.82,0.37,0.81,0.81,0.36,0.77,1.276599,1.177958,15.044481,51.257273,30.647788,
06/30/2008,353.542105,349.783,348.714,,9.892712,7.28413,2.046141,1.53,1.53,1.48,1.53,1.53,1.48,0.77,6.489413,6.352693,15.578529,49.236433,28.575185,
09/30/2008,353.962785,350.97,349.916,,9.204275,6.714817,0.551172,0.88,0.88,0.69,0.88,0.88,0.69,0.77,1.747474,1.333531,12.912451,49.31599,28.684383,
12/31/2008,354.515013,351.882,350.439,,7.721204,5.414066,-1.902394,-1.08,-1.08,-1.07,-1.08,-1.08,-1.07,0.54,1.063634,1.063634,18.722485,48.740114,25.951431,
03/31/2009,356.693099,351.352,351.352,,8.113154,6.214099,-2.740229,-2.49,-2.49,-0.478084,-2.49,-2.49,-0.478084,0.1,-4.939024,-5.073152,19.795726,46.029119,25.247208,
06/30/2009,498.786047,400.633,399.242,,6.925496,5.413589,-0.823613,-0.41,-0.41,-0.33718,-0.41,-0.41,-0.33718,0.1,-4.809341,-4.963869,6.531225,36.156374,20.454522,
09/30/2009,499.146588,494.169,494.169,,4.922553,3.870152,-1.31588,-0.76,-0.76,-0.760195,-0.76,-0.76,-0.760195,0.01,10.868264,10.763332,10.333111,36.055276,20.191163,
12/31/2009,499.157,498.082,494.332,,4.79813,3.881576,-1.027649,-0.64,-0.64,-0.506178,-0.64,-0.64,-0.507933,0.01,4.059353,3.955524,14.017634,35.287495,19.200372,
03/31/2010,499.858,498.0,495.0,,4.589899,3.777778,-0.713131,-0.46,-0.46,-0.474444,-0.46,-0.46,-0.474444,0.01,2.686869,2.589899,12.621585,35.404055,19.15344,
06/30/2010,499.928565,498.499,495.351,,5.091339,4.299981,-0.070657,-0.11,-0.11,-0.030382,-0.11,-0.11,-0.030382,0.01,2.091446,2.008677,9.58772,36.194245,20.659516,
09/30/2010,499.954653,498.802,495.501,,5.350141,4.611494,0.345105,0.17,0.17,0.185267,0.17,0.17,0.185267,0.01,2.988894,2.853677,8.311154,37.00749,21.951365,
12/31/2010,500.436,499.423,495.71,,5.299469,4.635775,0.480119,0.23,0.23,0.235218,0.23,0.23,0.235206,0.01,0.749664,0.553071,10.746629,36.344308,20.570063,
03/31/2011,536.817,504.0,500.0,,4.874,4.264,0.44,0.08,0.08,0.0747,0.08,0.08,0.0747,0.01,3.81,3.808,11.581228,35.488816,20.617827,
06/30/2011,536.907,535.416,531.792,,4.622108,4.082423,0.445663,0.33,0.33,0.325973,0.33,0.33,0.325973,0.01,5.825586,5.808662,12.640923,36.296789,21.616407,
09/30/2011,537.001,535.395,531.928,,4.588967,4.07198,0.486908,0.4,0.4,0.395448,0.39,0.39,0.388786,0.05,1.20505,1.075334,10.242067,37.29602,23.363085,
12/31/2011,536.967,535.717,532.146,,4.25823,3.790313,0.043221,0.13,0.13,0.13,0.13,0.13,0.13,0.05,1.670594,1.570997,8.397164,36.857014,23.148536,
03/31/2012,538.056,536.407,533.1,,4.520728,4.10242,0.617145,0.46,0.46,0.46,0.46,0.46,0.46,0.05,0.191334,0.101294,11.115943,37.107662,23.170451,
06/30/2012,538.398,537.495,533.964,,4.554614,4.146347,0.689185,0.51,0.51,0.521477,0.5,0.5,0.515721,0.05,3.165007,3.045149,12.516763,37.691448,24.104844,
09/30/2012,538.821,538.699,534.506,,7.459224,7.13369,3.062641,1.99,1.99,1.996797,1.98,1.98,1.982413,0.05,-1.58277,-1.68754,10.406053,37.34821,23.865068,
12/31/2012,538.959,539.618,535.012,,4.506441,4.226073,0.790636,0.66,0.66,0.655406,0.65,0.65,0.651205,0.05,1.98874,1.917714,15.320275,37.590986,25.668001,
03/31/2013,540.187,539.862,535.68,,4.147999,3.890382,0.950194,0.64,0.64,0.64,0.63,0.63,0.63,0.05,1.159274,1.107004,11.036919,37.892434,26.00766,
06/30/2013,538.653,539.763,535.172,,4.120171,3.866047,0.982862,0.68,0.68,0.68,0.68,0.68,0.68,0.1,0.192461,0.164433,7.721112,37.653183,25.745703,
09/30/2013,537.549,538.85,533.829,,3.78211,3.536713,0.118015,0.33,0.33,0.728604,0.33,0.33,0.719626,0.1,3.486135,3.371866,7.973227,37.847712,25.926939,
