Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/24/1990,4064.309082,107.111,107.111,0,230.621994,,,1345.447998,,,,,202.979004,,,,,,1886.160034,1878.628052,,,0.0,,299.520996,,,,299.520996,2178.149048,,1025.448975,1025.448975,,,,196.591003,,,,,,747.22406,,,,747.22406,1969.264038,4652.393066,,,,,408.803009,,,408.803009,5061.196075,7030.460114,0,101.749001,,,-440.635986,,-2627.263916,-2966.150902,0.0,-2966.150902,4064.309212,
06/16/1990,4006.028076,103.001999,103.001999,0,235.535004,,,1325.017944,,,,,200.063004,,,,,,1863.618042,1852.896973,,,0.0,,289.513,,,,289.513,2142.409973,,1094.973999,1094.973999,,,,192.227997,,,,,,807.634918,,,,807.634918,2094.836914,4434.256836,,,,,414.39801,,,414.39801,4848.654846,6943.49176,0,101.804001,,,-434.936005,,-2604.332062,-2937.464066,0.0,-2937.464066,4006.027695,
10/06/1990,4115.402832,104.869003,104.869003,0,270.162994,,,1385.192993,,,,,197.921005,,,,,,1958.145996,1866.807007,,,0.0,,290.450012,,,,290.450012,2157.257019,,1191.03894,1191.03894,,,,155.175003,,,,,,802.16716,,,,802.16716,2148.381104,4494.748047,,,,,407.505005,,,407.505005,4902.253052,7050.634155,0,104.249001,,,-435.657013,,-2603.822968,-2935.23098,0.0,-2935.23098,4115.403175,
12/29/1990,4118.541992,54.542999,54.542999,0,276.958008,,,1447.630005,,,,,171.100998,,,,,,1950.232056,1874.19397,3622.724976,-1748.531006,0.0,,294.115997,,,,294.115997,2168.309967,,1197.535034,1197.535034,,,,96.488998,,,,,,768.005021,,,,768.005021,2062.029053,4557.837891,,,,,359.135986,,,359.135986,4916.973877,6979.00293,0,103.778,,,-423.658997,,-2540.580017,-2860.461014,0.0,-2860.461014,4118.541916,
03/23/1991,4108.007812,65.939003,65.939003,0,237.779999,,,1424.125977,,,,,219.261993,,,,,,1947.107056,1862.614014,,,0.0,,298.286987,,,,298.286987,2160.901001,,1157.264038,1157.264038,,,,134.787994,,,,,,714.348969,,,,714.348969,2006.401001,4584.51416,,,,,355.480011,,,355.480011,4939.994171,6946.395172,0,109.738998,,,-412.902008,,-2535.223969,-2838.386978,0.0,-2838.386978,4108.008194,
06/15/1991,4082.699951,85.291,85.291,0,234.953995,,,1402.633057,,,,,206.779999,,,,,,1929.657959,1860.218018,,,0.0,,292.824005,,,,292.824005,2153.042023,,1245.291992,1245.291992,,,,174.339996,,,,,,774.850922,,,,774.850922,2194.48291,4337.0,,,,,354.808014,,,354.808014,4691.808014,6886.290924,0,111.218002,,,-410.18399,,-2504.625092,-2803.59108,0.0,-2803.59108,4082.699844,
10/05/1991,4113.675781,110.191002,110.191002,0,239.016006,,,1456.946045,,,,,200.615005,,,,,,2006.767944,1834.977051,,,0.0,,271.931,,,,271.931,2106.908051,,1256.792969,1256.792969,,,,135.867004,,,,,,760.279968,,,,760.279968,2152.939941,4414.469238,,,,,333.704987,,,333.704987,4748.174225,6901.114166,0,113.113998,,,-410.411987,,-2490.140015,-2787.438004,0.0,-2787.438004,4113.676163,
12/28/1991,4114.351074,3.973,3.973,0,261.080994,,,1542.258057,,,,,184.649994,,,,,,1991.962036,1856.748047,3753.028076,-1896.280029,0.0,,265.640991,,,,265.640991,2122.389038,,1267.69397,1267.69397,,,,80.283997,,,,,,738.976135,,,,738.976135,2086.954102,4407.76416,,,,,368.81601,,,368.81601,4776.58017,6863.534272,0,121.970001,,,-410.428009,,-2460.725067,-2749.183075,0.0,-2749.183075,4114.351197,
03/21/1992,4077.012939,81.598999,81.598999,0,249.039993,,,1434.452026,,,,,220.085007,,,,,,1985.176025,1833.046997,,,0.0,,258.790009,,,,258.790009,2091.837006,,1274.876953,1274.876953,,,,106.290001,,,,,,748.527138,,,,748.527138,2129.694092,4357.350098,,,,,337.595001,,,337.595001,4694.945099,6824.639191,0,119.997002,,,-397.605011,,-2470.018036,-2747.626045,0.0,-2747.626045,4077.013145,
06/13/1992,4044.337891,62.377998,62.377998,0,229.554993,,,1450.494019,,,,,216.658005,,,,,,1959.084961,1827.668945,,,0.0,,257.584015,,,,257.584015,2085.25296,,1236.05603,1236.05603,,,,125.863998,,,,,,785.149063,,,,785.149063,2147.069092,4387.876953,,,,,276.299011,,,276.299011,4664.175964,6811.245056,0,116.921997,,,-384.442993,,-2499.386108,-2766.907104,0.0,-2766.907104,4044.337952,
