Date,Revenue,Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A of Non-Real Estate Assets,Impairment of Assets,Income from Uncon JVs,Disposal of Con Assets,Abnormal Losses/(Gains),Income Taxes from Sale of Assets,Deficit/Distributions to Partners,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Stock-Based Compensation,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/26/1999,179.0,171.0,,,,8.0,-135.0,58.0,7.0,68.0,,,2.0,44.0,-95.0,108.0,-1.0,-12.0,-51.0,-1.0,,,,,-52.0,,-44.0,,,-44.0,-44.0,,,-0.185564,-0.185564,-0.185564,,-0.185564,-0.185564,-0.185564,,,,,,,,,,,,91.0,,91.0,,91.0,,,0.976654,,,0.0,
06/18/1999,198.0,187.0,0.0,0.0,0.0,11.0,-151.0,62.0,8.0,67.0,1.0,,13.0,47.0,-96.0,101.0,-1.0,-4.0,-49.0,0.0,,-13.0,,,-36.0,,-31.0,,,-31.0,-31.0,,232.835763,-0.136732,-0.185564,-0.185564,298.979968,-0.136732,-0.185564,-0.185564,,,,,,,,,,,,152.0,,152.0,,152.0,0.508395,0.508395,0.205097,40.342104,40.342104,31.417106,
09/10/1999,200.0,188.0,0.0,0.0,0.0,12.0,-136.0,62.0,5.0,68.0,1.0,,0.0,64.0,-95.0,98.0,-3.0,0.0,-31.0,0.0,,-4.0,,,-27.0,,-28.0,,,-29.0,-29.0,,233.757286,-0.126965,-0.146498,-0.146498,300.311031,-0.126965,-0.146498,-0.146498,,,,,,,,,,,,112.0,,112.0,,112.0,0.372947,0.372947,0.205097,54.993746,54.993746,42.712501,
12/31/1999,401.0,410.0,0.0,0.0,0.0,0.0,-292.0,175.0,0.0,88.0,-15.0,,44.0,111.0,-189.0,132.0,-11.0,68.0,-78.0,0.0,,2.0,,,-80.0,,32.0,,,32.0,32.0,,230.992749,0.273463,0.291043,0.291043,349.458423,0.263697,0.232444,0.232444,,,,,,,,,,,,177.0,,177.0,,177.0,0.506498,0.506498,0.205097,40.493219,40.493219,9.37966,
03/24/2000,184.0,173.0,,,,11.0,-69.0,59.0,10.0,74.0,,,6.0,35.0,-102.0,103.0,,-1.0,-67.0,-1.0,,,,,-68.0,,-57.0,,4.0,-58.0,-58.0,,226.692346,-0.25393,-0.25393,-0.25393,292.631763,-0.25393,-0.25393,-0.25393,,,,,,,,,,,,92.0,,92.0,,92.0,0.314388,0.314388,0.205097,65.236957,65.236957,50.536957,
06/16/2000,186.0,183.0,0.0,0.0,0.0,3.0,-164.0,73.0,0.0,75.0,2.0,,14.0,22.0,-84.0,97.0,-3.0,-10.0,-62.0,0.0,,3.0,,,-65.0,,-53.0,,,-58.0,-58.0,,225.361277,-0.25393,-0.25393,-0.25393,290.993529,-0.25393,-0.25393,-0.25393,,,,,,,,,,,,177.0,,177.0,,177.0,0.608261,0.608261,0.205097,33.718644,33.718644,26.184746,
09/08/2000,227.0,227.0,0.0,0.0,0.0,0.0,-160.0,73.0,0.0,75.0,4.0,,8.0,76.0,-97.0,100.0,-2.0,-1.0,-21.0,0.0,,0.0,,,-21.0,,-17.0,,,-22.0,-22.0,,225.770832,-0.097665,-0.097665,-0.097665,291.198291,-0.097665,-0.097665,-0.097665,,,,,,,,,,,,133.0,,133.0,,133.0,0.456733,0.456733,0.22463,49.181955,49.181955,38.131579,
12/31/2000,833.0,812.0,0.0,0.0,0.0,21.0,-329.0,57.0,0.0,107.0,-104.0,,269.0,487.0,-105.0,140.0,-32.0,-3.0,382.0,0.0,,0.0,,,382.0,,283.0,,0.0,278.0,278.0,,225.873229,1.230584,1.230584,1.230584,294.884352,1.113386,1.113386,1.113386,,,,,,,,,,,,281.0,,281.0,,281.0,0.952916,0.952916,0.25393,26.647687,26.647687,20.417083,
03/23/2001,877.0,550.0,,,,327.0,-720.0,321.0,8.0,77.0,,,314.0,157.0,-107.0,110.0,-2.0,-1.0,50.0,-3.0,,,,,47.0,,32.0,,,27.0,27.0,,234.576413,0.117198,0.117198,0.117198,296.010653,0.117198,0.117198,0.117198,,,,,,,,,,,,101.0,,101.0,,101.0,0.341204,0.341204,0.25393,74.421781,74.421781,58.976239,
06/15/2001,988.0,620.0,,,,368.0,-818.0,353.0,9.0,102.0,,,354.0,170.0,-98.0,112.0,-2.0,-12.0,72.0,-12.0,,,,,60.0,,49.0,,,40.0,40.0,,246.760864,0.166031,0.166031,0.166031,304.61144,0.156265,0.156265,0.156265,,,,,,,,,,,,142.0,,142.0,,142.0,0.466168,0.466168,0.25393,54.471829,54.471829,44.12676,
