Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1994,19.955999,35.130001,10.774,,2.064,,,,2.064,-28.011999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,-26.677,34.602001,11.613,,-6.072,,,,-6.072,-66.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,15.455,-0.994,8.167,,72.0,,,,72.0,-63.717999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,50.380001,26.525,16.346001,,-85.838997,,,,-85.838997,93.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1995,89.056999,25.108999,16.122999,,1.363,,,,1.363,46.462002,,,,,-18.976999,,-18.976999,,,,,,,,,,,,,,,,,,18.976999,,,,,,,,,,,,,,,,,
06/30/1995,-48.355,29.646,24.728001,,-6.54,,,,-6.54,-96.189003,,,,,-6.672,,-6.672,,,,,,,,,,,,,,,,,,6.672,,,,,,,,,,,,,,,,,
09/30/1995,-29.662001,33.948002,27.358999,,88.935997,,,,88.935997,-179.904999,,,,,-18.940001,,-18.940001,,,,,,,,,,,,,,,,,,18.940001,,,,,,,,,,,,,,,,,
12/31/1995,106.690002,37.807999,31.108999,,-88.424004,,,,-88.424004,126.196999,,,,-17.034,-17.034,,-17.034,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,89.656002,,,
03/31/1996,58.580002,38.013,35.497002,,-1.945,,,,-1.945,-12.985,,,,,-11.38,,-11.38,,,,,,,,,,,,,,,,,,11.38,,,,,,,,,,,,,,,,,
06/30/1996,75.549004,38.182999,36.355999,,0.087,,,,0.087,0.923,,,,,-22.406,,-22.406,,,,,,,,,,,,,,,,,,22.406,,,,,,,,,,,,,,,,,
