Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
07/31/1989,539.672974,173.118,18.285999,154.832001,78.998001,,,0.0,,,,,40.5,,,,,,,292.615997,91.664001,,,65.272003,,,90.121002,,,,90.121002,247.057007,,37.412998,37.412998,,,0.096,,,,,,44.934003,,,44.934003,82.443001,4.689,,,,,22.775,,,,,,22.775,27.464,109.907001,0.0,70.716003,,,-8.778,,367.827988,429.765991,0.0,429.765991,539.672992,
10/31/1989,554.617004,168.312996,26.096001,142.216995,83.285004,,,0.0,,,,,44.186001,,,,,,,295.783997,92.919998,,,73.899002,,,92.014,,,,92.014,258.833,,44.742001,44.742001,,,0.089,,,,,,35.326997,,,35.326997,80.157997,4.674,,,,,23.007,,,,,,23.007,27.681,107.838997,0.0,96.151001,,,0.0,,350.627014,446.778015,0.0,446.778015,554.617012,
01/31/1990,563.973022,56.037001,38.729,17.308001,180.317993,,,0.0,,,,,60.611,,,,,,,296.966003,97.428001,,,73.389999,,,96.189003,,,,96.189003,267.007004,,54.002998,54.002998,,,64.024002,,,,,,32.056999,,,32.056999,150.084,4.674,,,,,20.489,,,,,,20.489,25.163,175.247,0.0,97.458,,,-38.837002,,330.105007,388.726006,0.0,388.726006,563.973005,
04/30/1990,941.530029,239.782997,43.152,196.630997,368.964996,,,0.0,,,,,33.464001,,,,,,,642.211975,97.110001,210.531006,-113.420998,102.933998,,,99.274002,,,,99.274002,299.318001,,55.59,55.59,,,240.613998,,,,,,115.598003,,,115.598003,411.802002,4.937,,,,,21.443001,,,,,,21.443001,26.380001,438.182003,0.0,96.794998,,,-37.359001,,443.91201,503.348007,0.0,503.348007,941.53001,
07/31/1990,615.572998,197.709003,35.588001,162.121002,82.844002,,,0.0,,,,,35.965,,,,,,,316.518005,95.028,,,102.455002,,,101.571999,,,,101.571999,299.055001,,46.646,46.646,,,0.252,,,,,,53.263003,,,53.263003,100.161003,4.937,,,,,23.785999,,,,,,23.785999,28.722999,128.884002,0.0,95.339996,,,-33.633999,,424.982998,486.688995,0.0,486.688995,615.572997,
10/31/1990,574.586975,123.006,29.952999,93.053001,85.947998,,,0.0,,,,,45.797001,,,,,,,254.751007,95.459,,,122.197998,,,102.179001,,,,102.179001,319.835999,,53.014999,53.014999,,,1.252,,,,,,31.412002,,,31.412002,85.679001,3.922,,,,,24.886999,,,,,,24.886999,28.808999,114.488,0.0,93.183998,,,-32.146999,,399.062008,460.099007,0.0,460.099007,574.587007,
01/31/1991,675.424011,45.804001,44.769001,1.035,219.203995,,,0.0,,,,,53.540001,,,,,,,318.548004,101.466003,,,113.096001,,,142.313995,,,,142.313995,356.875999,,60.909,60.909,,,108.344002,,,,,,35.720997,,,35.720997,204.973999,3.922,,,,,29.271999,,,,,,29.271999,33.193999,238.167998,0.0,91.170998,,,-27.323999,,373.40899,437.255989,0.0,437.255989,675.423987,
04/30/1991,1035.781006,228.219002,36.696999,191.522003,392.411987,,,0.0,,,,,27.351999,,,,,,,647.982971,108.264999,232.949997,-124.684998,126.696999,,,152.835999,,,,152.835999,387.797997,,69.709,69.709,,,228.518997,,,,,,139.11499,,,139.11499,437.342987,0.0,,,,,24.849001,,,,,,24.849001,24.849001,462.191988,0.0,91.311996,,,-25.000999,,507.278007,573.589004,0.0,573.589004,1035.780992,
07/31/1991,704.940002,183.162998,22.062,161.100998,99.125,,,0.0,,,,,37.155998,,,,,,,319.444,105.648003,,,127.343002,,,152.505005,,,,152.505005,385.49601,,48.124001,48.124001,,,4.972,,,,,,75.431999,,,75.431999,128.528,0.0,,,,,26.385,,,,,,26.385,26.385,154.913,0.0,89.918999,,,-20.847,,480.955002,550.027001,0.0,550.027001,704.940001,
10/31/1991,694.674011,164.026997,33.952,130.074997,96.758003,,,0.0,,,,,44.258999,,,,,,,305.044006,107.495003,,,126.545998,,,155.589005,,,,155.589005,389.630006,,50.959,50.959,,,0.356,,,,,,45.341998,,,45.341998,96.656998,0.0,,,,,27.122999,,,,,,27.122999,27.122999,123.779997,0.0,114.181999,,,0.0,,456.712006,570.894005,0.0,570.894005,694.674002,
