Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1994,95.300003,,,-74.103996,,21.196007,,-11.784,,,,9.412,-2.136,,3.156,0.0,-1.02,7.276,-2.558,4.718,4.641,,,0.077,0.0,0.077,0.0,,0.077,0.077,,41.553001,0.0,0.11,,41.553001,0.0,0.11,0.11,
06/30/1994,136.656006,,,-96.205002,,40.451004,,-11.423,,,,29.028,-0.401,,1.079,0.0,-0.678,28.627,-10.116,18.511,0.0,,,18.511,0.0,18.511,0.0,,18.511,18.511,,46.147999,0.4,0.4,,46.147999,0.4,0.4,0.4,
09/30/1994,144.621002,,,-100.005997,,44.615005,,-10.853,,,,33.762001,0.585,,1.304,0.0,-1.889,34.347001,-12.243,22.104,0.0,,,22.104001,0.0,22.104,0.0,,22.104,22.104,,46.147999,0.48,0.48,,46.147999,0.48,0.48,0.48,
12/31/1994,125.083,,,-92.202003,,32.880997,,-13.196,,,,19.684999,0.485,,1.326,0.0,-1.811,20.169999,-7.158,13.012,0.0,,,13.011999,0.0,13.012,0.0,,13.012,13.012,,46.099998,0.28,0.28,,46.099998,0.28,0.28,0.28,
03/31/1995,129.942001,,,-100.869003,,29.072998,,-14.549,,,,14.524,-1.849,,2.112,0.0,-0.263,12.675,-4.446,8.229,0.0,,,8.229,0.0,8.229,0.0,,8.229,8.229,,46.078999,0.18,0.18,,46.078999,0.18,0.18,0.18,
06/30/1995,175.914001,,,-129.664001,,46.25,,-15.158,,,,31.091999,-0.07,,2.382,0.0,-2.312,31.021999,-11.065,19.957001,0.0,,,19.957,0.0,19.957001,0.0,,19.957001,19.957001,,46.078999,0.43,0.43,,46.078999,0.43,0.43,0.43,
09/30/1995,191.093994,,,-139.334,,51.759995,,-14.735,,,,37.025002,-0.682,,2.457,0.0,-1.775,36.343001,-12.918,23.424999,0.0,,,23.425001,0.0,23.424999,0.0,,23.424999,23.424999,,46.078999,0.51,0.51,,46.078999,0.51,0.51,0.51,
12/31/1995,167.455994,,,-127.375,,40.080994,,-15.157,,,,24.924,-1.173,,2.782,0.0,-1.609,23.751,-7.811,15.94,0.0,,,15.94,0.0,15.94,0.0,,15.94,15.94,,46.099998,0.35,0.35,,46.099998,0.35,0.35,0.35,
03/31/1996,136.546997,,,-112.741997,,23.805,,-15.211,,,,8.594,-2.004,,3.174,0.0,-1.17,6.59,-2.253,4.337,0.0,,,4.337,0.0,4.337,0.0,,4.337,4.337,,46.078999,0.09,0.09,0.09,46.078999,0.09,0.09,0.09,
06/30/1996,200.438004,,,-145.108002,,55.330002,,-15.474,,,,39.855999,0.67,,2.522,0.0,-3.192,40.525999,-13.719,26.806999,0.0,,,26.806999,0.0,26.806999,0.0,,26.806999,26.806999,,46.078999,0.58,0.58,0.58,46.078999,0.58,0.58,0.58,
