Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,42.044998,-42.827999,-0.783001,-14.311,-15.094,-12.368,11.661,-15.801,4.978,-10.823,0.0,,-10.823,-1.28,,-12.103,,,-12.102999,,-0.365,-0.365,33.116001,-0.365,-0.365,-0.365,33.116001,
06/30/1990,71.247002,-59.830002,11.417,-11.91,-0.493,-11.834,18.445999,6.119,-4.576,1.543,0.0,,1.543,-1.279,,0.264,,,0.263999,,0.01,0.01,33.118,0.01,0.01,0.01,33.118,
09/30/1990,77.311996,-67.094002,10.217995,-13.081,-2.863,-11.227,12.959,-1.131001,-1.548,-2.679,0.0,,-2.679,-1.279,,-3.958,,,-3.958001,,-0.12,-0.12,33.118,-0.12,-0.12,-0.12,33.118,
12/31/1990,63.245998,-56.346001,6.899997,-16.336,-9.436,-8.376,-59.869999,-77.681999,22.902,-54.779999,0.0,0.0,-54.779999,-1.281,0.0,-56.060999,,,-56.060999,-1.695,-1.695,-1.695,33.118778,-1.695,-1.695,-1.695,33.118778,
03/31/1991,33.766998,-35.991001,-2.224003,-9.696,-11.92,-0.812,1.54,-11.192,3.028,-8.164,0.0,,-8.164,-1.279,,-9.443,,,-9.443,,-0.285,-0.285,33.122002,-0.285,-0.285,-0.285,33.122002,
06/30/1991,73.477997,-63.284,10.193996,-9.422,0.772,-0.729,7.575,7.618,-2.221,5.397,0.0,,5.397,-1.28,,4.117,,,4.117,,0.125,0.125,33.133999,0.125,0.125,0.125,33.133999,
09/30/1991,74.889,-67.293999,7.595001,-10.22,-2.625,-1.534,11.192,7.033,-3.749,3.284,0.0,,3.284,-1.279,,2.005,,,2.005,,0.06,0.06,33.175999,0.06,0.06,0.06,33.175999,
12/31/1991,56.557999,-62.917999,-6.36,-12.799,-19.159,-0.227,11.881,-7.505,1.441,-6.064,0.0,,-6.064,-1.276,0.0,-7.34,,,-7.34,-0.22,-0.22,-0.22,33.226456,-0.22,-0.22,-0.22,33.226456,
03/31/1992,33.5,-36.494999,-2.994999,-10.351,-13.346,-0.666,6.105,-7.907,-2.738,-10.645,-118.913995,,-129.559006,-1.2787,,-130.837706,,,-11.9237,,-0.36,-3.935,33.265999,-0.36,-0.36,-3.935,33.265999,
07/01/1992,64.684998,-59.153,5.531998,-9.826,-4.294,-0.598,12.695,7.803,-4.664,3.139,0.0,,3.139,-1.279,,1.86,,,1.859999,,0.055,0.055,33.285999,0.055,0.055,0.055,33.285999,
09/30/1992,73.400002,-62.386002,11.014,-9.938,1.076,-0.516,-33.330002,-32.770002,-4.077,-36.847,0.0,,-36.847,-1.278,,-38.125,,,-38.125002,,-1.145,-1.145,33.285999,-1.145,-1.145,-1.145,33.285999,
12/31/1992,58.513,-56.536999,1.976001,-10.702,-8.726,-0.43,11.08,1.924,-2.999,-1.075,0.0,,-1.075,-1.277,0.0,-2.352,,,-2.352,-0.065,-0.065,-0.065,33.284,-0.065,-0.065,-0.065,33.284,
03/31/1993,32.476997,-35.084999,-2.608002,-10.206,-12.814002,-0.474,1.591,-11.697002,-1.878,-13.575003,-0.925,,-14.500002,-1.278,,-15.778002,,,-14.853002,,-0.445,-0.475,33.287998,-0.445,-0.445,-0.475,33.287998,
