company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheroperatingexpenses,rdexpense,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
IDEXX Laboratories Inc,IDXX,OGMTXK0LUU1HKV2P0J84,874716,2008.0,FY,2008-01-01,2008-12-31,2011-02-22 16:14:02+00:00,1.94,1.94,,1.87,,54018000.0,169956000.0,116169000.0,116169000.0,116169000.0,,494264000.0,1024030000.0,,70673000.0,116681000.0,494264000.0,529766000.0,4589000.0,2320000.0,357310000.0,172456000.0,-2269000.0,170187000.0,1024030000.0,59900000.0,59953000.0,62249000.0
IDEXX Laboratories Inc,IDXX,OGMTXK0LUU1HKV2P0J84,874716,2009.0,FY,2009-01-01,2009-12-31,2012-02-17 16:45:32+00:00,2.08,2.08,,2.01,,52304000.0,167748000.0,122235000.0,122235000.0,122225000.0,10000.0,505352000.0,1031633000.0,,65124000.0,117440000.0,505352000.0,526281000.0,1916000.0,486000.0,350312000.0,175969000.0,-1430000.0,174539000.0,1031633000.0,58800000.0,58809000.0,60682000.0
IDEXX Laboratories Inc,IDXX,OGMTXK0LUU1HKV2P0J84,874716,2009.0,Q3,2009-07-01,2009-09-30,2010-10-22 15:59:12+00:00,0.54,0.54,,0.52,,12281000.0,41504000.0,31536000.0,31536000.0,31536000.0,,128643000.0,259120000.0,,16583000.0,28185000.0,128643000.0,130477000.0,436000.0,48000.0,86272000.0,44205000.0,-388000.0,43817000.0,259120000.0,58400000.0,58656000.0,60668000.0
IDEXX Laboratories Inc,IDXX,OGMTXK0LUU1HKV2P0J84,874716,2009.0,Q2,2009-04-01,2009-06-30,2010-07-23 14:01:41+00:00,0.57,0.57,,0.55,,15106000.0,41876000.0,33667000.0,33667000.0,33667000.0,,127283000.0,265723000.0,,16594000.0,30794000.0,127283000.0,138440000.0,459000.0,56000.0,89264000.0,49176000.0,-403000.0,48773000.0,265723000.0,59100000.0,58911000.0,60697000.0
IDEXX Laboratories Inc,IDXX,OGMTXK0LUU1HKV2P0J84,874716,2010.0,Q4,2010-10-01,2010-12-31,,0.64,0.64,,0.61,,14086000.0,46557000.0,36380000.0,36380000.0,36371000.0,9000.0,138986000.0,283757000.0,,17479000.0,29931000.0,138986000.0,144771000.0,674000.0,336000.0,93967000.0,50804000.0,-338000.0,50466000.0,283757000.0,57700000.0,57713000.0,59559000.0
IDEXX Laboratories Inc,IDXX,OGMTXK0LUU1HKV2P0J84,874716,2010.0,FY,2010-01-01,2010-12-31,2013-02-19 16:52:21+00:00,2.45,2.45,,2.37,,60809000.0,179626000.0,141320000.0,141320000.0,141284000.0,36000.0,524769000.0,1103392000.0,,68597000.0,126519000.0,524769000.0,578623000.0,2415000.0,663000.0,374742000.0,203881000.0,-1752000.0,202129000.0,1103392000.0,57700000.0,57713000.0,59559000.0
IDEXX Laboratories Inc,IDXX,OGMTXK0LUU1HKV2P0J84,874716,2010.0,Q3YTD,2010-01-01,2010-09-30,,1.81,1.81,,1.76,,46723000.0,133069000.0,104940000.0,104940000.0,104913000.0,27000.0,385783000.0,819635000.0,,51118000.0,96588000.0,385783000.0,433852000.0,1741000.0,327000.0,280775000.0,153077000.0,-1414000.0,151663000.0,819635000.0,57800000.0,57620000.0,59276000.0
IDEXX Laboratories Inc,IDXX,OGMTXK0LUU1HKV2P0J84,874716,2010.0,Q3,2010-07-01,2010-09-30,2011-10-21 15:44:16+00:00,0.6,0.6,,0.59,,14548000.0,44486000.0,34715000.0,34715000.0,34694000.0,21000.0,127421000.0,269628000.0,,17203000.0,30704000.0,127421000.0,142207000.0,687000.0,136000.0,92393000.0,49814000.0,-551000.0,49263000.0,269628000.0,57800000.0,57620000.0,59276000.0
IDEXX Laboratories Inc,IDXX,OGMTXK0LUU1HKV2P0J84,874716,2010.0,Q2YTD,2010-01-01,2010-06-30,,1.21,1.21,,1.17,,32175000.0,88583000.0,70225000.0,70225000.0,70219000.0,6000.0,258362000.0,550007000.0,,33915000.0,65884000.0,258362000.0,291645000.0,1054000.0,191000.0,188382000.0,103263000.0,-863000.0,102400000.0,550007000.0,58100000.0,57747000.0,59646000.0
IDEXX Laboratories Inc,IDXX,OGMTXK0LUU1HKV2P0J84,874716,2010.0,Q2,2010-04-01,2010-06-30,2011-07-22 12:03:55+00:00,0.64,0.64,,0.62,,17087000.0,44167000.0,37197000.0,37197000.0,37193000.0,4000.0,132198000.0,281482000.0,,17206000.0,33076000.0,132198000.0,149284000.0,689000.0,138000.0,94449000.0,54835000.0,-551000.0,54284000.0,281482000.0,58100000.0,57747000.0,59646000.0
