company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstonetincometocommon,otheroperatingexpenses,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Campbell Soup Co,CPB,5493007JDSMX8Z5Z1902,16732,2008.0,FY,2007-07-30,2008-08-03,2010-09-29 16:34:19+00:00,3.06,3.06,0.88,3.03,268000000.0,1162000000.0,1165000000.0,671000000.0,494000000.0,1165000000.0,,4827000000.0,7998000000.0,,,115000000.0,175000000.0,621000000.0,4827000000.0,3171000000.0,167000000.0,8000000.0,2073000000.0,1098000000.0,-159000000.0,939000000.0,7998000000.0,380700000.0,373000000.0,377000000.0
Campbell Soup Co,CPB,5493007JDSMX8Z5Z1902,16732,2009.0,FY,2008-08-04,2009-08-02,2010-09-29 16:34:19+00:00,2.06,2.06,1.0,2.05,347000000.0,1077000000.0,736000000.0,732000000.0,4000000.0,736000000.0,,4558000000.0,7586000000.0,,,114000000.0,0.0,652000000.0,4558000000.0,3028000000.0,110000000.0,4000000.0,1843000000.0,1185000000.0,-106000000.0,1079000000.0,7586000000.0,357300000.0,352000000.0,354000000.0
Campbell Soup Co,CPB,5493007JDSMX8Z5Z1902,16732,2009.0,Q4,2009-05-04,2009-08-02,,0.21,0.21,0.25,0.22,53000000.0,209000000.0,69000000.0,69000000.0,,69000000.0,,893000000.0,1528000000.0,,,31000000.0,,250000000.0,893000000.0,635000000.0,25000000.0,2000000.0,490000000.0,145000000.0,-23000000.0,122000000.0,1528000000.0,357300000.0,352000000.0,354000000.0
Campbell Soup Co,CPB,5493007JDSMX8Z5Z1902,16732,2009.0,Q3YTD,2008-08-04,2009-05-03,,1.85,1.85,0.75,1.83,294000000.0,868000000.0,667000000.0,663000000.0,4000000.0,667000000.0,,3665000000.0,6058000000.0,,,83000000.0,,402000000.0,3665000000.0,2393000000.0,85000000.0,2000000.0,1353000000.0,1040000000.0,-83000000.0,957000000.0,6058000000.0,355100000.0,350000000.0,351000000.0
Campbell Soup Co,CPB,5493007JDSMX8Z5Z1902,16732,2009.0,Q3,2009-02-02,2009-05-03,2010-06-10 15:50:36+00:00,0.49,0.49,0.25,0.49,86000000.0,246000000.0,174000000.0,174000000.0,,174000000.0,,1001000000.0,1686000000.0,,,27000000.0,,126000000.0,1001000000.0,685000000.0,26000000.0,0.0,399000000.0,286000000.0,-26000000.0,260000000.0,1686000000.0,355100000.0,350000000.0,351000000.0
Campbell Soup Co,CPB,5493007JDSMX8Z5Z1902,16732,2009.0,Q2YTD,2008-08-04,2009-02-01,,1.36,1.36,0.5,1.34,208000000.0,622000000.0,493000000.0,489000000.0,4000000.0,493000000.0,,2664000000.0,4372000000.0,,,56000000.0,,276000000.0,2664000000.0,1708000000.0,59000000.0,2000000.0,954000000.0,754000000.0,-57000000.0,697000000.0,4372000000.0,358500000.0,355000000.0,358000000.0
Campbell Soup Co,CPB,5493007JDSMX8Z5Z1902,16732,2009.0,Q2,2008-11-03,2009-02-01,2010-03-10 08:51:37+00:00,0.65,0.65,0.25,0.64,101000000.0,315000000.0,233000000.0,229000000.0,4000000.0,233000000.0,,1285000000.0,2122000000.0,,,27000000.0,,140000000.0,1285000000.0,837000000.0,26000000.0,1000000.0,482000000.0,355000000.0,-25000000.0,330000000.0,2122000000.0,358500000.0,355000000.0,358000000.0
Campbell Soup Co,CPB,5493007JDSMX8Z5Z1902,16732,2009.0,Q1,2008-08-04,2008-11-02,2009-12-10 08:53:40+00:00,0.71,0.71,0.25,0.7,107000000.0,307000000.0,260000000.0,260000000.0,,260000000.0,,1379000000.0,2250000000.0,,,29000000.0,,136000000.0,1379000000.0,871000000.0,33000000.0,1000000.0,472000000.0,399000000.0,-32000000.0,367000000.0,2250000000.0,366200000.0,357000000.0,362000000.0
Campbell Soup Co,CPB,5493007JDSMX8Z5Z1902,16732,2010.0,Q4,2010-05-03,2010-08-01,,0.34,0.34,0.27,0.32,48000000.0,221000000.0,113000000.0,113000000.0,,113000000.0,,905000000.0,1518000000.0,,,35000000.0,,170000000.0,905000000.0,613000000.0,28000000.0,2000000.0,426000000.0,187000000.0,-26000000.0,161000000.0,1518000000.0,345900000.0,340000000.0,343000000.0
Campbell Soup Co,CPB,5493007JDSMX8Z5Z1902,16732,2010.0,FY,2009-08-03,2010-08-01,2012-09-27 09:03:28+00:00,2.44,2.44,1.075,2.42,398000000.0,1058000000.0,844000000.0,844000000.0,,844000000.0,0.0,4526000000.0,7676000000.0,,,123000000.0,12000000.0,609000000.0,4526000000.0,3150000000.0,112000000.0,6000000.0,1802000000.0,1348000000.0,-106000000.0,1242000000.0,7676000000.0,345900000.0,340000000.0,343000000.0
