company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otherspecialcharges,preferreddividends,rdexpense,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Merck & Co Inc,MRK,,310158,2007.0,FY,2007-01-01,2007-12-31,2010-03-01 07:33:21+00:00,1.51,1.51,1.52,1.49,95300000.0,3396800000.0,3396800000.0,3275400000.0,121400000.0,6140700000.0,24197700000.0,75200000.0,4850000000.0,0.0,4882800000.0,327100000.0,7556700000.0,6140700000.0,18057000000.0,2976500000.0,17616600000.0,440400000.0,3051700000.0,3492100000.0,24197700000.0,2169100000.0,2169100000.0,2198300000.0
Merck & Co Inc,MRK,,310158,2008.0,FY,2008-01-01,2008-12-31,2011-02-28 08:05:34+00:00,3.65,3.65,1.52,3.63,1999000000.0,7932000000.0,7932000000.0,7808000000.0,124000000.0,5583000000.0,23850000000.0,2318000000.0,,,4805000000.0,1033000000.0,7377000000.0,5583000000.0,18267000000.0,2561000000.0,13215000000.0,5052000000.0,4879000000.0,9931000000.0,23850000000.0,2136000000.0,2136000000.0,2136000000.0
Merck & Co Inc,MRK,,310158,2008.0,Q3,2008-07-01,2008-09-30,2009-10-29 16:33:24+00:00,0.35,0.35,0.065,0.35,44000000.0,614000000.0,614000000.0,576000000.0,,1737000000.0,4576000000.0,39000000.0,,38000000.0,893000000.0,101000000.0,1660000000.0,1737000000.0,2839000000.0,434000000.0,2654000000.0,185000000.0,473000000.0,658000000.0,4576000000.0,1645700000.0,1645700000.0,1645700000.0
Merck & Co Inc,MRK,,310158,2008.0,Q2,2008-04-01,2008-06-30,2009-07-24 16:45:16+00:00,0.26,0.26,0.065,0.26,40000000.0,462000000.0,462000000.0,424000000.0,,1908000000.0,4921000000.0,-134000000.0,,38000000.0,906000000.0,94000000.0,1870000000.0,1908000000.0,3013000000.0,493000000.0,2870000000.0,143000000.0,359000000.0,502000000.0,4921000000.0,1630800000.0,1630800000.0,1630800000.0
Merck & Co Inc,MRK,,310158,2009.0,FY,2009-01-01,2009-12-31,2012-02-28 13:09:51+00:00,5.67,5.67,1.52,5.65,2268000000.0,13022000000.0,13022000000.0,12899000000.0,123000000.0,9019000000.0,27428000000.0,10668000000.0,,,5845000000.0,1634000000.0,8543000000.0,9019000000.0,18409000000.0,2235000000.0,16022000000.0,2387000000.0,12903000000.0,15290000000.0,27428000000.0,2268000000.0,2268000000.0,2268000000.0
Merck & Co Inc,MRK,,310158,2009.0,Q4,2009-10-01,2009-12-31,,2.64,2.64,0.38,2.63,-59700000.0,6522600000.0,6522600000.0,6493400000.0,29200000.0,4901000000.0,10093200000.0,7813300000.0,,,1971500000.0,1489900000.0,3455100000.0,4901000000.0,5192200000.0,373900000.0,6916500000.0,-1724300000.0,8187200000.0,6462900000.0,10093200000.0,2268000000.0,2268000000.0,2268000000.0
Merck & Co Inc,MRK,,310158,2009.0,Q3YTD,2009-01-01,2009-09-30,,3.03,3.03,1.14,3.02,2327700000.0,6499400000.0,6499400000.0,6405600000.0,93800000.0,4118000000.0,17334800000.0,2854700000.0,,,3873500000.0,144100000.0,5087900000.0,4118000000.0,13216800000.0,1861100000.0,9105500000.0,4111300000.0,4715800000.0,8827100000.0,17334800000.0,2109100000.0,2109100000.0,2109100000.0
Merck & Co Inc,MRK,,310158,2009.0,Q3,2009-07-01,2009-09-30,2010-11-08 07:47:43+00:00,1.62,1.62,0.38,1.61,1621500000.0,3455300000.0,3455300000.0,3424300000.0,31000000.0,1430300000.0,6049700000.0,2791100000.0,,,1254000000.0,42400000.0,1725500000.0,1430300000.0,4619400000.0,688200000.0,3021900000.0,1597500000.0,3479300000.0,5076800000.0,6049700000.0,2109100000.0,2109100000.0,2109100000.0
Merck & Co Inc,MRK,,310158,2009.0,Q2YTD,2009-01-01,2009-06-30,,1.41,1.41,0.76,1.41,706200000.0,3044100000.0,3044100000.0,2981300000.0,62800000.0,2687700000.0,11285100000.0,63600000.0,,,2619500000.0,101700000.0,3362400000.0,2687700000.0,8597400000.0,1172900000.0,6083600000.0,2513800000.0,1236500000.0,3750300000.0,11285100000.0,2108700000.0,2108700000.0,2108700000.0
Merck & Co Inc,MRK,,310158,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 16:24:30+00:00,0.74,0.74,0.38,0.74,379000000.0,1588300000.0,1588300000.0,1556300000.0,32000000.0,1353900000.0,5899900000.0,-3600000.0,,,1395300000.0,37400000.0,1729500000.0,1353900000.0,4546000000.0,587100000.0,3162200000.0,1383800000.0,583500000.0,1967300000.0,5899900000.0,2108700000.0,2108700000.0,2108700000.0
