company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,cashandequivalents,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,dividendspayable,goodwill,grossppe,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,prepaidexpenses,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Merck & Co Inc,MRK,,310158,2008.0,FY,,2008-12-31,2010-03-01 07:33:21+00:00,617600000.0,2907700000.0,9174100000.0,12128600000.0,-2553900000.0,4368300000.0,8348900000.0,,1426400000.0,,803500000.0,1438700000.0,24128200000.0,525400000.0,3943300000.0,6491300000.0,2091000000.0,11999600000.0,2408800000.0,,7766600000.0,8627500000.0,,,,7628100000.0,,,43698800000.0,2297100000.0,1118100000.0,47195700000.0,18758300000.0,19112600000.0,14318700000.0,18758300000.0,21167100000.0,26028600000.0,47195700000.0,16083500000.0,11709900000.0,,-30735500000.0
Merck & Co Inc,MRK,,310158,2009.0,FY,,2009-12-31,2011-02-28 08:05:34+00:00,2244000000.0,6603000000.0,9455000000.0,12595000000.0,-2767000000.0,9311000000.0,41464000000.0,,1167000000.0,,1189000000.0,12038000000.0,30874000000.0,47757000000.0,16095000000.0,432000000.0,8048000000.0,18279000000.0,2427000000.0,,19093000000.0,4177000000.0,,,,5376000000.0,,,41405000000.0,1586000000.0,293000000.0,112314000000.0,59058000000.0,28432000000.0,15641000000.0,59058000000.0,61485000000.0,50829000000.0,112314000000.0,65603000000.0,35188000000.0,,-21044000000.0
Merck & Co Inc,MRK,,310158,2009.0,Q3,,2009-09-30,2009-10-29 16:33:24+00:00,1709000000.0,3127000000.0,,4088000000.0,-1360000000.0,4312000000.0,6406000000.0,578000000.0,232000000.0,967000000.0,,2879000000.0,11012000000.0,5981000000.0,8033000000.0,,3459000000.0,6924000000.0,,,1523000000.0,,1996000000.0,,,1597000000.0,3002000000.0,1203000000.0,10737000000.0,185000000.0,487000000.0,30547000000.0,10400000000.0,13166000000.0,5089000000.0,12900000000.0,12900000000.0,17647000000.0,30547000000.0,10457000000.0,12558000000.0,2500000000.0,-5383000000.0
Merck & Co Inc,MRK,,310158,2009.0,Q2,,2009-06-30,2009-07-24 16:45:16+00:00,1755000000.0,3164000000.0,,3912000000.0,-1710000000.0,2989000000.0,6260000000.0,515000000.0,202000000.0,828000000.0,,2802000000.0,10785000000.0,5947000000.0,7908000000.0,,3478000000.0,6873000000.0,,,1498000000.0,,2148000000.0,,,1247000000.0,2910000000.0,1119000000.0,10368000000.0,261000000.0,1411000000.0,29545000000.0,9535000000.0,12676000000.0,5194000000.0,12035000000.0,12035000000.0,17510000000.0,29545000000.0,9996000000.0,12316000000.0,2500000000.0,-5383000000.0
Merck & Co Inc,MRK,,310158,2010.0,FY,,2010-12-31,2012-02-28 13:09:51+00:00,2308000000.0,7344000000.0,,13481000000.0,-3216000000.0,10900000000.0,42489000000.0,3651000000.0,1243000000.0,,1176000000.0,12378000000.0,30563000000.0,39456000000.0,15482000000.0,2175000000.0,5868000000.0,17082000000.0,2429000000.0,5626000000.0,17853000000.0,,8514000000.0,,,,,,37536000000.0,2400000000.0,1301000000.0,105781000000.0,54376000000.0,29064000000.0,15641000000.0,54376000000.0,56805000000.0,48976000000.0,105781000000.0,59635000000.0,33335000000.0,,-22433000000.0
Merck & Co Inc,MRK,,310158,2010.0,Q3,,2010-09-30,2010-11-08 07:47:43+00:00,2242400000.0,7297500000.0,8159500000.0,,-3490000000.0,9874400000.0,42345200000.0,,1629700000.0,,1175700000.0,12480800000.0,,42954400000.0,14031900000.0,2137500000.0,6263600000.0,17115800000.0,2455500000.0,,18436600000.0,3570100000.0,,,,5395600000.0,,,39245400000.0,4116000000.0,750400000.0,107840100000.0,55592800000.0,27756000000.0,17323300000.0,55592800000.0,58048300000.0,49791800000.0,107840100000.0,62968300000.0,32468500000.0,,-22507800000.0
Merck & Co Inc,MRK,,310158,2010.0,Q2,,2010-06-30,2010-08-06 16:24:30+00:00,2171500000.0,6276100000.0,6834400000.0,,-4658700000.0,8665600000.0,42124200000.0,,879400000.0,,1182000000.0,12225500000.0,,43281400000.0,13835300000.0,2045600000.0,6244200000.0,17334200000.0,2434000000.0,,19248900000.0,3790700000.0,,,,5030200000.0,,,40081800000.0,4353300000.0,1277000000.0,106170500000.0,55231700000.0,26253600000.0,15420600000.0,55231700000.0,57665700000.0,48504800000.0,106170500000.0,62582700000.0,33084200000.0,,-22315600000.0
Merck & Co Inc,MRK,,310158,2010.0,Q1,,2010-03-31,2010-05-07 08:20:51+00:00,2074900000.0,7497700000.0,8439000000.0,,-3571600000.0,8236000000.0,41982600000.0,,723000000.0,,1189800000.0,12266200000.0,,45574900000.0,15281100000.0,1995000000.0,6825400000.0,17985000000.0,2465100000.0,,19514200000.0,4144500000.0,,,,5527800000.0,,,40511400000.0,4028600000.0,1541300000.0,111593800000.0,57878100000.0,28244900000.0,16455300000.0,57878100000.0,60343200000.0,51250600000.0,111593800000.0,65363900000.0,34795300000.0,,-21044300000.0
Merck & Co Inc,MRK,,310158,2011.0,FY,,2011-12-31,2013-02-28 16:54:26+00:00,2023000000.0,8261000000.0,,16176000000.0,-3132000000.0,13531000000.0,42451000000.0,3694000000.0,781000000.0,,1281000000.0,12155000000.0,32473000000.0,34302000000.0,15525000000.0,3458000000.0,6254000000.0,16297000000.0,2426000000.0,5735000000.0,16415000000.0,,10170000000.0,,,,,,38990000000.0,1990000000.0,1441000000.0,105128000000.0,54517000000.0,33181000000.0,16245000000.0,54517000000.0,56943000000.0,48185000000.0,105128000000.0,55650000000.0,31940000000.0,,-23792000000.0
Merck & Co Inc,MRK,,310158,2011.0,Q3,,2011-09-30,2011-11-08 17:12:56+00:00,2282000000.0,8136000000.0,,,-2713000000.0,14253000000.0,42505000000.0,4158000000.0,1462000000.0,,1166000000.0,12228000000.0,,35822000000.0,15692000000.0,2423000000.0,6239000000.0,16383000000.0,2456000000.0,5569000000.0,16653000000.0,,9228000000.0,,,,,,38763000000.0,2455000000.0,1323000000.0,106534000000.0,55140000000.0,34109000000.0,16593000000.0,55140000000.0,57596000000.0,48938000000.0,106534000000.0,56042000000.0,32345000000.0,,-23415000000.0
