company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,aoci,capitalleaseobligations,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentdeferredtaxassets,currentdeferredtaxliabilities,goodwill,intangibleassets,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingliabilities,prepaidexpenses,redeemablenoncontrollinginterest,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
Laboratory Corporation of America Holdings,LH,OZ7UA8IXAIFILY2VZH07,920148,2008.0,FY,,2008-12-31,2010-02-24 15:21:17+00:00,159700000.0,631600000.0,266400000.0,-16700000.0,,219700000.0,,250200000.0,,6700000.0,,1772200000.0,1222600000.0,1600500000.0,72000000.0,91000000.0,496400000.0,121300000.0,,522900000.0,,,,73500000.0,189600000.0,,83800000.0,,2384600000.0,120800000.0,4669500000.0,1688300000.0,1032800000.0,546900000.0,1688300000.0,1809600000.0,2859900000.0,4669500000.0,3140300000.0,2313000000.0,-929800000.0
Laboratory Corporation of America Holdings,LH,OZ7UA8IXAIFILY2VZH07,920148,2009.0,FY,,2009-12-31,2011-03-07 13:33:20+00:00,183100000.0,574200000.0,275700000.0,61500000.0,,148500000.0,,49200000.0,,42800000.0,,1897100000.0,1342200000.0,977200000.0,71400000.0,90000000.0,500800000.0,,,577700000.0,,,142400000.0,90700000.0,158400000.0,,80100000.0,0.0,2927900000.0,417200000.0,4837800000.0,2106100000.0,935600000.0,1018400000.0,2106100000.0,2106100000.0,2731700000.0,4837800000.0,3401400000.0,1713300000.0,-932500000.0
Laboratory Corporation of America Holdings,LH,OZ7UA8IXAIFILY2VZH07,920148,2009.0,Q3,,2009-09-30,2009-10-29 16:24:08+00:00,174600000.0,636900000.0,307200000.0,35100000.0,,126800000.0,,141000000.0,,35900000.0,,1854900000.0,1342100000.0,1280000000.0,75200000.0,81600000.0,493500000.0,140400000.0,,578100000.0,,,,86900000.0,200200000.0,,96300000.0,,2785200000.0,120800000.0,4830100000.0,2028800000.0,977500000.0,602600000.0,2028800000.0,2169200000.0,2660900000.0,4830100000.0,3359100000.0,2058300000.0,-932500000.0
Laboratory Corporation of America Holdings,LH,OZ7UA8IXAIFILY2VZH07,920148,2009.0,Q2,,2009-06-30,2009-08-28 12:36:53+00:00,160600000.0,655300000.0,272100000.0,1500000.0,,226600000.0,,286500000.0,,33600000.0,,1777300000.0,1234000000.0,1291100000.0,68800000.0,71200000.0,496800000.0,129100000.0,,568800000.0,,,,81300000.0,161400000.0,,68300000.0,,2653800000.0,120800000.0,4713200000.0,2009300000.0,1055000000.0,553500000.0,2009300000.0,2138400000.0,2574800000.0,4713200000.0,3161400000.0,2021300000.0,-932500000.0
Laboratory Corporation of America Holdings,LH,OZ7UA8IXAIFILY2VZH07,920148,2010.0,FY,,2010-12-31,2012-02-23 19:22:58+00:00,257800000.0,655600000.0,352900000.0,88500000.0,,230700000.0,0.0,66100000.0,,58400000.0,,2601300000.0,1674100000.0,1826700000.0,78500000.0,103400000.0,586900000.0,,,602300000.0,,,148100000.0,103200000.0,151400000.0,,95700000.0,20600000.0,3246600000.0,361700000.0,6187800000.0,2466300000.0,1143800000.0,1120500000.0,2466300000.0,2466300000.0,3700900000.0,6187800000.0,4457100000.0,2580400000.0,-934900000.0
Laboratory Corporation of America Holdings,LH,OZ7UA8IXAIFILY2VZH07,920148,2010.0,Q3,,2010-09-30,2010-11-01 17:00:02+00:00,177100000.0,631000000.0,348800000.0,78200000.0,,96900000.0,,12100000.0,,63900000.0,,2034700000.0,1382200000.0,920600000.0,79900000.0,88200000.0,504600000.0,,,599400000.0,,,0.0,97500000.0,286100000.0,,68700000.0,20000000.0,3114800000.0,425400000.0,5047600000.0,2270200000.0,948700000.0,951300000.0,2270200000.0,2270200000.0,2757400000.0,5047600000.0,3594300000.0,1806100000.0,-934900000.0
Laboratory Corporation of America Holdings,LH,OZ7UA8IXAIFILY2VZH07,920148,2010.0,Q2,,2010-06-30,2010-08-20 13:54:47+00:00,195400000.0,617600000.0,316800000.0,59000000.0,,103800000.0,,12300000.0,,39100000.0,,2013100000.0,1359200000.0,939400000.0,71400000.0,86300000.0,499100000.0,,,597500000.0,,,0.0,99800000.0,297600000.0,,69000000.0,19300000.0,3072600000.0,383400000.0,4958400000.0,2209000000.0,915800000.0,895600000.0,2209000000.0,2209000000.0,2730100000.0,4958400000.0,3543500000.0,1834500000.0,-934900000.0
Laboratory Corporation of America Holdings,LH,OZ7UA8IXAIFILY2VZH07,920148,2010.0,Q1,,2010-03-31,2010-04-28 16:43:23+00:00,169300000.0,614300000.0,347100000.0,78200000.0,,172200000.0,,12400000.0,,37700000.0,,1911100000.0,1382100000.0,958300000.0,69200000.0,82500000.0,488400000.0,20200000.0,,604000000.0,,,,102400000.0,161300000.0,145600000.0,74300000.0,,3002700000.0,370000000.0,4934200000.0,2158400000.0,981000000.0,886400000.0,2158400000.0,2178600000.0,2755600000.0,4934200000.0,3464800000.0,1869200000.0,-934900000.0
Laboratory Corporation of America Holdings,LH,OZ7UA8IXAIFILY2VZH07,920148,2011.0,FY,,2011-12-31,2013-02-26 13:25:55+00:00,257800000.0,699800000.0,339300000.0,45500000.0,,159300000.0,0.0,11700000.0,,10500000.0,,2681800000.0,1620700000.0,2085500000.0,76800000.0,110800000.0,578300000.0,,,477900000.0,,,,94200000.0,292100000.0,,79600000.0,20200000.0,3387200000.0,135500000.0,6111800000.0,2503500000.0,1060000000.0,732600000.0,2503500000.0,2503500000.0,3588100000.0,6111800000.0,4473500000.0,2855500000.0,-940900000.0
Laboratory Corporation of America Holdings,LH,OZ7UA8IXAIFILY2VZH07,920148,2011.0,Q3,,2011-09-30,2011-10-31 17:13:01+00:00,222900000.0,718700000.0,404300000.0,70100000.0,,85800000.0,,11900000.0,,85900000.0,,2641400000.0,1592700000.0,1769300000.0,75400000.0,103800000.0,577400000.0,,,569800000.0,,,140700000.0,93700000.0,169000000.0,,78400000.0,19600000.0,3402200000.0,214300000.0,6053200000.0,2543300000.0,1072600000.0,982200000.0,2543300000.0,2543300000.0,3490300000.0,6053200000.0,4403200000.0,2508100000.0,-940900000.0
