company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,incometaxexpense,marketingexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheroperatingexpenses,rdexpense,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Mead Johnson Nutrition Co,MJN,E4BJRFT3MF4GJDY1SC50,1452575,2009.0,FY,2009-01-01,2009-12-31,2012-02-17 06:01:45+00:00,1.99,1.99,0.7,1.99,176400000.0,401900000.0,410600000.0,410600000.0,399600000.0,11000000.0,974700000.0,2826500000.0,33100000.0,71900000.0,665300000.0,974700000.0,1851800000.0,,-92600000.0,1172200000.0,679600000.0,-92600000.0,587000000.0,2826500000.0,200700000.0,200600000.0,200700000.0
Mead Johnson Nutrition Co,MJN,E4BJRFT3MF4GJDY1SC50,1452575,2010.0,Q4,2010-10-01,2010-12-31,,0.48,0.48,0.23,0.48,32900000.0,112000000.0,100800000.0,100800000.0,99600000.0,1200000.0,302800000.0,803700000.0,3600000.0,20200000.0,218500000.0,302800000.0,500900000.0,-23700000.0,-36600000.0,354300000.0,146600000.0,-12900000.0,133700000.0,803700000.0,205100000.0,204700000.0,205100000.0
Mead Johnson Nutrition Co,MJN,E4BJRFT3MF4GJDY1SC50,1452575,2010.0,FY,2010-01-01,2010-12-31,2013-02-21 10:46:38+00:00,2.2,2.2,0.9,2.2,176100000.0,438700000.0,458200000.0,458200000.0,452700000.0,5500000.0,1149600000.0,3141600000.0,29200000.0,78500000.0,762700000.0,1149600000.0,1992000000.0,,-48600000.0,1309100000.0,682900000.0,-48600000.0,634300000.0,3141600000.0,205100000.0,204700000.0,205100000.0
Mead Johnson Nutrition Co,MJN,E4BJRFT3MF4GJDY1SC50,1452575,2010.0,Q3YTD,2010-01-01,2010-09-30,,1.72,1.72,0.68,1.72,143200000.0,326700000.0,357400000.0,357400000.0,353100000.0,4300000.0,846800000.0,2337900000.0,25600000.0,58300000.0,544200000.0,846800000.0,1491100000.0,23700000.0,-12000000.0,954800000.0,536300000.0,-35700000.0,500600000.0,2337900000.0,204600000.0,204600000.0,204600000.0
Mead Johnson Nutrition Co,MJN,E4BJRFT3MF4GJDY1SC50,1452575,2010.0,Q3,2010-07-01,2010-09-30,2011-10-27 11:19:11+00:00,0.52,0.52,0.225,0.52,46100000.0,112400000.0,107400000.0,107400000.0,106100000.0,1300000.0,296300000.0,810200000.0,27300000.0,18500000.0,190200000.0,296300000.0,513900000.0,,-12000000.0,348400000.0,165500000.0,-12000000.0,153500000.0,810200000.0,204600000.0,204600000.0,204600000.0
Mead Johnson Nutrition Co,MJN,E4BJRFT3MF4GJDY1SC50,1452575,2010.0,Q2YTD,2010-01-01,2010-06-30,,1.2,1.2,0.45,1.2,97100000.0,214300000.0,250000000.0,250000000.0,247000000.0,3000000.0,550500000.0,1527700000.0,-1700000.0,39800000.0,354000000.0,550500000.0,977200000.0,23700000.0,,606400000.0,370800000.0,-23700000.0,347100000.0,1527700000.0,204500000.0,204500000.0,204500000.0
Mead Johnson Nutrition Co,MJN,E4BJRFT3MF4GJDY1SC50,1452575,2010.0,Q2,2010-04-01,2010-06-30,2011-07-28 10:58:07+00:00,0.59,0.59,0.225,0.59,38800000.0,115900000.0,122500000.0,122500000.0,121400000.0,1100000.0,278700000.0,764200000.0,-5600000.0,19700000.0,182600000.0,278700000.0,485500000.0,11600000.0,,312600000.0,172900000.0,-11600000.0,161300000.0,764200000.0,204500000.0,204500000.0,204500000.0
Mead Johnson Nutrition Co,MJN,E4BJRFT3MF4GJDY1SC50,1452575,2010.0,Q1,2010-01-01,2010-03-31,2011-04-28 12:22:56+00:00,0.61,0.61,0.225,0.61,58300000.0,98400000.0,127500000.0,127500000.0,125600000.0,1900000.0,271800000.0,763500000.0,3900000.0,20100000.0,171400000.0,271800000.0,491700000.0,12100000.0,,293800000.0,197900000.0,-12100000.0,185800000.0,763500000.0,204500000.0,204500000.0,204500000.0
Mead Johnson Nutrition Co,MJN,E4BJRFT3MF4GJDY1SC50,1452575,2011.0,Q4,2011-10-01,2011-12-31,,0.42,0.42,0.26,0.42,43000000.0,128700000.0,89300000.0,89300000.0,85600000.0,3700000.0,354900000.0,911300000.0,16200000.0,28100000.0,237300000.0,354900000.0,556400000.0,,-13800000.0,410300000.0,146100000.0,-13800000.0,132300000.0,911300000.0,205000000.0,204300000.0,205000000.0
Mead Johnson Nutrition Co,MJN,E4BJRFT3MF4GJDY1SC50,1452575,2011.0,FY,2011-01-01,2011-12-31,2014-02-18 16:40:43+00:00,2.48,2.48,1.04,2.47,202900000.0,501700000.0,519000000.0,519000000.0,508500000.0,10500000.0,1362300000.0,3677000000.0,19600000.0,92500000.0,926800000.0,1362300000.0,2314700000.0,,-52200000.0,1540600000.0,774100000.0,-52200000.0,721900000.0,3677000000.0,205000000.0,204300000.0,205000000.0
